	source	target	weight	edge_sample	edge_color
0	Actinobacillus	Abiotrophia	0.828808011772	Mixed	#cccccc
1	Bacteroides	Alistipes	0.992774197031	Stool	#e8cb72
2	Bulleidia	Anaerococcus	0.989444958314	Mixed	#cccccc
3	Bulleidia	Atopobium	0.808442956279	Mixed	#cccccc
4	Cardiobacterium	Actinobacillus	0.818186612158	Mixed	#cccccc
5	Chryseobacterium	Abiotrophia	0.828808011772	Mixed	#cccccc
6	Chryseobacterium	Actinobacillus	1.0	Mixed	#cccccc
7	Chryseobacterium	Cardiobacterium	0.818186612158	Mixed	#cccccc
8	Cryptobacterium	Anaeroglobus	0.90422636325	Mixed	#cccccc
9	Dialister	Atopobium	0.966223089412	Mixed	#cccccc
10	Eggerthia	Anaerococcus	0.95626277909	Mixed	#cccccc
11	Eggerthia	Bulleidia	0.986221734302	Mixed	#cccccc
12	Eikenella	Cardiobacterium	0.868225947026	Subgingival_plaque	#ffac5c
13	Escherichia	Abiotrophia	0.828808011772	Mixed	#cccccc
14	Escherichia	Actinobacillus	1.0	Mixed	#cccccc
15	Escherichia	Cardiobacterium	0.818186612158	Mixed	#cccccc
16	Escherichia	Chryseobacterium	1.0	Mixed	#cccccc
17	Eubacterium	Anaerococcus	0.905766336211	Mixed	#cccccc
18	Eubacterium	Bulleidia	0.927399717933	Mixed	#cccccc
19	Eubacterium	Eggerthia	0.939918768328	Mixed	#cccccc
20	Faecalibacterium	Alistipes	0.954835978898	Stool	#e8cb72
21	Faecalibacterium	Bacteroides	0.948418724427	Stool	#e8cb72
22	Filifactor	Anaerococcus	0.880793053137	Mixed	#cccccc
23	Filifactor	Bulleidia	0.933142518948	Mixed	#cccccc
24	Filifactor	Eggerthia	0.972030306398	Mixed	#cccccc
25	Filifactor	Eubacterium	0.951505172124	Palatine_Tonsils	#70febc
26	Gallibacterium	Faecalibacterium	0.839209282502	Mixed	#cccccc
27	Gemella	Eggerthia	0.80032943213	Mixed	#cccccc
28	Gemella	Filifactor	0.896127303231	Mixed	#cccccc
29	Gordonia	Actinobacillus	0.884463988516	Mixed	#cccccc
30	Gordonia	Chryseobacterium	0.884463988516	Mixed	#cccccc
31	Gordonia	Escherichia	0.884463988516	Mixed	#cccccc
32	Granulicatella	Eggerthia	0.835376006143	Mixed	#cccccc
33	Granulicatella	Filifactor	0.892558861494	Mixed	#cccccc
34	Granulicatella	Gemella	0.928880330135	Mixed	#cccccc
35	Haemophilus	Cardiobacterium	0.851769396176	Mixed	#cccccc
36	Hallella	Carnobacterium	0.876623376623	Mixed	#cccccc
37	Hallella	Gemella	0.915165224382	Mixed	#cccccc
38	Hallella	Granulicatella	0.856183852752	Mixed	#cccccc
39	Johnsonella	Actinobaculum	0.810392476898	Subgingival_plaque	#ffac5c
