TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Bacteroides	Stool	#e8cb72	17	0.0	3.0	#8000ff	#18cde4	Mixed	#cccccc
Centipeda	Subgingival_plaque	#ffac5c	17	0.0	3.0	#8000ff	#18cde4	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	2	2.0	0.0	#2489f5	#8000ff	Mixed	#cccccc
Dialister	Stool	#e8cb72	19	0.0	3.0	#8000ff	#18cde4	Mixed	#cccccc
Escherichia	Stool	#e8cb72	2	2.0	0.0	#2489f5	#8000ff	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	3	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Hallella	Subgingival_plaque	#ffac5c	4	9.0	6.0	#ff8c49	#b2f396	Mixed	#cccccc
Kineosphaera	Subgingival_plaque	#ffac5c	5	11.0	7.0	#ff0000	#e4cf74	Mixed	#cccccc
Lactobacillus	Mid_vagina	#52f5cb	2	5.0	1.0	#66fcc2	#4e4dfc	Mixed	#cccccc
Megasphaera	Saliva	#cbe486	8	1.0	9.0	#5247fc	#ff5029	Mixed	#cccccc
Mogibacterium	Palatine_Tonsils	#70febc	6	8.0	6.0	#f2c26b	#b2f396	Mixed	#cccccc
Neisseria	Keratinized_gingiva	#17cbe4	19	2.0	10.0	#2489f5	#ff0000	Mixed	#cccccc
Oscillibacter	Stool	#e8cb72	3	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Parabacteroides	Stool	#e8cb72	3	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Parasutterella	Stool	#e8cb72	3	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Parvimonas	Subgingival_plaque	#ffac5c	16	10.0	8.0	#ff4a26	#ff964f	Mixed	#cccccc
Pasteurella	Buccal_mucosa	#445cfb	8	4.0	5.0	#38e7d7	#7effb5	Mixed	#cccccc
Peptoniphilus	Anterior_nares	#8000ff	2	3.0	4.0	#0ac0e8	#4df3ce	Mixed	#cccccc
Phocaeicola	Subgingival_plaque	#ffac5c	4	9.0	6.0	#ff8c49	#b2f396	Mixed	#cccccc
Propionibacterium	R_Retroauricular_crease	#acf59a	19	2.0	10.0	#2489f5	#ff0000	Mixed	#cccccc
Pseudoramibacter	Subgingival_plaque	#ffac5c	4	9.0	6.0	#ff8c49	#b2f396	Mixed	#cccccc
Riemerella	Buccal_mucosa	#445cfb	2	2.0	0.0	#2489f5	#8000ff	Mixed	#cccccc
Roseburia	Stool	#e8cb72	3	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Ruminococcus	Stool	#e8cb72	4	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Scardovia	Buccal_mucosa	#445cfb	2	3.0	4.0	#0ac0e8	#4df3ce	Mixed	#cccccc
Simonsiella	Keratinized_gingiva	#17cbe4	2	5.0	1.0	#66fcc2	#4e4dfc	Mixed	#cccccc
Slackia	Palatine_Tonsils	#70febc	4	9.0	6.0	#ff8c49	#b2f396	Mixed	#cccccc
Staphylococcus	L_Retroauricular_crease	#34e4d9	6	8.0	6.0	#f2c26b	#b2f396	Mixed	#cccccc
Tannerella	Subgingival_plaque	#ffac5c	19	0.0	3.0	#8000ff	#18cde4	Mixed	#cccccc
Alloprevotella	Keratinized_gingiva	#17cbe4	19	0.0	3.0	#8000ff	#18cde4	Mixed	#cccccc
Actinobacillus	Attached	#622ffe	2	2.0	0.0	#2489f5	#8000ff	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	3	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
Eggerthia	Subgingival_plaque	#ffac5c	5	9.0	6.0	#ff8c49	#b2f396	Mixed	#cccccc
Gordonia	L_Retroauricular_crease	#34e4d9	4	11.0	7.0	#ff0000	#e4cf74	Mixed	#cccccc
Afipia	Anterior_nares	#8000ff	2	5.0	1.0	#66fcc2	#4e4dfc	Mixed	#cccccc
Kytococcus	Throat	#ff5c2f	7	1.0	9.0	#5247fc	#ff5029	Mixed	#cccccc
Lautropia	Supragingival_plaque	#ff8646	19	2.0	10.0	#2489f5	#ff0000	Mixed	#cccccc
Granulicatella	Keratinized_gingiva	#17cbe4	16	6.0	8.0	#96fca7	#ff964f	Mixed	#cccccc
Anaeroglobus	Subgingival_plaque	#ffac5c	10	4.0	5.0	#38e7d7	#7effb5	Mixed	#cccccc
Anaerococcus	L_Retroauricular_crease	#34e4d9	2	3.0	4.0	#0ac0e8	#4df3ce	Mixed	#cccccc
Alistipes	Stool	#e8cb72	5	7.0	2.0	#c4e88a	#1996f3	Mixed	#cccccc
