TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Bacillus	Anterior_nares	#8000ff	2	9.0	4.0	#ff0000	#38e7d7	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	127	8.0	0.0	#ff592d	#8000ff	Mixed	#cccccc
Barnesiella	Stool	#e8cb72	14	9.0	4.0	#ff0000	#38e7d7	Mixed	#cccccc
Basfia	Buccal_mucosa	#445cfb	4	9.0	7.0	#ff0000	#c4e88a	Mixed	#cccccc
Blautia	Stool	#e8cb72	5	5.0	8.0	#9bfba5	#f2c26b	Mixed	#cccccc
Carnobacterium	Hard_palate	#08acee	129	6.0	1.0	#d4dd80	#5247fc	Mixed	#cccccc
Clostridium	Stool	#e8cb72	17	7.0	3.0	#ffa558	#0ac0e8	Mixed	#cccccc
Collinsella	Stool	#e8cb72	2	7.0	3.0	#ffa558	#0ac0e8	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	3	7.0	3.0	#ffa558	#0ac0e8	Mixed	#cccccc
Cryptobacterium	Saliva	#cbe486	14	2.0	6.0	#10a2f0	#96fca7	Mixed	#cccccc
Deinococcus	Anterior_nares	#8000ff	1	5.0	8.0	#9bfba5	#f2c26b	Mixed	#cccccc
Dolosigranulum	Anterior_nares	#8000ff	2	0.0	2.0	#8000ff	#2489f5	Mixed	#cccccc
Escherichia	Stool	#e8cb72	4	7.0	3.0	#ffa558	#0ac0e8	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	10	7.0	3.0	#ffa558	#0ac0e8	Mixed	#cccccc
Gemella	Buccal_mucosa	#445cfb	271	9.0	4.0	#ff0000	#38e7d7	Mixed	#cccccc
Granulicatella	Keratinized_gingiva	#17cbe4	261	9.0	4.0	#ff0000	#38e7d7	Mixed	#cccccc
Intestinimonas	Stool	#e8cb72	2	7.0	3.0	#ffa558	#0ac0e8	Mixed	#cccccc
Isoptericola	Tongue_dorsum	#ff2f18	10	6.0	1.0	#d4dd80	#5247fc	Mixed	#cccccc
Kineosphaera	Subgingival_plaque	#ffac5c	2	1.0	9.0	#4856fb	#ff8c49	Mixed	#cccccc
Lactococcus	Anterior_nares	#8000ff	28	5.0	8.0	#9bfba5	#f2c26b	Mixed	#cccccc
Listeria	L_Retroauricular_crease	#34e4d9	1	5.0	8.0	#9bfba5	#f2c26b	Mixed	#cccccc
Megamonas	Stool	#e8cb72	1	5.0	8.0	#9bfba5	#f2c26b	Mixed	#cccccc
Novosphingobium	Mid_vagina	#52f5cb	2	0.0	2.0	#8000ff	#2489f5	Mixed	#cccccc
