	source	target	weight	edge_sample	edge_color
0	Basfia	Avibacterium	0.864408174728	Mixed	#cccccc
1	Coprococcus	Akkermansia	0.864408174728	Stool	#e8cb72
2	Coprococcus	Collinsella	0.814977516206	Stool	#e8cb72
3	Deinococcus	Bifidobacterium	1.0	Mixed	#cccccc
4	Dolosigranulum	Afipia	1.0	Anterior_nares	#8000ff
5	Escherichia	Blautia	0.892750662458	Stool	#e8cb72
6	Intestinimonas	Collinsella	1.0	Stool	#e8cb72
7	Intestinimonas	Coprococcus	0.814977516206	Stool	#e8cb72
8	Kineosphaera	Gordonia	1.0	Mixed	#cccccc
9	Listeria	Bifidobacterium	1.0	Mixed	#cccccc
10	Listeria	Deinococcus	1.0	Mixed	#cccccc
11	Megamonas	Bifidobacterium	1.0	Mixed	#cccccc
12	Megamonas	Deinococcus	1.0	Mixed	#cccccc
13	Megamonas	Listeria	1.0	Mixed	#cccccc
14	Novosphingobium	Afipia	1.0	Mixed	#cccccc
15	Novosphingobium	Dolosigranulum	1.0	Mixed	#cccccc
16	Oscillibacter	Coprococcus	0.864408174728	Stool	#e8cb72
17	Parabacteroides	Faecalibacterium	0.808637913151	Stool	#e8cb72
18	Parasutterella	Bacillus	0.814977516206	Mixed	#cccccc
19	Pseudoflavonifractor	Collinsella	1.0	Stool	#e8cb72
20	Pseudoflavonifractor	Coprococcus	0.814977516206	Stool	#e8cb72
21	Pseudoflavonifractor	Intestinimonas	1.0	Stool	#e8cb72
22	Ruminiclostridium	Collinsella	1.0	Mixed	#cccccc
23	Ruminiclostridium	Coprococcus	0.814977516206	Mixed	#cccccc
24	Ruminiclostridium	Intestinimonas	1.0	Mixed	#cccccc
25	Ruminiclostridium	Pseudoflavonifractor	1.0	Mixed	#cccccc
26	Ruminococcus	Faecalibacterium	1.0	Stool	#e8cb72
27	Ruminococcus	Parabacteroides	0.808637913151	Stool	#e8cb72
28	Sinorhizobium	Collinsella	1.0	Stool	#e8cb72
29	Sinorhizobium	Coprococcus	0.814977516206	Stool	#e8cb72
30	Sinorhizobium	Intestinimonas	1.0	Stool	#e8cb72
31	Sinorhizobium	Pseudoflavonifractor	1.0	Stool	#e8cb72
32	Sinorhizobium	Ruminiclostridium	1.0	Mixed	#cccccc
33	Sphingomonas	Kocuria	1.0	Anterior_nares	#8000ff
34	Stenotrophomonas	Kocuria	1.0	Anterior_nares	#8000ff
35	Stenotrophomonas	Sphingomonas	1.0	Anterior_nares	#8000ff
36	Subdoligranulum	Collinsella	1.0	Stool	#e8cb72
37	Subdoligranulum	Coprococcus	0.814977516206	Stool	#e8cb72
38	Subdoligranulum	Intestinimonas	1.0	Stool	#e8cb72
39	Subdoligranulum	Pseudoflavonifractor	1.0	Stool	#e8cb72
40	Subdoligranulum	Ruminiclostridium	1.0	Mixed	#cccccc
41	Subdoligranulum	Sinorhizobium	1.0	Stool	#e8cb72
42	Tyzzerella	Bifidobacterium	1.0	Mixed	#cccccc
43	Tyzzerella	Deinococcus	1.0	Mixed	#cccccc
44	Tyzzerella	Listeria	1.0	Mixed	#cccccc
45	Tyzzerella	Megamonas	1.0	Stool	#e8cb72
46	Verminephrobacter	Aquabacterium	1.0	L_Retroauricular_crease	#34e4d9
47	Vibrio	Bacillus	1.0	Anterior_nares	#8000ff
48	Vibrio	Parasutterella	0.814977516206	Mixed	#cccccc
