TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Basfia	Buccal_mucosa	#445cfb	4	8.0	3.0	#ff0000	#2adddd	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	3	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Deinococcus	Anterior_nares	#8000ff	1	2.0	5.0	#01b3ec	#9bfba5	Mixed	#cccccc
Dolosigranulum	Anterior_nares	#8000ff	2	6.0	0.0	#feb562	#8000ff	Mixed	#cccccc
Escherichia	Stool	#e8cb72	4	3.0	6.0	#3febd5	#d4dd80	Mixed	#cccccc
Intestinimonas	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Kineosphaera	Subgingival_plaque	#ffac5c	2	7.0	8.0	#ff6232	#ff592d	Mixed	#cccccc
Listeria	L_Retroauricular_crease	#34e4d9	1	2.0	5.0	#01b3ec	#9bfba5	Mixed	#cccccc
Megamonas	Stool	#e8cb72	1	2.0	5.0	#01b3ec	#9bfba5	Mixed	#cccccc
Novosphingobium	Mid_vagina	#52f5cb	2	6.0	0.0	#feb562	#8000ff	Mixed	#cccccc
Oscillibacter	Stool	#e8cb72	4	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Parabacteroides	Stool	#e8cb72	15	4.0	7.0	#7effb5	#ffa558	Mixed	#cccccc
Parasutterella	Stool	#e8cb72	3	0.0	4.0	#8000ff	#62fbc4	Mixed	#cccccc
Pseudoflavonifractor	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Ruminiclostridium	L_Retroauricular_crease	#34e4d9	2	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Ruminococcus	Stool	#e8cb72	10	4.0	7.0	#7effb5	#ffa558	Mixed	#cccccc
Sinorhizobium	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Sphingomonas	Anterior_nares	#8000ff	2	1.0	9.0	#425ffa	#ff0000	Mixed	#cccccc
Stenotrophomonas	Anterior_nares	#8000ff	2	1.0	9.0	#425ffa	#ff0000	Mixed	#cccccc
Subdoligranulum	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Tyzzerella	Stool	#e8cb72	1	2.0	5.0	#01b3ec	#9bfba5	Mixed	#cccccc
Verminephrobacter	L_Retroauricular_crease	#34e4d9	1	5.0	2.0	#beec8e	#10a2f0	Mixed	#cccccc
Vibrio	Anterior_nares	#8000ff	2	0.0	4.0	#8000ff	#62fbc4	Mixed	#cccccc
Avibacterium	Attached	#622ffe	3	8.0	3.0	#ff0000	#2adddd	Mixed	#cccccc
Akkermansia	Stool	#e8cb72	4	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Collinsella	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb	Mixed	#cccccc
Bifidobacterium	Posterior_fornix	#8efeac	1	2.0	5.0	#01b3ec	#9bfba5	Mixed	#cccccc
Afipia	Anterior_nares	#8000ff	2	6.0	0.0	#feb562	#8000ff	Mixed	#cccccc
Blautia	Stool	#e8cb72	5	3.0	6.0	#3febd5	#d4dd80	Mixed	#cccccc
Gordonia	L_Retroauricular_crease	#34e4d9	2	7.0	8.0	#ff6232	#ff592d	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	10	4.0	7.0	#7effb5	#ffa558	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	2	0.0	4.0	#8000ff	#62fbc4	Mixed	#cccccc
Kocuria	Anterior_nares	#8000ff	2	1.0	9.0	#425ffa	#ff0000	Mixed	#cccccc
Aquabacterium	L_Retroauricular_crease	#34e4d9	1	5.0	2.0	#beec8e	#10a2f0	Mixed	#cccccc
