TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Afipia	Anterior_nares	#8000ff	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Bradyrhizobium	Anterior_nares	#8000ff	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Bulleidia	Throat	#ff5c2f	6	11.0	8.0	#ff4422	#90feab	Mixed	#cccccc
Capnocytophaga	Supragingival_plaque	#ff8646	15	2.0	4.0	#2c7ef7	#08bee9	Mixed	#cccccc
Citrobacter	Anterior_nares	#8000ff	1	0.0	1.0	#8000ff	#5e35fe	Mixed	#cccccc
Conchiformibius	R_Retroauricular_crease	#acf59a	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Dolosigranulum	Anterior_nares	#8000ff	2	11.0	8.0	#ff4422	#90feab	Mixed	#cccccc
Gordonia	L_Retroauricular_crease	#34e4d9	1	2.0	7.0	#2c7ef7	#6efebe	Mixed	#cccccc
Granulicatella	Keratinized_gingiva	#17cbe4	13	3.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Isoptericola	Tongue_dorsum	#ff2f18	13	3.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Janibacter	Anterior_nares	#8000ff	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Lactococcus	Anterior_nares	#8000ff	4	10.0	9.0	#ff8143	#b2f396	Mixed	#cccccc
Lautropia	Supragingival_plaque	#ff8646	12	5.0	3.0	#54f6cb	#1996f3	Mixed	#cccccc
Mogibacterium	Palatine_Tonsils	#70febc	9	6.0	12.0	#7effb5	#ff964f	Mixed	#cccccc
Mycobacterium	Mid_vagina	#52f5cb	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Mycoplasma	Subgingival_plaque	#ffac5c	4	2.0	5.0	#2c7ef7	#2adddd	Mixed	#cccccc
Necropsobacter	Attached	#622ffe	1	2.0	7.0	#2c7ef7	#6efebe	Mixed	#cccccc
Neisseria	Keratinized_gingiva	#17cbe4	13	5.0	3.0	#54f6cb	#1996f3	Mixed	#cccccc
Novosphingobium	Mid_vagina	#52f5cb	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Olsenella	Palatine_Tonsils	#70febc	3	2.0	5.0	#2c7ef7	#2adddd	Mixed	#cccccc
Ottowia	Supragingival_plaque	#ff8646	1	0.0	1.0	#8000ff	#5e35fe	Mixed	#cccccc
Parabacteroides	Stool	#e8cb72	4	2.0	5.0	#2c7ef7	#2adddd	Mixed	#cccccc
Parvimonas	Subgingival_plaque	#ffac5c	13	7.0	11.0	#a8f79c	#f6be68	Mixed	#cccccc
Peptoclostridium	L_Retroauricular_crease	#34e4d9	6	8.0	10.0	#d4dd80	#d4dd80	Mixed	#cccccc
Peptoniphilus	Anterior_nares	#8000ff	13	2.0	4.0	#2c7ef7	#08bee9	Mixed	#cccccc
Porphyrobacter	Saliva	#cbe486	5	8.0	10.0	#d4dd80	#d4dd80	Mixed	#cccccc
Pseudoflavonifractor	Stool	#e8cb72	1	2.0	7.0	#2c7ef7	#6efebe	Mixed	#cccccc
Pseudomonas	Vaginal_introitus	#ff0000	4	2.0	5.0	#2c7ef7	#2adddd	Mixed	#cccccc
Psychrobacter	Saliva	#cbe486	2	11.0	8.0	#ff4422	#90feab	Mixed	#cccccc
Roseburia	Stool	#e8cb72	1	9.0	6.0	#feb562	#4df3ce	Mixed	#cccccc
Scardovia	Buccal_mucosa	#445cfb	2	9.0	14.0	#feb562	#ff351b	Mixed	#cccccc
Slackia	Palatine_Tonsils	#70febc	2	11.0	8.0	#ff4422	#90feab	Mixed	#cccccc
Snodgrassella	Throat	#ff5c2f	5	8.0	10.0	#d4dd80	#d4dd80	Mixed	#cccccc
Sphingobium	Vaginal_introitus	#ff0000	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Stenotrophomonas	Anterior_nares	#8000ff	1	2.0	7.0	#2c7ef7	#6efebe	Mixed	#cccccc
Tannerella	Subgingival_plaque	#ffac5c	12	12.0	13.0	#ff0000	#ff6835	Mixed	#cccccc
Thiomicrospira	Throat	#ff5c2f	4	8.0	10.0	#d4dd80	#d4dd80	Mixed	#cccccc
Treponema	Subgingival_plaque	#ffac5c	15	4.0	15.0	#2adddd	#ff0000	Mixed	#cccccc
Trueperella	Tongue_dorsum	#ff2f18	11	12.0	13.0	#ff0000	#ff6835	Mixed	#cccccc
Varibaculum	R_Retroauricular_crease	#acf59a	5	8.0	10.0	#d4dd80	#d4dd80	Mixed	#cccccc
Xylanimonas	Throat	#ff5c2f	11	12.0	13.0	#ff0000	#ff6835	Mixed	#cccccc
Acinetobacter	Anterior_nares	#8000ff	2	1.0	2.0	#5641fd	#3c68f9	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	2	11.0	8.0	#ff4422	#90feab	Mixed	#cccccc
