	source	target	weight	edge_sample	edge_color
0	Actinobaculum	Acidovorax	0.839175861214	Mixed	#cccccc
1	Anaerostipes	Alloscardovia	1.0	Mixed	#cccccc
2	Bergeyella	Acidovorax	0.851967917102	Mixed	#cccccc
3	Bergeyella	Actinobaculum	0.857159029774	Mixed	#cccccc
4	Bergeyella	Basfia	0.815021427815	Mixed	#cccccc
5	Burkholderia	Acinetobacter	0.881820242359	Mixed	#cccccc
6	Cardiobacterium	Abiotrophia	0.813766885592	Mixed	#cccccc
7	Cardiobacterium	Acidovorax	0.853426806385	Mixed	#cccccc
8	Cardiobacterium	Actinobaculum	0.877133536795	Subgingival_plaque	#ffac5c
9	Cardiobacterium	Basfia	0.833400387349	Mixed	#cccccc
10	Cardiobacterium	Bergeyella	0.987048154871	Mixed	#cccccc
11	Centipeda	Bergeyella	0.921680479196	Mixed	#cccccc
12	Centipeda	Cardiobacterium	0.902219349843	Subgingival_plaque	#ffac5c
13	Corynebacterium	Bergeyella	0.802074091431	Mixed	#cccccc
14	Corynebacterium	Cardiobacterium	0.811054554694	Mixed	#cccccc
15	Eubacterium	Acidovorax	0.801337900815	Mixed	#cccccc
16	Gordonibacter	Eggerthella	0.873080143533	Stool	#e8cb72
17	Holdemanella	Alloscardovia	1.0	Mixed	#cccccc
18	Holdemanella	Anaerostipes	1.0	Mixed	#cccccc
19	Kingella	Cardiobacterium	0.816499363846	Mixed	#cccccc
20	Lautropia	Acidovorax	0.809770626957	Mixed	#cccccc
21	Lautropia	Actinobaculum	0.893779039439	Mixed	#cccccc
22	Lautropia	Basfia	0.88747990968	Mixed	#cccccc
23	Lautropia	Bergeyella	0.936061883093	Mixed	#cccccc
24	Lautropia	Cardiobacterium	0.953135349146	Mixed	#cccccc
25	Lautropia	Centipeda	0.844421792045	Mixed	#cccccc
26	Methylibium	Acinetobacter	0.881820242359	Mixed	#cccccc
27	Methylibium	Burkholderia	1.0	Mixed	#cccccc
28	Microbacterium	Leucobacter	0.891327279145	Mixed	#cccccc
29	Moraxella	Acidovorax	0.845176572792	Mixed	#cccccc
30	Moraxella	Actinobaculum	0.854545015777	Mixed	#cccccc
31	Moraxella	Basfia	0.841521517679	Mixed	#cccccc
32	Moraxella	Bergeyella	0.992900850233	Mixed	#cccccc
33	Moraxella	Cardiobacterium	0.983133863272	Mixed	#cccccc
34	Moraxella	Centipeda	0.913281178303	Mixed	#cccccc
35	Moraxella	Corynebacterium	0.805692812824	Mixed	#cccccc
36	Moraxella	Lautropia	0.940220920548	Mixed	#cccccc
37	Nitrospira	Burkholderia	0.8941059192	Mixed	#cccccc
38	Nitrospira	Gulbenkiania	0.948340998455	Mixed	#cccccc
39	Nitrospira	Methylibium	0.8941059192	Tongue_dorsum	#ff2f18
40	Odoribacter	Alistipes	0.821523286378	Stool	#e8cb72
41	Odoribacter	Butyrivibrio	0.804517486939	Stool	#e8cb72
42	Ottowia	Acidovorax	0.851568603903	Mixed	#cccccc
43	Ottowia	Actinobaculum	0.858756966342	Mixed	#cccccc
44	Ottowia	Basfia	0.81470161542	Mixed	#cccccc
45	Ottowia	Bergeyella	0.999759371308	Mixed	#cccccc
46	Ottowia	Cardiobacterium	0.987619378854	Mixed	#cccccc
47	Ottowia	Centipeda	0.920933619945	Mixed	#cccccc
48	Ottowia	Corynebacterium	0.801686643259	Supragingival_plaque	#ff8646
49	Ottowia	Lautropia	0.936872374224	Supragingival_plaque	#ff8646
50	Ottowia	Moraxella	0.991859121431	Mixed	#cccccc
51	Paracoccus	Acidovorax	0.851967917102	Mixed	#cccccc
52	Paracoccus	Actinobaculum	0.857159029774	Mixed	#cccccc
53	Paracoccus	Basfia	0.815021427815	Mixed	#cccccc
54	Paracoccus	Bergeyella	1.0	R_Retroauricular_crease	#acf59a
55	Paracoccus	Cardiobacterium	0.987048154871	Mixed	#cccccc
56	Paracoccus	Centipeda	0.921680479196	Mixed	#cccccc
57	Paracoccus	Corynebacterium	0.802074091431	Mixed	#cccccc
58	Paracoccus	Lautropia	0.936061883093	Mixed	#cccccc
59	Paracoccus	Moraxella	0.992900850233	Mixed	#cccccc
60	Paracoccus	Ottowia	0.999759371308	Mixed	#cccccc
61	Paraprevotella	Capnocytophaga	0.873930597171	Mixed	#cccccc
62	Propionibacterium	Abiotrophia	0.833544127037	Mixed	#cccccc
63	Propionibacterium	Acidovorax	0.857916273156	Mixed	#cccccc
64	Propionibacterium	Actinobaculum	0.889031997044	Mixed	#cccccc
65	Propionibacterium	Basfia	0.812746851424	Mixed	#cccccc
66	Propionibacterium	Bergeyella	0.971545305753	R_Retroauricular_crease	#acf59a
67	Propionibacterium	Cardiobacterium	0.985315776715	Mixed	#cccccc
68	Propionibacterium	Centipeda	0.890533873571	Mixed	#cccccc
69	Propionibacterium	Lautropia	0.948715630789	Mixed	#cccccc
70	Propionibacterium	Moraxella	0.966100039532	Mixed	#cccccc
71	Propionibacterium	Ottowia	0.972059221563	Mixed	#cccccc
72	Propionibacterium	Paracoccus	0.971545305753	R_Retroauricular_crease	#acf59a
73	Psychrobacter	Acidovorax	0.851967917102	Mixed	#cccccc
74	Psychrobacter	Actinobaculum	0.857159029774	Mixed	#cccccc
75	Psychrobacter	Basfia	0.815021427815	Mixed	#cccccc
76	Psychrobacter	Bergeyella	1.0	Mixed	#cccccc
77	Psychrobacter	Cardiobacterium	0.987048154871	Mixed	#cccccc
78	Psychrobacter	Centipeda	0.921680479196	Mixed	#cccccc
79	Psychrobacter	Corynebacterium	0.802074091431	Mixed	#cccccc
80	Psychrobacter	Lautropia	0.936061883093	Mixed	#cccccc
81	Psychrobacter	Moraxella	0.992900850233	Mixed	#cccccc
82	Psychrobacter	Ottowia	0.999759371308	Mixed	#cccccc
83	Psychrobacter	Paracoccus	1.0	Mixed	#cccccc
84	Psychrobacter	Propionibacterium	0.971545305753	Mixed	#cccccc
85	Riemerella	Chryseobacterium	0.823150579053	Mixed	#cccccc
86	Ruminiclostridium	Helcobacillus	1.0	Mixed	#cccccc
87	Sebaldella	Dialister	0.859521312772	Mixed	#cccccc
88	Selenomonas	Bergeyella	0.824585510496	Mixed	#cccccc
89	Selenomonas	Cardiobacterium	0.803662092422	Mixed	#cccccc
90	Selenomonas	Centipeda	0.956024619408	Mixed	#cccccc
91	Selenomonas	Moraxella	0.814565273201	Mixed	#cccccc
92	Selenomonas	Ottowia	0.82382881229	Supragingival_plaque	#ff8646
93	Selenomonas	Paracoccus	0.824585510496	Mixed	#cccccc
94	Selenomonas	Psychrobacter	0.824585510496	Mixed	#cccccc
95	Staphylococcus	Simonsiella	0.898499379039	Mixed	#cccccc
96	Tannerella	Olsenella	0.827697379146	Mixed	#cccccc
97	Tepidiphilus	Helicobacter	0.997961912256	Anterior_nares	#8000ff
98	Varibaculum	Propionimicrobium	0.886300100821	Mixed	#cccccc
