	source	target	weight	edge_sample	edge_color
0	Acidovorax sp. MR-S7	Acidovorax ebreus	2.0	Buccal_mucosa	#445cfb
1	Acidovorax sp. NO-1	Acetivibrio ethanolgignens	1.0	Mixed	#cccccc
2	Acinetobacter indicus	Acinetobacter baumannii	2.0	Mixed	#cccccc
3	Acinetobacter junii	Acidovorax sp. JS42	7.0	Mixed	#cccccc
4	Acinetobacter junii	Acidovorax temperans	11.0	Mixed	#cccccc
5	Acinetobacter junii	Acinetobacter baumannii	8.0	Mixed	#cccccc
6	Acinetobacter sp. 243_ASPC	Acinetobacter bereziniae	1.0	Mixed	#cccccc
7	Acinetobacter sp. CIP 101966	Achromobacter piechaudii	1.0	Mixed	#cccccc
8	Acinetobacter sp. CIP 102136	Achromobacter sp.	1.0	Anterior_nares	#8000ff
9	Acinetobacter sp. CIP 102136	Acinetobacter guillouiae	1.0	Mixed	#cccccc
10	Acinetobacter sp. MDS7A	Acinetobacter baumannii	3.0	Mixed	#cccccc
11	Acinetobacter sp. MDS7A	Acinetobacter indicus	1.0	Anterior_nares	#8000ff
12	Acinetobacter sp. NIPH 284	Acinetobacter sp. 243_ASPC	1.0	Mixed	#cccccc
13	Acinetobacter sp. NIPH 713	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
14	Acinetobacter sp. P8-3-8	Acinetobacter sp. 243_ASPC	1.0	Mixed	#cccccc
15	Acinetobacter sp. VT 511	Acinetobacter sp. NIPH 713	1.0	Anterior_nares	#8000ff
16	Acinetobacter tandoii	Acinetobacter bereziniae	1.0	Mixed	#cccccc
17	Acinetobacter tandoii	Acinetobacter sp. NIPH 284	1.0	Mixed	#cccccc
18	Acinetobacter tandoii	Acinetobacter sp. P8-3-8	1.0	Mixed	#cccccc
19	Acinetobacter towneri	Acinetobacter johnsonii	2.0	Anterior_nares	#8000ff
20	Acinetobacter towneri	Acinetobacter sp. MDS7A	3.0	Anterior_nares	#8000ff
21	Actinobacteria bacterium UC5.1-1B11	Acinetobacter bereziniae	1.0	Mixed	#cccccc
22	Actinobaculum suis	Acidithiobacillus caldus	1.0	Mixed	#cccccc
23	Actinobaculum suis	Acidovorax ebreus	2.0	Mixed	#cccccc
24	Actinomyces dentalis	Actinobaculum sp. oral taxon 183	11.0	Subgingival_plaque	#ffac5c
25	Actinomyces europaeus	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
26	Actinomyces johnsonii	Acinetobacter baumannii	5.0	Mixed	#cccccc
27	Actinomyces johnsonii	Actinomyces dentalis	5.0	Subgingival_plaque	#ffac5c
28	Actinomyces massiliensis	Acinetobacter junii	19.0	Mixed	#cccccc
29	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	15.0	Mixed	#cccccc
30	Actinomyces massiliensis	Actinomyces dentalis	10.0	Mixed	#cccccc
31	Actinomyces massiliensis	Actinomyces johnsonii	14.0	Mixed	#cccccc
32	Actinomyces meyeri	Actinomyces johnsonii	3.0	Subgingival_plaque	#ffac5c
33	Actinomyces naeslundii	Acinetobacter johnsonii	7.0	Mixed	#cccccc
34	Actinomyces naeslundii	Acinetobacter junii	9.0	Mixed	#cccccc
35	Actinomyces naeslundii	Actinobaculum sp. oral taxon 183	14.0	Mixed	#cccccc
36	Actinomyces naeslundii	Actinomyces dentalis	11.0	Mixed	#cccccc
37	Actinomyces naeslundii	Actinomyces israelii	5.0	Mixed	#cccccc
38	Actinomyces naeslundii	Actinomyces johnsonii	12.0	Mixed	#cccccc
39	Actinomyces naeslundii	Actinomyces massiliensis	25.0	Supragingival_plaque	#ff8646
40	Actinomyces neuii	Achromobacter sp. Root170	1.0	Mixed	#cccccc
41	Actinomyces odontolyticus	Acidovorax delafieldii	3.0	Mixed	#cccccc
42	Actinomyces oris	Acinetobacter junii	11.0	Mixed	#cccccc
43	Actinomyces oris	Actinobaculum sp. oral taxon 183	12.0	Mixed	#cccccc
44	Actinomyces oris	Actinomyces massiliensis	16.0	Supragingival_plaque	#ff8646
45	Actinomyces oris	Actinomyces naeslundii	19.0	Supragingival_plaque	#ff8646
46	Actinomyces oris	Actinomyces odontolyticus	7.0	Mixed	#cccccc
47	Actinomyces sp. HPA0247	Actinomyces georgiae	1.0	Mixed	#cccccc
48	Actinomyces sp. ICM39	Actinomyces graevenitzii	10.0	Tongue_dorsum	#ff2f18
49	Actinomyces sp. ICM39	Actinomyces israelii	6.0	Mixed	#cccccc
50	Actinomyces sp. ICM39	Actinomyces johnsonii	6.0	Mixed	#cccccc
51	Actinomyces sp. ICM39	Actinomyces odontolyticus	7.0	Mixed	#cccccc
52	Actinomyces sp. ICM47	Acidovorax temperans	10.0	Mixed	#cccccc
