TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Acinetobacter baumannii	Keratinized_gingiva	#17cbe4	3	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces dentalis	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	4	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	4	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	4	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	8	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	5	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	5	0.0	4.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	6	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	2	3.0	5.0	#0ac0e8	#7effb5	Mixed	#cccccc
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8646	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	4	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Actinomyces viscosus	Attached	#622ffe	6	0.0	4.0	#8000ff	#4df3ce	Mixed	#cccccc
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	6	3.0	0.0	#0ac0e8	#8000ff	Mixed	#cccccc
Aggregatibacter aphrophilus	Saliva	#cbe486	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Aggregatibacter segnis	Supragingival_plaque	#ff8646	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	4	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	8	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Alysiella crassa	Keratinized_gingiva	#17cbe4	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Atopobium parvulum	Saliva	#cbe486	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Atopobium rimae	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Atopobium sp. ICM42b	Saliva	#cbe486	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Avibacterium paragallinarum	Attached	#622ffe	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Bacteroides caccae	Stool	#e8cb72	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
