	source	target	weight	edge_sample	edge_color
0	Acidovorax sp. JHL-9	Acidithiobacillus caldus	1.0	Mixed	#cccccc
1	Acidovorax sp. JHL-9	Acidovorax delafieldii	1.0	Anterior_nares	#8000ff
2	Acidovorax sp. JS42	Acidovorax caeni	7.0	Mixed	#cccccc
3	Acidovorax sp. MR-S7	Acidithiobacillus caldus	9.0	Buccal_mucosa	#445cfb
4	Acidovorax sp. MR-S7	Acidovorax sp. JHL-9	1.0	Mixed	#cccccc
5	Acidovorax temperans	Acidovorax caeni	10.0	Mixed	#cccccc
6	Acidovorax temperans	Acidovorax sp. JS42	11.0	Mixed	#cccccc
7	Acinetobacter johnsonii	Acetobacter pasteurianus	1.0	Mixed	#cccccc
8	Acinetobacter junii	Acidithiobacillus caldus	5.0	Mixed	#cccccc
9	Actinobacillus minor	Abiotrophia defectiva	26.0	Mixed	#cccccc
10	Actinobacillus succinogenes	Acidovorax sp. MR-S7	2.0	Mixed	#cccccc
11	Actinobacillus succinogenes	Acinetobacter junii	2.0	Mixed	#cccccc
12	Actinobacillus ureae	Acidovorax caeni	5.0	Mixed	#cccccc
13	Actinobacillus ureae	Actinobacillus minor	12.0	Mixed	#cccccc
14	Actinobaculum sp. oral taxon 183	Abiotrophia defectiva	6.0	Mixed	#cccccc
15	Actinomyces georgiae	Acidovorax temperans	12.0	Mixed	#cccccc
16	Actinomyces georgiae	Actinobaculum sp. oral taxon 183	4.0	Subgingival_plaque	#ffac5c
17	Actinomyces gerencseriae	Actinomyces georgiae	13.0	Subgingival_plaque	#ffac5c
18	Actinomyces graevenitzii	Abiotrophia defectiva	15.0	Mixed	#cccccc
19	Actinomyces graevenitzii	Acidovorax ebreus	9.0	Mixed	#cccccc
20	Actinomyces graevenitzii	Acidovorax temperans	11.0	Mixed	#cccccc
21	Actinomyces graevenitzii	Actinobacillus minor	12.0	Mixed	#cccccc
22	Actinomyces graevenitzii	Actinomyces georgiae	21.0	Mixed	#cccccc
23	Actinomyces graevenitzii	Actinomyces gerencseriae	10.0	Mixed	#cccccc
24	Actinomyces johnsonii	Abiotrophia defectiva	31.0	Mixed	#cccccc
25	Actinomyces johnsonii	Acidovorax temperans	16.0	Mixed	#cccccc
26	Actinomyces johnsonii	Actinobacillus minor	18.0	Mixed	#cccccc
27	Actinomyces johnsonii	Actinomyces georgiae	29.0	Subgingival_plaque	#ffac5c
28	Actinomyces johnsonii	Actinomyces gerencseriae	20.0	Subgingival_plaque	#ffac5c
29	Actinomyces johnsonii	Actinomyces graevenitzii	41.0	Mixed	#cccccc
30	Actinomyces massiliensis	Abiotrophia defectiva	12.0	Mixed	#cccccc
31	Actinomyces massiliensis	Acidovorax temperans	12.0	Mixed	#cccccc
32	Actinomyces massiliensis	Actinomyces georgiae	17.0	Mixed	#cccccc
33	Actinomyces massiliensis	Actinomyces graevenitzii	15.0	Mixed	#cccccc
34	Actinomyces massiliensis	Actinomyces israelii	7.0	Mixed	#cccccc
35	Actinomyces massiliensis	Actinomyces johnsonii	26.0	Mixed	#cccccc
36	Actinomyces meyeri	Acidovorax ebreus	5.0	Mixed	#cccccc
37	Actinomyces meyeri	Acinetobacter junii	5.0	Mixed	#cccccc
38	Actinomyces meyeri	Actinomyces johnsonii	18.0	Subgingival_plaque	#ffac5c
39	Actinomyces meyeri	Actinomyces massiliensis	9.0	Mixed	#cccccc
40	Actinomyces naeslundii	Abiotrophia defectiva	27.0	Mixed	#cccccc
41	Actinomyces naeslundii	Acidovorax caeni	8.0	Mixed	#cccccc
42	Actinomyces naeslundii	Acidovorax temperans	12.0	Mixed	#cccccc
43	Actinomyces naeslundii	Actinobacillus minor	13.0	Mixed	#cccccc
44	Actinomyces naeslundii	Actinomyces georgiae	17.0	Mixed	#cccccc
45	Actinomyces naeslundii	Actinomyces gerencseriae	13.0	Mixed	#cccccc
46	Actinomyces naeslundii	Actinomyces graevenitzii	33.0	Mixed	#cccccc
47	Actinomyces naeslundii	Actinomyces johnsonii	51.0	Mixed	#cccccc
48	Actinomyces naeslundii	Actinomyces massiliensis	26.0	Supragingival_plaque	#ff8646
49	Actinomyces naeslundii	Actinomyces meyeri	12.0	Mixed	#cccccc
50	Actinomyces odontolyticus	Abiotrophia defectiva	29.0	Mixed	#cccccc
51	Actinomyces odontolyticus	Acidovorax temperans	12.0	Mixed	#cccccc
52	Actinomyces odontolyticus	Actinobacillus minor	23.0	Mixed	#cccccc
53	Actinomyces odontolyticus	Actinobacillus ureae	11.0	Mixed	#cccccc
54	Actinomyces odontolyticus	Actinomyces dentalis	9.0	Mixed	#cccccc
55	Actinomyces odontolyticus	Actinomyces georgiae	14.0	Mixed	#cccccc
56	Actinomyces odontolyticus	Actinomyces gerencseriae	10.0	Mixed	#cccccc
57	Actinomyces odontolyticus	Actinomyces graevenitzii	36.0	Mixed	#cccccc
58	Actinomyces odontolyticus	Actinomyces israelii	11.0	Mixed	#cccccc
59	Actinomyces odontolyticus	Actinomyces johnsonii	42.0	Mixed	#cccccc
60	Actinomyces odontolyticus	Actinomyces massiliensis	20.0	Mixed	#cccccc
61	Actinomyces odontolyticus	Actinomyces meyeri	17.0	Mixed	#cccccc
62	Actinomyces odontolyticus	Actinomyces naeslundii	31.0	Mixed	#cccccc
63	Actinomyces oris	Abiotrophia defectiva	25.0	Mixed	#cccccc
64	Actinomyces oris	Acidovorax caeni	11.0	Mixed	#cccccc
65	Actinomyces oris	Acidovorax temperans	14.0	Mixed	#cccccc
66	Actinomyces oris	Actinobacillus minor	20.0	Mixed	#cccccc
67	Actinomyces oris	Actinobacillus ureae	13.0	Mixed	#cccccc
68	Actinomyces oris	Actinomyces dentalis	8.0	Mixed	#cccccc
69	Actinomyces oris	Actinomyces georgiae	13.0	Mixed	#cccccc
70	Actinomyces oris	Actinomyces gerencseriae	14.0	Mixed	#cccccc
71	Actinomyces oris	Actinomyces graevenitzii	22.0	Mixed	#cccccc
72	Actinomyces oris	Actinomyces israelii	11.0	Mixed	#cccccc
73	Actinomyces oris	Actinomyces johnsonii	41.0	Mixed	#cccccc
74	Actinomyces oris	Actinomyces massiliensis	15.0	Supragingival_plaque	#ff8646
