	source	target	weight	edge_sample	edge_color
0	Acinetobacter baumannii	Acidovorax caeni	1.0	Mixed	#cccccc
1	Acinetobacter junii	Acidovorax ebreus	1.0	Mixed	#cccccc
2	Acinetobacter junii	Acidovorax sp. JS42	1.0	Mixed	#cccccc
3	Actinomyces gerencseriae	Actinomyces dentalis	1.0	Subgingival_plaque	#ffac5c
4	Actinomyces israelii	Acidovorax caeni	1.0	Mixed	#cccccc
5	Actinomyces israelii	Acinetobacter baumannii	1.0	Mixed	#cccccc
6	Actinomyces johnsonii	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
7	Actinomyces massiliensis	Abiotrophia defectiva	2.0	Mixed	#cccccc
8	Actinomyces naeslundii	Actinomyces dentalis	1.0	Mixed	#cccccc
9	Actinomyces naeslundii	Actinomyces gerencseriae	2.0	Mixed	#cccccc
10	Actinomyces naeslundii	Actinomyces johnsonii	1.0	Mixed	#cccccc
11	Actinomyces naeslundii	Actinomyces massiliensis	2.0	Supragingival_plaque	#ff8646
12	Actinomyces odontolyticus	Acidovorax caeni	1.0	Mixed	#cccccc
13	Actinomyces odontolyticus	Acinetobacter baumannii	1.0	Mixed	#cccccc
14	Actinomyces oris	Actinomyces gerencseriae	2.0	Mixed	#cccccc
15	Actinomyces oris	Actinomyces naeslundii	2.0	Supragingival_plaque	#ff8646
16	Actinomyces sp. ICM39	Actinomyces neuii	1.0	Mixed	#cccccc
17	Actinomyces sp. ICM47	Actinomyces neuii	2.0	Mixed	#cccccc
18	Actinomyces sp. oral taxon 170	Acidovorax caeni	1.0	Mixed	#cccccc
19	Actinomyces sp. oral taxon 170	Acidovorax temperans	1.0	Mixed	#cccccc
20	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff8646
21	Actinomyces sp. S6-Spd3	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
22	Actinomyces turicensis	Actinomyces sp. SD1	2.0	Mixed	#cccccc
