TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidaminococcus intestini	Stool	#e8cb72	53	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Acidaminococcus sp. BV3L6	Stool	#e8cb72	41	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Acinetobacter baumannii	Keratinized_gingiva	#17cbe4	81	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Adlercreutzia equolifaciens	Stool	#e8cb72	160	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Afipia broomeae	Anterior_nares	#8000ff	2	1.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Akkermansia muciniphila	Stool	#e8cb72	262	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Alistipes finegoldii	Stool	#e8cb72	332	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes indistinctus	Stool	#e8cb72	224	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Alistipes obesi	Stool	#e8cb72	311	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes onderdonkii	Stool	#e8cb72	331	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes putredinis	Stool	#e8cb72	339	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes senegalensis	Stool	#e8cb72	333	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes shahii	Stool	#e8cb72	331	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes sp. AL-1	Stool	#e8cb72	316	1.0	3.0	#ff0000	#feb562	Mixed	#cccccc
Alistipes sp. HGB5	Stool	#e8cb72	321	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Alistipes sp. ZOR0009	Stool	#e8cb72	2	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Alistipes timonensis	Stool	#e8cb72	321	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Alkaliflexus imshenetskii	Stool	#e8cb72	2	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Anaerococcus vaginalis	L_Retroauricular_crease	#34e4d9	2	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Anaerofustis stercorihominis	Stool	#e8cb72	11	1.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	25	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Anaerostipes hadrus	Stool	#e8cb72	189	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Anaerostipes sp. 3_2_56FAA	Stool	#e8cb72	10	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Anaerotruncus colihominis	Stool	#e8cb72	258	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Anaerovibrio lipolyticus	Stool	#e8cb72	2	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
bacterium LF-3	Stool	#e8cb72	261	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Bacteroidaceae bacterium MS4	Stool	#e8cb72	44	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides acidifaciens	Stool	#e8cb72	319	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides barnesiae	Stool	#e8cb72	172	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides caccae	Stool	#e8cb72	352	1.0	2.0	#ff0000	#7effb5	Mixed	#cccccc
Bacteroides cellulosilyticus	Stool	#e8cb72	328	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides coprocola	Stool	#e8cb72	327	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Bacteroides coprophilus	Stool	#e8cb72	250	1.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Bacteroides coprosuis	Stool	#e8cb72	15	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
Bacteroides dorei	Stool	#e8cb72	359	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides eggerthii	Stool	#e8cb72	314	1.0	2.0	#ff0000	#7effb5	Mixed	#cccccc
Bacteroides faecichinchillae	Stool	#e8cb72	288	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides faecis	Stool	#e8cb72	331	0.0	1.0	#8000ff	#01b3ec	Mixed	#cccccc
