	source	target	weight	edge_sample	edge_color
0	Actinomyces georgiae	Actinomyces dentalis	5.0	Subgingival_plaque	#ffac5c
1	Actinomyces gerencseriae	Actinomyces dentalis	5.0	Subgingival_plaque	#ffac5c
2	Actinomyces graevenitzii	Actinomyces georgiae	3.0	Mixed	#cccccc
3	Actinomyces graevenitzii	Actinomyces gerencseriae	3.0	Mixed	#cccccc
4	Actinomyces israelii	Actinomyces dentalis	2.0	Subgingival_plaque	#ffac5c
5	Actinomyces massiliensis	Abiotrophia defectiva	7.0	Mixed	#cccccc
6	Actinomyces oris	Actinomyces georgiae	6.0	Mixed	#cccccc
7	Actinomyces oris	Actinomyces gerencseriae	8.0	Mixed	#cccccc
8	Actinomyces oris	Actinomyces johnsonii	8.0	Mixed	#cccccc
9	Actinomyces oris	Actinomyces odontolyticus	11.0	Mixed	#cccccc
10	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	5.0	Supragingival_plaque	#ff8646
11	Actinomyces sp. oral taxon 175	Actinomyces georgiae	6.0	Mixed	#cccccc
12	Actinomyces sp. oral taxon 175	Actinomyces gerencseriae	6.0	Mixed	#cccccc
13	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	6.0	Mixed	#cccccc
14	Actinomyces sp. oral taxon 175	Actinomyces oris	14.0	Supragingival_plaque	#ff8646
15	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 170	7.0	Supragingival_plaque	#ff8646
16	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 171	7.0	Supragingival_plaque	#ff8646
17	Actinomyces sp. oral taxon 180	Actinomyces dentalis	3.0	Mixed	#cccccc
18	Actinomyces sp. oral taxon 180	Actinomyces graevenitzii	3.0	Tongue_dorsum	#ff2f18
19	Actinomyces sp. oral taxon 180	Actinomyces naeslundii	3.0	Mixed	#cccccc
20	Actinomyces sp. oral taxon 414	Actinomyces dentalis	5.0	Subgingival_plaque	#ffac5c
21	Actinomyces sp. oral taxon 414	Actinomyces gerencseriae	11.0	Subgingival_plaque	#ffac5c
22	Actinomyces sp. oral taxon 414	Actinomyces naeslundii	7.0	Mixed	#cccccc
