TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinobacillus pleuropneumoniae	Buccal_mucosa_NA	#2686f5	1	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Actinobacillus ureae	Keratinized_gingiva	#17cbe4	7	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	241	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces dentalis	Subgingival_plaque	#ffac5c	218	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Actinomyces georgiae	Subgingival_plaque	#ffac5c	138	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	270	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Actinomyces israelii	Subgingival_plaque	#ffac5c	228	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	271	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	271	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces meyeri	Subgingival_plaque	#ffac5c	111	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	271	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	225	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	271	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces slackii	Supragingival_plaque	#ff8646	42	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	11	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	28	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	3	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
