TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acinetobacter junii	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Actinomyces israelii	Subgingival_plaque	#ffac5c	2	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Actinomyces meyeri	Subgingival_plaque	#ffac5c	9	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	4	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	14	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	14	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	11	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	6	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	2	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	7	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	11	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	4	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	1	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	11	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Actinomyces viscosus	Attached	#622ffe	5	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Afipia birgiae	Throat	#ff5c2f	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Afipia broomeae	Anterior_nares	#8000ff	1	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Aggregatibacter segnis	Supragingival_plaque	#ff8646	8	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	9	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Alistipes putredinis	Stool	#e8cb72	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	15	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Atopobium parvulum	Saliva	#cbe486	15	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Atopobium sp. BS2	Saliva	#cbe486	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Atopobium sp. ICM42b	Saliva	#cbe486	15	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	3	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Bacillus thermoamylovorans	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Bacteroides gallinarum	Stool	#e8cb72	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Bacteroides pyogenes	Stool	#e8cb72	5	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Bacteroidetes oral taxon 274	Subgingival_plaque	#ffac5c	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Bradyrhizobium sp. CCH5-F6	R_Retroauricular_crease	#acf59a	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Brochothrix thermosphacta	Saliva	#cbe486	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Bulleidia extructa	Throat	#ff5c2f	6	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Campylobacter fetus	Keratinized_gingiva	#17cbe4	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Campylobacter gracilis	Subgingival_plaque	#ffac5c	7	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Campylobacter mucosalis	Attached	#622ffe	2	1.0	3.0	#ff0000	#b2f396	Mixed	#cccccc
Campylobacter rectus	Subgingival_plaque	#ffac5c	13	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Campylobacter showae	Supragingival_plaque	#ff8646	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Campylobacter sp. 10_1_50	Attached	#622ffe	12	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Campylobacter sp. FOBRC14	Attached	#622ffe	6	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Candidatus Alistipes marseilloanorexicus	Stool	#e8cb72	1	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	7	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8646	9	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff8646	4	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
