TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidovorax avenae	Supragingival_plaque	#ff8646	2	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	106	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Actinomyces dentalis	Subgingival_plaque	#ffac5c	44	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Actinomyces georgiae	Subgingival_plaque	#ffac5c	11	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	33	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	277	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	20	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	86	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Actinomyces meyeri	Subgingival_plaque	#ffac5c	258	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	81	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	279	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	128	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	275	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	276	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	277	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	272	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	277	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	50	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	72	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	277	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	30	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
