TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acinetobacter sp. P8-3-8	R_Retroauricular_crease	#acf59a	2	98.0	6.0	#ff7e41	#6826fe
Acinetobacter sp. VT 511	Anterior_nares	#8000ff	1	43.0	13.0	#3ae8d6	#4c50fc
Acinetobacter tandoii	Anterior_nares	#8000ff	1	72.0	10.0	#b9ef92	#583efd
Acinetobacter ursingii	R_Retroauricular_crease	#acf59a	4	98.0	6.0	#ff7e41	#6826fe
Actinomyces europaeus	Anterior_nares	#8000ff	2	112.0	11.0	#ff2211	#5444fd
Actinomyces sp. S4-C9	Anterior_nares	#8000ff	1	39.0	15.0	#28dbde	#445cfb
Actinomyces vaccimaxillae	Anterior_nares	#8000ff	2	98.0	6.0	#ff7e41	#6826fe
Advenella kashmirensis	Anterior_nares	#8000ff	2	112.0	11.0	#ff2211	#5444fd
Aeromonas hydrophila	L_Retroauricular_crease	#34e4d9	1	91.0	3.0	#ffa558	#7413ff
Aeromonas rivuli	Anterior_nares	#8000ff	1	45.0	27.0	#44eed2	#11a0f1
Aeromonas salmonicida	Anterior_nares	#8000ff	1	91.0	3.0	#ffa558	#7413ff
Aeromonas sanarellii	Anterior_nares	#8000ff	1	66.0	17.0	#9efaa2	#3c68f9
Agrobacterium albertimagni	Anterior_nares	#8000ff	1	86.0	19.0	#f6be68	#3473f8
Agrobacterium sp. LC34	Anterior_nares	#8000ff	2	47.0	28.0	#4df3ce	#0ea5ef
Aliivibrio salmonicida	Anterior_nares	#8000ff	1	61.0	25.0	#88ffaf	#1996f3
Anaerofustis stercorihominis	Stool	#e8cb72	1	97.0	8.0	#ff8444	#6032fe
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	1	36.0	24.0	#1dd1e2	#208ef4
Anoxybacillus tepidamans	Anterior_nares	#8000ff	1	27.0	16.0	#0ca7ef	#4062fa
Arthrobacter sp. AK-YN10	Anterior_nares	#8000ff	2	44.0	38.0	#3febd5	#1acfe3
Arthrobacter sp. L77	Anterior_nares	#8000ff	1	86.0	19.0	#f6be68	#3473f8
Atopobium sp. BS2	Saliva	#cbe486	14	82.0	21.0	#e4cf74	#2c7ef7
Atopococcus tabaci	Anterior_nares	#8000ff	2	98.0	6.0	#ff7e41	#6826fe
Aurantimonas coralicida	Anterior_nares	#8000ff	1	72.0	10.0	#b9ef92	#583efd
Bacillus nealsonii	Anterior_nares	#8000ff	1	31.0	47.0	#07bbea	#3febd5
Bacillus smithii	L_Retroauricular_crease	#34e4d9	1	45.0	27.0	#44eed2	#11a0f1
Bacillus velezensis	Anterior_nares	#8000ff	1	48.0	16.0	#50f4cc	#4062fa
Bacteroidaceae bacterium MS4	Stool	#e8cb72	1	97.0	8.0	#ff8444	#6032fe
Bacteroides stercorirosoris	Stool	#e8cb72	2	47.0	28.0	#4df3ce	#0ea5ef
Bdellovibrio bacteriovorus	Anterior_nares	#8000ff	1	106.0	37.0	#ff4a26	#17cbe4
Belnapia moabensis	L_Retroauricular_crease	#34e4d9	2	44.0	38.0	#3febd5	#1acfe3
Bifidobacterium kashiwanohense	L_Retroauricular_crease	#34e4d9	5	65.0	40.0	#9bfba5	#22d6e0
Bilophila wadsworthia	Stool	#e8cb72	1	36.0	30.0	#1dd1e2	#06aeed
Bordetella petrii	Anterior_nares	#8000ff	1	51.0	39.0	#5efac6	#1fd3e1
Bosea sp. Root483D1	L_Retroauricular_crease	#34e4d9	1	24.0	48.0	#1898f2	#42edd3
Brachybacterium faecium	Anterior_nares	#8000ff	1	24.0	48.0	#1898f2	#42edd3
Brachymonas chironomi	Anterior_nares	#8000ff	3	37.0	20.0	#20d5e1	#3079f7
Bradyrhizobium lablabi	Anterior_nares	#8000ff	2	58.0	38.0	#7dffb6	#1acfe3
Bradyrhizobium sp. URHA0002	Anterior_nares	#8000ff	4	44.0	38.0	#3febd5	#1acfe3
Brevibacillus borstelensis	Anterior_nares	#8000ff	1	36.0	24.0	#1dd1e2	#208ef4
Brevibacterium senegalense	Anterior_nares	#8000ff	2	58.0	38.0	#7dffb6	#1acfe3
Brevundimonas abyssalis	R_Retroauricular_crease	#acf59a	2	47.0	28.0	#4df3ce	#0ea5ef
Brevundimonas nasdae	R_Retroauricular_crease	#acf59a	1	86.0	19.0	#f6be68	#3473f8
Brevundimonas sp. BAL3	R_Retroauricular_crease	#acf59a	1	86.0	19.0	#f6be68	#3473f8
Brevundimonas sp. EAKA	R_Retroauricular_crease	#acf59a	4	112.0	11.0	#ff2211	#5444fd
Burkholderia ambifaria	Anterior_nares	#8000ff	2	98.0	6.0	#ff7e41	#6826fe
Burkholderia contaminans	Anterior_nares	#8000ff	1	36.0	30.0	#1dd1e2	#06aeed
Burkholderia vietnamiensis	Buccal_mucosa	#445cfb	1	117.0	45.0	#ff0000	#37e6d8
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	2	19.0	64.0	#2e7bf7	#84ffb2
Capnocytophaga canimorsus	R_Retroauricular_crease	#acf59a	5	53.0	22.0	#66fcc2	#2884f6
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#ffac5c	3	19.0	64.0	#2e7bf7	#84ffb2
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8646	3	19.0	64.0	#2e7bf7	#84ffb2
Capnocytophaga sp. oral taxon 336	Subgingival_plaque	#ffac5c	2	19.0	64.0	#2e7bf7	#84ffb2
Carnobacterium sp. WN1374	R_Retroauricular_crease	#acf59a	2	80.0	33.0	#dcd67a	#07bbea
Carnobacterium sp. ZWU0011	Buccal_mucosa	#445cfb	1	24.0	48.0	#1898f2	#42edd3
Cellulomonas carbonis	Stool	#e8cb72	2	47.0	28.0	#4df3ce	#0ea5ef
Cellulomonas flavigena	Throat	#ff5c2f	3	112.0	11.0	#ff2211	#5444fd
Cellulomonas gilvus	Anterior_nares	#8000ff	1	75.0	26.0	#c6e789	#169bf2
Cellulomonas sp. Leaf334	Anterior_nares	#8000ff	1	85.0	53.0	#f2c26b	#58f8c9
Cellulomonas sp. Root485	Anterior_nares	#8000ff	1	7.0	26.0	#622ffe	#169bf2
Chryseobacterium hispalense	R_Retroauricular_crease	#acf59a	1	107.0	18.0	#ff4422	#386df9
Chryseobacterium oranimense	Anterior_nares	#8000ff	1	63.0	49.0	#92fda9	#46efd1
Chryseobacterium sp. FF12	R_Retroauricular_crease	#acf59a	3	112.0	11.0	#ff2211	#5444fd
Chryseobacterium sp. Hurlbut01	Buccal_mucosa	#445cfb	1	53.0	34.0	#66fcc2	#0ac0e8
Chryseobacterium sp. UNC8MFCol	Anterior_nares	#8000ff	2	49.0	7.0	#54f6cb	#642cfe
Chryseobacterium vrystaatense	Anterior_nares	#8000ff	2	98.0	6.0	#ff7e41	#6826fe
Clostridiales bacterium SIT13	L_Retroauricular_crease	#34e4d9	1	105.0	63.0	#ff532a	#80ffb4
Clostridiales bacterium VE202-13	Stool	#e8cb72	2	68.0	74.0	#a8f79c	#acf59a
