TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#7effb5	#2adddd
Acinetobacter johnsonii	Anterior_nares	#8000ff	2	1.0	0.0	#7effb5	#8000ff
Actinobacillus ureae	Keratinized_gingiva	#17cbe4	4	0.0	2.0	#8000ff	#d4dd80
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	2	2.0	0.0	#ff0000	#8000ff
Actinomyces dentalis	Subgingival_plaque	#ffac5c	2	1.0	0.0	#7effb5	#8000ff
Actinomyces georgiae	Subgingival_plaque	#ffac5c	4	2.0	1.0	#ff0000	#2adddd
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	4	2.0	0.0	#ff0000	#8000ff
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	4	0.0	0.0	#8000ff	#8000ff
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	4	2.0	1.0	#ff0000	#2adddd
Actinomyces massiliensis	Supragingival_plaque	#ff8646	4	2.0	1.0	#ff0000	#2adddd
Actinomyces meyeri	Subgingival_plaque	#ffac5c	4	2.0	1.0	#ff0000	#2adddd
Actinomyces naeslundii	Supragingival_plaque	#ff8646	4	0.0	1.0	#8000ff	#2adddd
Actinomyces odontolyticus	Throat	#ff5c2f	8	1.0	0.0	#7effb5	#8000ff
Actinomyces oris	Supragingival_plaque	#ff8646	5	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	2	2.0	0.0	#ff0000	#8000ff
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	6	1.0	0.0	#7effb5	#8000ff
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	2	1.0	0.0	#7effb5	#8000ff
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	2	2.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	4	2.0	1.0	#ff0000	#2adddd
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	4	1.0	1.0	#7effb5	#2adddd
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	2	1.0	0.0	#7effb5	#8000ff
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	4	1.0	1.0	#7effb5	#2adddd
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8646	2	2.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	2	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	2	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	2.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	2	1.0	0.0	#7effb5	#8000ff
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	4	2.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	2	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	2	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	4	0.0	0.0	#8000ff	#8000ff
Actinomyces timonensis	Subgingival_plaque	#ffac5c	4	0.0	1.0	#8000ff	#2adddd
Actinomyces viscosus	Attached	#622ffe	6	2.0	1.0	#ff0000	#2adddd
Aggregatibacter aphrophilus	Saliva	#cbe486	10	2.0	0.0	#ff0000	#8000ff
Aggregatibacter segnis	Supragingival_plaque	#ff8646	10	1.0	0.0	#7effb5	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	4	0.0	0.0	#8000ff	#8000ff
Alloprevotella rava	Saliva	#cbe486	8	0.0	0.0	#8000ff	#8000ff
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	8	0.0	0.0	#8000ff	#8000ff
