TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Butyrivibrio crossotus	Stool	#e8cb72	1	1.0	1.0	#2c7ef7	#386df9
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	2	5.0	2.0	#ff8143	#10c6e6
Fusobacterium nucleatum	Subgingival_plaque	#ffac5c	2	2.0	3.0	#2adddd	#5af8c8
Haemophilus sp. C1	Buccal_mucosa	#445cfb	2	6.0	0.0	#ff0000	#8000ff
Leptotrichia sp. oral taxon 225	Supragingival_plaque	#ff8646	1	0.0	4.0	#8000ff	#a2f9a0
Paraprevotella clara	Stool	#e8cb72	1	0.0	4.0	#8000ff	#a2f9a0
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	1	1.0	1.0	#2c7ef7	#386df9
Prevotella aurantiaca	Tongue_dorsum	#ff2f18	1	1.0	1.0	#2c7ef7	#386df9
Prevotella fusca	Palatine_Tonsils	#70febc	1	1.0	1.0	#2c7ef7	#386df9
Prevotella oralis	Subgingival_plaque	#ffac5c	1	0.0	4.0	#8000ff	#a2f9a0
Prevotella sp. F0091	Palatine_Tonsils	#70febc	1	0.0	4.0	#8000ff	#a2f9a0
Roseburia inulinivorans	Stool	#e8cb72	1	1.0	1.0	#2c7ef7	#386df9
Stomatobaculum longum	Tongue_dorsum	#ff2f18	2	4.0	6.0	#d4dd80	#ff703a
Streptococcus infantis	Tongue_dorsum	#ff2f18	2	3.0	5.0	#7effb5	#ecc86f
Streptococcus sp. CM6	Buccal_mucosa_NA	#2686f5	2	4.0	6.0	#d4dd80	#ff703a
Streptococcus sp. SR1	Hard_palate	#08acee	1	1.0	1.0	#2c7ef7	#386df9
Streptococcus uberis	Buccal_mucosa_NA	#2686f5	1	0.0	4.0	#8000ff	#a2f9a0
Treponema socranskii	Subgingival_plaque	#ffac5c	1	1.0	1.0	#2c7ef7	#386df9
Veillonella sp. HPA0037	Tongue_dorsum	#ff2f18	1	1.0	1.0	#2c7ef7	#386df9
Veillonella sp. oral taxon 780	Keratinized_gingiva	#17cbe4	1	1.0	1.0	#2c7ef7	#386df9
Veillonella tobetsuensis	Tongue_dorsum	#ff2f18	2	3.0	7.0	#7effb5	#ff0000
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	1	1.0	1.0	#2c7ef7	#386df9
Actinomyces viscosus	Attached	#622ffe	2	5.0	2.0	#ff8143	#10c6e6
Atopobium parvulum	Saliva	#cbe486	2	2.0	3.0	#2adddd	#5af8c8
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	6.0	0.0	#ff0000	#8000ff
Lactobacillus crispatus	Mid_vagina	#52f5cb	1	0.0	4.0	#8000ff	#a2f9a0
Odoribacter splanchnicus	Stool	#e8cb72	2	4.0	6.0	#d4dd80	#ff703a
Leptotrichia wadei	Tongue_dorsum	#ff2f18	2	3.0	5.0	#7effb5	#ecc86f
Prevotella maculosa	Subgingival_plaque	#ffac5c	2	3.0	7.0	#7effb5	#ff0000
