	source	target	weight	edge_sample	edge_color
0	Acidovorax ebreus	Acidithiobacillus caldus	0.881291973309	Buccal_mucosa	#445cfb
1	Acidovorax sp. JS42	Acidithiobacillus caldus	0.948832505585	Buccal_mucosa	#445cfb
2	Acidovorax sp. JS42	Acidovorax ebreus	0.914964961653	Buccal_mucosa	#445cfb
3	Acidovorax sp. MR-S7	Acidithiobacillus caldus	0.946828587971	Buccal_mucosa	#445cfb
4	Acidovorax sp. MR-S7	Acidovorax ebreus	0.871224466019	Buccal_mucosa	#445cfb
5	Acidovorax sp. MR-S7	Acidovorax sp. JS42	0.946129056726	Buccal_mucosa	#445cfb
6	Acidovorax temperans	Acidovorax ebreus	0.82728112852	Mixed	#cccccc
7	Actinomyces meyeri	Actinomyces dentalis	0.82110198326	Subgingival_plaque	#ffac5c
8	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	0.886608543409	Supragingival_plaque	#ff8646
9	Actinomyces sp. oral taxon 414	Actinomyces dentalis	0.981321409034	Subgingival_plaque	#ffac5c
10	Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.964118309547	Tongue_dorsum	#ff2f18
11	Actinotignum schaalii	Actinomyces oris	0.816424881913	Mixed	#cccccc
12	Adlercreutzia equolifaciens	Acetivibrio ethanolgignens	0.814942827701	Stool	#e8cb72
13	Aeromonas fluvialis	Acinetobacter tandoii	1.0	Mixed	#cccccc
14	Alicycliphilus denitrificans	Acidovorax sp. MR-S7	0.808902278237	Mixed	#cccccc
15	Alicycliphilus sp. B1	Acidovorax caeni	0.851056532075	Anterior_nares	#8000ff
16	Alistipes indistinctus	Alistipes finegoldii	0.944295583192	Stool	#e8cb72
17	Alistipes putredinis	Alistipes obesi	0.977617071957	Stool	#e8cb72
18	Alistipes senegalensis	Alistipes finegoldii	0.967693474752	Stool	#e8cb72
19	Alistipes senegalensis	Alistipes indistinctus	0.897255174632	Stool	#e8cb72
20	Alistipes shahii	Alistipes obesi	0.94878994477	Stool	#e8cb72
21	Alistipes shahii	Alistipes putredinis	0.971431721608	Stool	#e8cb72
22	Alistipes sp. AL-1	Alistipes obesi	0.839676262889	Stool	#e8cb72
23	Alistipes sp. AL-1	Alistipes putredinis	0.863761706763	Stool	#e8cb72
24	Alistipes sp. AL-1	Alistipes shahii	0.926980074518	Stool	#e8cb72
25	Alistipes sp. HGB5	Acetivibrio ethanolgignens	0.887585081584	Stool	#e8cb72
26	Alistipes sp. HGB5	Adlercreutzia equolifaciens	0.815177162572	Stool	#e8cb72
27	Anaerococcus lactolyticus	Alysiella crassa	0.916829357419	Mixed	#cccccc
28	Anaerococcus prevotii	Alistipes senegalensis	0.801922848996	Mixed	#cccccc
29	Anaerococcus provenciensis	Alistipes senegalensis	0.80383296426	Mixed	#cccccc
30	Anaerococcus provenciensis	Anaerococcus prevotii	0.998051686648	L_Retroauricular_crease	#34e4d9
31	Anaerotruncus colihominis	Acetivibrio ethanolgignens	0.814942827701	Stool	#e8cb72
32	Anaerotruncus colihominis	Adlercreutzia equolifaciens	1.0	Stool	#e8cb72
33	Anaerotruncus colihominis	Alistipes sp. HGB5	0.815177162572	Stool	#e8cb72
34	Aquabacterium parvum	Acidovorax caeni	0.852721557907	Mixed	#cccccc
35	Aquabacterium sp. NJ1	Alloiococcus otitis	0.832986172552	Anterior_nares	#8000ff
36	Aromatoleum aromaticum	Acidovorax sp. JHL-9	1.0	Mixed	#cccccc
37	Atopobium sp. ICM42b	Atopobium sp. BS2	0.960780039578	Saliva	#cbe486
38	Azonexus hydrophilus	Alcaligenes faecalis	0.864927083236	Mixed	#cccccc
39	Azospira oryzae	Acidovorax sp. JHL-9	1.0	Anterior_nares	#8000ff
40	Azospira oryzae	Aromatoleum aromaticum	1.0	Mixed	#cccccc
41	Azospirillum brasilense	Alloiococcus otitis	0.832986172552	Anterior_nares	#8000ff
42	Azospirillum brasilense	Aquabacterium sp. NJ1	1.0	Anterior_nares	#8000ff
43	bacterium LF-3	Acetivibrio ethanolgignens	0.932490560863	Stool	#e8cb72
44	bacterium LF-3	Alistipes sp. HGB5	0.967343196723	Stool	#e8cb72
45	Bacteroides acidifaciens	Alistipes obesi	0.884920442697	Stool	#e8cb72
46	Bacteroides acidifaciens	Alistipes putredinis	0.920020146331	Stool	#e8cb72
47	Bacteroides acidifaciens	Alistipes shahii	0.90792045487	Stool	#e8cb72
48	Bacteroides acidifaciens	Alistipes sp. AL-1	0.818643368517	Stool	#e8cb72
49	Bacteroides caccae	Acetivibrio ethanolgignens	0.896440369586	Stool	#e8cb72
50	Bacteroides caccae	Adlercreutzia equolifaciens	0.861679516857	Stool	#e8cb72
51	Bacteroides caccae	Alistipes sp. HGB5	0.972292697738	Stool	#e8cb72
52	Bacteroides caccae	Anaerotruncus colihominis	0.861679516857	Stool	#e8cb72
53	Bacteroides caccae	bacterium LF-3	0.95474536192	Stool	#e8cb72
54	Bacteroides clarus	Akkermansia muciniphila	0.915250365601	Stool	#e8cb72
55	Bacteroides coprocola	Alistipes shahii	0.835432739269	Stool	#e8cb72
56	Bacteroides coprocola	Alistipes sp. AL-1	0.848145958853	Stool	#e8cb72
57	Bacteroides eggerthii	Akkermansia muciniphila	0.942744553516	Stool	#e8cb72
58	Bacteroides eggerthii	Bacteroides clarus	0.977447149088	Stool	#e8cb72
59	Bacteroides faecichinchillae	Acetivibrio ethanolgignens	0.814942827701	Stool	#e8cb72
60	Bacteroides faecichinchillae	Adlercreutzia equolifaciens	1.0	Stool	#e8cb72
61	Bacteroides faecichinchillae	Alistipes sp. HGB5	0.815177162572	Stool	#e8cb72
62	Bacteroides faecichinchillae	Anaerotruncus colihominis	1.0	Stool	#e8cb72
63	Bacteroides faecichinchillae	Bacteroides caccae	0.861679516857	Stool	#e8cb72
64	Bacteroides finegoldii	Akkermansia muciniphila	0.834443087876	Stool	#e8cb72
65	Bacteroides finegoldii	Bacteroides clarus	0.882558833118	Stool	#e8cb72
66	Bacteroides finegoldii	Bacteroides eggerthii	0.879500694957	Stool	#e8cb72
67	Bacteroides fragilis	Adlercreutzia equolifaciens	0.809084022661	Stool	#e8cb72
68	Bacteroides fragilis	Alistipes indistinctus	0.827394850692	Stool	#e8cb72
69	Bacteroides fragilis	Alistipes obesi	0.8691113341	Stool	#e8cb72
70	Bacteroides fragilis	Alistipes putredinis	0.834804694407	Stool	#e8cb72
71	Bacteroides fragilis	Alistipes shahii	0.801513008201	Stool	#e8cb72
72	Bacteroides fragilis	Anaerotruncus colihominis	0.809084022661	Stool	#e8cb72
73	Bacteroides fragilis	Bacteroides dorei	0.810473939481	Stool	#e8cb72
74	Bacteroides fragilis	Bacteroides faecichinchillae	0.809084022661	Stool	#e8cb72
75	Bacteroides graminisolvens	Bacteroides coprosuis	1.0	Mixed	#cccccc
76	Bacteroides helcogenes	Alistipes sp. AL-1	0.927242473886	Stool	#e8cb72
77	Bacteroides helcogenes	Bacteroides fluxus	0.814942827701	Stool	#e8cb72
78	Bacteroides intestinalis	Bacteroides clarus	0.910631209397	Stool	#e8cb72
79	Bacteroides intestinalis	Bacteroides eggerthii	0.866860238397	Stool	#e8cb72
80	Bacteroides intestinalis	Bacteroides finegoldii	0.818264813501	Stool	#e8cb72
81	Bacteroides massiliensis	Akkermansia muciniphila	0.80311431181	Stool	#e8cb72
82	Bacteroides massiliensis	Bacteroides clarus	0.869266133199	Stool	#e8cb72
83	Bacteroides massiliensis	Bacteroides eggerthii	0.832253792956	Stool	#e8cb72
84	Bacteroides massiliensis	Bacteroides intestinalis	0.947617358352	Stool	#e8cb72
85	Bacteroides oleiciplenus	Alistipes sp. AL-1	0.927242473886	Stool	#e8cb72
86	Bacteroides oleiciplenus	Bacteroides fluxus	0.814942827701	Stool	#e8cb72
87	Bacteroides oleiciplenus	Bacteroides helcogenes	1.0	Stool	#e8cb72
88	Bacteroides ovatus	Akkermansia muciniphila	0.812316121351	Stool	#e8cb72
89	Bacteroides ovatus	Bacteroides clarus	0.841397199204	Stool	#e8cb72
90	Bacteroides ovatus	Bacteroides dorei	0.805509400098	Stool	#e8cb72
91	Bacteroides ovatus	Bacteroides eggerthii	0.808156293753	Stool	#e8cb72
92	Bacteroides ovatus	Bacteroides intestinalis	0.892098650694	Stool	#e8cb72
93	Bacteroides ovatus	Bacteroides massiliensis	0.947227034059	Stool	#e8cb72
94	Bacteroides plebeius	[Bacteroides] pectinophilus	0.817685809061	Stool	#e8cb72
95	Bacteroides propionicifaciens	Bacteroidales bacterium CF	1.0	Mixed	#cccccc
96	Bacteroides reticulotermitis	Bacteroides coprosuis	0.814942827701	Stool	#e8cb72
97	Bacteroides reticulotermitis	Bacteroides graminisolvens	0.814942827701	Mixed	#cccccc
98	Bacteroides salanitronis	Adlercreutzia equolifaciens	0.848514273261	Stool	#e8cb72
99	Bacteroides salanitronis	Anaerotruncus colihominis	0.848514273261	Stool	#e8cb72
100	Bacteroides salanitronis	Bacteroides faecichinchillae	0.848514273261	Stool	#e8cb72
101	Bacteroides salyersiae	Akkermansia muciniphila	0.93867437239	Stool	#e8cb72
102	Bacteroides salyersiae	Bacteroides clarus	0.987632339159	Stool	#e8cb72
103	Bacteroides salyersiae	Bacteroides eggerthii	0.982390167171	Stool	#e8cb72
104	Bacteroides salyersiae	Bacteroides finegoldii	0.90798325511	Stool	#e8cb72
105	Bacteroides salyersiae	Bacteroides intestinalis	0.871631571504	Stool	#e8cb72
106	Bacteroides salyersiae	Bacteroides massiliensis	0.837149550055	Stool	#e8cb72
107	Bacteroides salyersiae	Bacteroides ovatus	0.816682004428	Stool	#e8cb72
108	Bacteroides sartorii	Alistipes sp. AL-1	0.927242473886	Stool	#e8cb72
109	Bacteroides sartorii	Bacteroides fluxus	0.814942827701	Stool	#e8cb72
110	Bacteroides sartorii	Bacteroides helcogenes	1.0	Stool	#e8cb72
111	Bacteroides sartorii	Bacteroides oleiciplenus	1.0	Stool	#e8cb72
112	Bacteroides sp. 1_1_30	Alistipes sp. AL-1	0.8492065436	Stool	#e8cb72
113	Bacteroides sp. 1_1_30	Bacteroides helcogenes	0.842159345446	Stool	#e8cb72
114	Bacteroides sp. 1_1_30	Bacteroides oleiciplenus	0.842159345446	Stool	#e8cb72
115	Bacteroides sp. 1_1_30	Bacteroides sartorii	0.842159345446	Stool	#e8cb72
116	Bacteroides sp. 1_1_6	Alistipes onderdonkii	0.860684535012	Stool	#e8cb72
117	Bacteroides sp. 2_1_16	Alistipes sp. AL-1	0.927242473886	Stool	#e8cb72
118	Bacteroides sp. 2_1_16	Bacteroides fluxus	0.814942827701	Stool	#e8cb72
119	Bacteroides sp. 2_1_16	Bacteroides helcogenes	1.0	Stool	#e8cb72
120	Bacteroides sp. 2_1_16	Bacteroides oleiciplenus	1.0	Stool	#e8cb72
121	Bacteroides sp. 2_1_16	Bacteroides sartorii	1.0	Stool	#e8cb72
122	Bacteroides sp. 2_1_16	Bacteroides sp. 1_1_30	0.842159345446	Stool	#e8cb72
123	Bacteroides sp. 2_1_33B	Acetivibrio ethanolgignens	0.814942827701	Stool	#e8cb72
124	Bacteroides sp. 2_1_33B	Adlercreutzia equolifaciens	1.0	Stool	#e8cb72
125	Bacteroides sp. 2_1_33B	Alistipes sp. HGB5	0.815177162572	Stool	#e8cb72
126	Bacteroides sp. 2_1_33B	Anaerotruncus colihominis	1.0	Stool	#e8cb72
127	Bacteroides sp. 2_1_33B	Bacteroides caccae	0.861679516857	Stool	#e8cb72
128	Bacteroides sp. 2_1_33B	Bacteroides faecichinchillae	1.0	Stool	#e8cb72
129	Bacteroides sp. 2_1_33B	Bacteroides fragilis	0.809084022661	Stool	#e8cb72
130	Bacteroides sp. 2_1_33B	Bacteroides salanitronis	0.848514273261	Stool	#e8cb72
131	Bacteroides sp. 2_2_4	Akkermansia muciniphila	0.9341388122	Stool	#e8cb72
132	Bacteroides sp. 2_2_4	Alistipes onderdonkii	0.843220871552	Stool	#e8cb72
133	Bacteroides sp. 2_2_4	Bacteroides clarus	0.854858974944	Stool	#e8cb72
134	Bacteroides sp. 2_2_4	Bacteroides eggerthii	0.869323259249	Stool	#e8cb72
135	Bacteroides sp. 2_2_4	Bacteroides massiliensis	0.866647362147	Stool	#e8cb72
136	Bacteroides sp. 2_2_4	Bacteroides ovatus	0.877067348405	Stool	#e8cb72
137	Bacteroides sp. 2_2_4	Bacteroides salyersiae	0.87911382162	Stool	#e8cb72
138	Bacteroides sp. 2_2_4	Bacteroides sp. 1_1_6	0.805555647465	Stool	#e8cb72
139	Bacteroides sp. 3_1_13	Bacteroides intestinalis	0.874347378939	Stool	#e8cb72
140	Bacteroides sp. 3_1_13	Bacteroides massiliensis	0.933814114533	Stool	#e8cb72
141	Bacteroides sp. 3_1_13	Bacteroides ovatus	0.886334457431	Stool	#e8cb72
142	Bacteroides sp. 3_1_19	Bacteroides nordii	0.882145578913	Stool	#e8cb72
143	Bacteroides sp. 3_1_23	Alistipes onderdonkii	0.850495106894	Stool	#e8cb72
144	Bacteroides sp. 3_1_23	Bacteroides sp. 1_1_6	0.842280530398	Stool	#e8cb72
145	Bacteroides sp. 3_1_23	Bacteroides sp. 2_2_4	0.909733832657	Stool	#e8cb72
146	Bacteroides sp. 3_1_40A	Alistipes sp. AL-1	0.927242473886	Stool	#e8cb72
147	Bacteroides sp. 3_1_40A	Bacteroides fluxus	0.814942827701	Stool	#e8cb72
148	Bacteroides sp. 3_1_40A	Bacteroides helcogenes	1.0	Stool	#e8cb72
149	Bacteroides sp. 3_1_40A	Bacteroides oleiciplenus	1.0	Stool	#e8cb72
150	Bacteroides sp. 3_1_40A	Bacteroides sartorii	1.0	Stool	#e8cb72
151	Bacteroides sp. 3_1_40A	Bacteroides sp. 1_1_30	0.842159345446	Stool	#e8cb72
152	Bacteroides sp. 3_1_40A	Bacteroides sp. 2_1_16	1.0	Stool	#e8cb72
153	Bacteroides sp. 4_1_36	Alistipes sp. AL-1	0.878459203261	Stool	#e8cb72
154	Bacteroides sp. 4_1_36	Bacteroides helcogenes	0.948444750252	Stool	#e8cb72
155	Bacteroides sp. 4_1_36	Bacteroides oleiciplenus	0.948444750252	Stool	#e8cb72
156	Bacteroides sp. 4_1_36	Bacteroides sartorii	0.948444750252	Stool	#e8cb72
157	Bacteroides sp. 4_1_36	Bacteroides sp. 2_1_16	0.948444750252	Stool	#e8cb72
158	Bacteroides sp. 4_1_36	Bacteroides sp. 3_1_40A	0.948444750252	Stool	#e8cb72
159	Bacteroides sp. 4_3_47FAA	Adlercreutzia equolifaciens	0.912647075542	Stool	#e8cb72
160	Bacteroides sp. 4_3_47FAA	Alistipes obesi	0.8690803644	Stool	#e8cb72
161	Bacteroides sp. 4_3_47FAA	Alistipes putredinis	0.849329408723	Stool	#e8cb72
162	Bacteroides sp. 4_3_47FAA	Alistipes shahii	0.857568164847	Stool	#e8cb72
163	Bacteroides sp. 4_3_47FAA	Anaerotruncus colihominis	0.912647075542	Stool	#e8cb72
164	Bacteroides sp. 4_3_47FAA	Bacteroides acidifaciens	0.804935432863	Stool	#e8cb72
165	Bacteroides sp. 4_3_47FAA	Bacteroides caccae	0.825091215807	Stool	#e8cb72
166	Bacteroides sp. 4_3_47FAA	Bacteroides cellulosilyticus	0.821036573448	Stool	#e8cb72
167	Bacteroides sp. 4_3_47FAA	Bacteroides faecichinchillae	0.912647075542	Stool	#e8cb72
168	Bacteroides sp. 4_3_47FAA	Bacteroides fragilis	0.882172984881	Stool	#e8cb72
169	Bacteroides sp. 4_3_47FAA	Bacteroides salanitronis	0.861060533017	Stool	#e8cb72
170	Bacteroides sp. 4_3_47FAA	Bacteroides sp. 2_1_33B	0.912647075542	Stool	#e8cb72
171	Bacteroides sp. 9_1_42FAA	Alistipes sp. AL-1	0.927242473886	Stool	#e8cb72
172	Bacteroides sp. 9_1_42FAA	Bacteroides fluxus	0.814942827701	Stool	#e8cb72
173	Bacteroides sp. 9_1_42FAA	Bacteroides helcogenes	1.0	Stool	#e8cb72
174	Bacteroides sp. 9_1_42FAA	Bacteroides oleiciplenus	1.0	Stool	#e8cb72
175	Bacteroides sp. 9_1_42FAA	Bacteroides sartorii	1.0	Stool	#e8cb72
176	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 1_1_30	0.842159345446	Stool	#e8cb72
177	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 2_1_16	1.0	Stool	#e8cb72
178	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 3_1_40A	1.0	Stool	#e8cb72
179	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 4_1_36	0.948444750252	Stool	#e8cb72
180	Bacteroides sp. D2	Anaerococcus prevotii	0.96356181344	Mixed	#cccccc
181	Bacteroides sp. D2	Anaerococcus provenciensis	0.965564548138	Mixed	#cccccc
182	Bacteroides sp. D2	Bacteroides clarus	0.901441924105	Stool	#e8cb72
183	Bacteroides sp. D2	Bacteroides eggerthii	0.853053232529	Stool	#e8cb72
184	Bacteroides sp. D2	Bacteroides intestinalis	0.867800559196	Stool	#e8cb72
185	Bacteroides sp. D2	Bacteroides salyersiae	0.859570989338	Stool	#e8cb72
186	Bacteroides sp. D20	Alistipes sp. AL-1	0.918657834123	Stool	#e8cb72
187	Bacteroides sp. D20	Bacteroides helcogenes	0.9720942092	Stool	#e8cb72
188	Bacteroides sp. D20	Bacteroides oleiciplenus	0.9720942092	Stool	#e8cb72
189	Bacteroides sp. D20	Bacteroides sartorii	0.9720942092	Stool	#e8cb72
190	Bacteroides sp. D20	Bacteroides sp. 1_1_30	0.827058710546	Stool	#e8cb72
191	Bacteroides sp. D20	Bacteroides sp. 2_1_16	0.9720942092	Stool	#e8cb72
192	Bacteroides sp. D20	Bacteroides sp. 3_1_13	0.859554987877	Stool	#e8cb72
193	Bacteroides sp. D20	Bacteroides sp. 3_1_40A	0.9720942092	Stool	#e8cb72
194	Bacteroides sp. D20	Bacteroides sp. 4_1_36	0.923903480991	Stool	#e8cb72
195	Bacteroides sp. D20	Bacteroides sp. 9_1_42FAA	0.9720942092	Stool	#e8cb72
196	Bacteroides sp. D22	Alistipes onderdonkii	0.871473643817	Stool	#e8cb72
197	Bacteroides sp. D22	Bacteroides sp. 1_1_6	0.848008842393	Stool	#e8cb72
198	Bacteroides sp. D22	Bacteroides sp. 2_2_4	0.922301942513	Stool	#e8cb72
199	Bacteroides sp. D22	Bacteroides sp. 3_1_23	0.980344907845	Stool	#e8cb72
200	Bacteroides stercoris	Bacteroides clarus	0.857571890496	Stool	#e8cb72
201	Bacteroides stercoris	Bacteroides eggerthii	0.82111321838	Stool	#e8cb72
202	Bacteroides stercoris	Bacteroides intestinalis	0.948407089405	Stool	#e8cb72
203	Bacteroides stercoris	Bacteroides massiliensis	0.997613257251	Stool	#e8cb72
204	Bacteroides stercoris	Bacteroides ovatus	0.945224650382	Stool	#e8cb72
205	Bacteroides stercoris	Bacteroides salyersiae	0.823908680801	Stool	#e8cb72
206	Bacteroides stercoris	Bacteroides sp. 2_2_4	0.856272496513	Stool	#e8cb72
207	Bacteroides stercoris	Bacteroides sp. 3_1_13	0.942747847133	Stool	#e8cb72
208	Bacteroides thetaiotaomicron	Akkermansia muciniphila	0.808655452998	Stool	#e8cb72
209	Bacteroides thetaiotaomicron	Alistipes onderdonkii	0.823895609333	Stool	#e8cb72
210	Bacteroides thetaiotaomicron	Bacteroides dorei	0.944608576481	Stool	#e8cb72
211	Bacteroides thetaiotaomicron	Bacteroides intestinalis	0.824235396207	Stool	#e8cb72
212	Bacteroides thetaiotaomicron	Bacteroides massiliensis	0.917722899046	Stool	#e8cb72
213	Bacteroides thetaiotaomicron	Bacteroides ovatus	0.908521622128	Stool	#e8cb72
214	Bacteroides thetaiotaomicron	Bacteroides sp. 2_2_4	0.851824175364	Stool	#e8cb72
