	source	target	weight	edge_sample	edge_color
0	Actinomyces oris	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
1	Actinomyces sp. ICM47	Actinomyces naeslundii	1.0	Mixed	#cccccc
2	Actinomyces sp. ICM47	Actinomyces oris	1.0	Mixed	#cccccc
3	Actinomyces sp. oral taxon 170	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
4	Actinomyces sp. oral taxon 170	Actinomyces oris	1.0	Supragingival_plaque	#ff8646
5	Actinomyces sp. oral taxon 170	Actinomyces sp. ICM47	1.0	Mixed	#cccccc
6	Actinomyces sp. oral taxon 171	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
7	Actinomyces sp. oral taxon 171	Actinomyces oris	1.0	Supragingival_plaque	#ff8646
8	Actinomyces sp. oral taxon 171	Actinomyces sp. ICM47	1.0	Mixed	#cccccc
9	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
10	Candidatus Saccharibacteria oral taxon TM7x	Alloprevotella tannerae	1.0	Mixed	#cccccc
11	Capnocytophaga sp. oral taxon 329	Candidatus Saccharibacteria oral taxon TM7x	1.0	Mixed	#cccccc
12	Capnocytophaga sp. oral taxon 332	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
13	Capnocytophaga sp. oral taxon 332	Actinomyces oris	1.0	Supragingival_plaque	#ff8646
14	Capnocytophaga sp. oral taxon 332	Actinomyces sp. ICM47	1.0	Mixed	#cccccc
15	Capnocytophaga sp. oral taxon 332	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
16	Capnocytophaga sp. oral taxon 332	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
17	Capnocytophaga sputigena	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
18	Capnocytophaga sputigena	Actinomyces oris	1.0	Supragingival_plaque	#ff8646
19	Capnocytophaga sputigena	Actinomyces sp. ICM47	1.0	Mixed	#cccccc
20	Capnocytophaga sputigena	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
21	Capnocytophaga sputigena	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
22	Capnocytophaga sputigena	Capnocytophaga sp. oral taxon 332	1.0	Supragingival_plaque	#ff8646
23	Chlamydia trachomatis	Alloprevotella tannerae	1.0	Mixed	#cccccc
24	Chlamydia trachomatis	Candidatus Saccharibacteria oral taxon TM7x	1.0	Mixed	#cccccc
25	Chlamydia trachomatis	Capnocytophaga sp. oral taxon 329	1.0	Mixed	#cccccc
26	Corynebacterium durum	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
27	Corynebacterium durum	Actinomyces oris	1.0	Supragingival_plaque	#ff8646
28	Corynebacterium durum	Actinomyces sp. ICM47	1.0	Mixed	#cccccc
29	Corynebacterium durum	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
30	Corynebacterium durum	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
31	Corynebacterium durum	Capnocytophaga sp. oral taxon 332	1.0	Supragingival_plaque	#ff8646
