TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces oris	Supragingival_plaque	#ff8646	2	7.0	0.0	#ff0000	#8000ff
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	1	7.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	2	7.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	2	7.0	0.0	#ff0000	#8000ff
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#cbe486	1	0.0	1.0	#8000ff	#ff0000
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff8646	2	6.0	1.0	#ff703a	#ff0000
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	2	7.0	0.0	#ff0000	#8000ff
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	2	3.0	0.0	#5af8c8	#8000ff
Chlamydia trachomatis	Keratinized_gingiva	#17cbe4	2	0.0	1.0	#8000ff	#ff0000
Corynebacterium durum	Supragingival_plaque	#ff8646	2	1.0	0.0	#386df9	#8000ff
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	2	7.0	0.0	#ff0000	#8000ff
Gemella haemolysans	Buccal_mucosa	#445cfb	2	5.0	1.0	#ecc86f	#ff0000
Gemella sanguinis	Tongue_dorsum	#ff2f18	2	0.0	1.0	#8000ff	#ff0000
Granulicatella elegans	Keratinized_gingiva	#17cbe4	2	0.0	1.0	#8000ff	#ff0000
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	2	0.0	1.0	#8000ff	#ff0000
Haemophilus influenzae	Attached	#622ffe	2	0.0	1.0	#8000ff	#ff0000
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	2	0.0	1.0	#8000ff	#ff0000
Haemophilus sp. oral taxon 851	Keratinized_gingiva	#17cbe4	2	0.0	1.0	#8000ff	#ff0000
Haemophilus sputorum	Saliva	#cbe486	2	6.0	1.0	#ff703a	#ff0000
Leptotrichia shahii	Tongue_dorsum	#ff2f18	2	0.0	1.0	#8000ff	#ff0000
Neisseria cinerea	Keratinized_gingiva	#17cbe4	2	7.0	0.0	#ff0000	#8000ff
Neisseria meningitidis	Throat	#ff5c2f	2	7.0	0.0	#ff0000	#8000ff
Porphyromonas catoniae	Subgingival_plaque	#ffac5c	2	4.0	1.0	#a2f9a0	#ff0000
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	2	7.0	0.0	#ff0000	#8000ff
Porphyromonas sp. oral taxon 278	Saliva	#cbe486	2	7.0	0.0	#ff0000	#8000ff
Prevotella sp. oral taxon 473	Keratinized_gingiva	#17cbe4	2	7.0	0.0	#ff0000	#8000ff
Rothia mucilaginosa	Hard_palate	#08acee	2	0.0	1.0	#8000ff	#ff0000
Staphylococcus pasteuri	Keratinized_gingiva	#17cbe4	2	2.0	1.0	#10c6e6	#ff0000
Streptococcus dentisani	Hard_palate	#08acee	2	0.0	1.0	#8000ff	#ff0000
Streptococcus gordonii	Keratinized_gingiva	#17cbe4	2	0.0	1.0	#8000ff	#ff0000
Streptococcus mitis	Buccal_mucosa_NA	#2686f5	2	2.0	1.0	#10c6e6	#ff0000
Streptococcus oligofermentans	Keratinized_gingiva	#17cbe4	2	2.0	1.0	#10c6e6	#ff0000
Streptococcus parasanguinis	Tongue_dorsum	#ff2f18	2	7.0	0.0	#ff0000	#8000ff
Streptococcus pneumoniae	Buccal_mucosa_NA	#2686f5	2	7.0	0.0	#ff0000	#8000ff
Streptococcus pseudopneumoniae	Buccal_mucosa_NA	#2686f5	2	0.0	1.0	#8000ff	#ff0000
Streptococcus sp. F0442	Palatine_Tonsils	#70febc	1	0.0	1.0	#8000ff	#ff0000
Veillonella seminalis	Keratinized_gingiva	#17cbe4	1	0.0	1.0	#8000ff	#ff0000
Veillonella sp. oral taxon 780	Keratinized_gingiva	#17cbe4	2	0.0	1.0	#8000ff	#ff0000
Actinomyces naeslundii	Supragingival_plaque	#ff8646	2	7.0	0.0	#ff0000	#8000ff
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	2	2.0	1.0	#10c6e6	#ff0000
