TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax caeni	Anterior_nares	#8000ff	12	6.0	2.0	#5af8c8	#3c68f9
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	14	6.0	2.0	#5af8c8	#3c68f9
Acinetobacter bohemicus	L_Retroauricular_crease	#34e4d9	1	9.0	0.0	#c6e789	#8000ff
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1	7.0	2.0	#7effb5	#3c68f9
Acinetobacter sp. NIPH 284	L_Retroauricular_crease	#34e4d9	1	7.0	2.0	#7effb5	#3c68f9
Acinetobacter sp. TTH0-4	Anterior_nares	#8000ff	1	9.0	0.0	#c6e789	#8000ff
Acinetobacter towneri	Anterior_nares	#8000ff	4	6.0	2.0	#5af8c8	#3c68f9
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	10	6.0	2.0	#5af8c8	#3c68f9
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	8	9.0	2.0	#c6e789	#3c68f9
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	16	8.0	1.0	#a2f9a0	#5e35fe
Actinomyces israelii	Subgingival_plaque	#ffac5c	4	1.0	2.0	#5c38fd	#3c68f9
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	8	9.0	2.0	#c6e789	#3c68f9
Actinomyces massiliensis	Supragingival_plaque	#ff8646	16	9.0	2.0	#c6e789	#3c68f9
Actinomyces naeslundii	Supragingival_plaque	#ff8646	15	9.0	2.0	#c6e789	#3c68f9
Actinomyces odontolyticus	Throat	#ff5c2f	9	9.0	2.0	#c6e789	#3c68f9
Actinomyces oris	Supragingival_plaque	#ff8646	16	1.0	2.0	#5c38fd	#3c68f9
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	4	7.0	2.0	#7effb5	#3c68f9
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	2	8.0	1.0	#a2f9a0	#5e35fe
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	9	1.0	2.0	#5c38fd	#3c68f9
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	12	7.0	2.0	#7effb5	#3c68f9
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	2	8.0	1.0	#a2f9a0	#5e35fe
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	7	9.0	2.0	#c6e789	#3c68f9
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	1	9.0	0.0	#c6e789	#8000ff
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	5	1.0	2.0	#5c38fd	#3c68f9
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	13	6.0	2.0	#5af8c8	#3c68f9
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	2	9.0	2.0	#c6e789	#3c68f9
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	2	9.0	2.0	#c6e789	#3c68f9
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	1	5.0	4.0	#37e6d8	#08bee9
Actinomyces timonensis	Subgingival_plaque	#ffac5c	3	9.0	2.0	#c6e789	#3c68f9
Actinomyces viscosus	Attached	#622ffe	9	1.0	2.0	#5c38fd	#3c68f9
Aerococcus christensenii	Posterior_fornix	#8efeac	5	6.0	2.0	#5af8c8	#3c68f9
Aerococcus viridans	R_Retroauricular_crease	#acf59a	1	9.0	0.0	#c6e789	#8000ff
Aeromonas caviae	L_Retroauricular_crease	#34e4d9	1	6.0	2.0	#5af8c8	#3c68f9
Aeromonas hydrophila	L_Retroauricular_crease	#34e4d9	5	6.0	2.0	#5af8c8	#3c68f9
Aeromonas media	L_Retroauricular_crease	#34e4d9	1	7.0	2.0	#7effb5	#3c68f9
Afipia sp. P52-10	L_Retroauricular_crease	#34e4d9	1	7.0	2.0	#7effb5	#3c68f9
