	source	target	weight	edge_sample	edge_color
0	Actinobaculum sp. oral taxon 183	Actinobacillus minor	0.8	Mixed	#cccccc
1	Actinomyces odontolyticus	Actinomyces graevenitzii	0.897970483131	Mixed	#cccccc
2	Actinomyces sp. HPA0247	Actinomyces graevenitzii	0.82465260199	Tongue_dorsum	#ff2f18
3	Actinomyces sp. ICM47	Actinomyces massiliensis	0.856889036488	Mixed	#cccccc
4	Actinomyces sp. ICM54	Actinomyces odontolyticus	0.889209247901	Mixed	#cccccc
5	Actinomyces sp. ICM58	Actinomyces odontolyticus	0.822594694569	Mixed	#cccccc
6	Actinomyces sp. ICM58	Actinomyces sp. ICM54	0.851895788904	Tongue_dorsum	#ff2f18
7	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	0.834497179245	Supragingival_plaque	#ff8646
8	Actinomyces sp. oral taxon 171	Actinomyces massiliensis	0.81516257345	Supragingival_plaque	#ff8646
9	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	0.976830831456	Supragingival_plaque	#ff8646
10	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM58	0.970701938751	Tongue_dorsum	#ff2f18
11	Actinomyces sp. oral taxon 181	Actinomyces sp. HPA0247	0.922279005208	Tongue_dorsum	#ff2f18
12	Actinomyces sp. ph3	Actinomyces sp. HPA0247	0.93041551689	Tongue_dorsum	#ff2f18
13	Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.975610337895	Tongue_dorsum	#ff2f18
14	Aggregatibacter aphrophilus	Actinobacillus minor	0.986130029818	Mixed	#cccccc
15	Aggregatibacter aphrophilus	Actinobaculum sp. oral taxon 183	0.809725537681	Mixed	#cccccc
16	Aggregatibacter aphrophilus	Aggregatibacter actinomycetemcomitans	0.810147159963	Mixed	#cccccc
17	Aggregatibacter segnis	Actinobacillus minor	0.870927053139	Mixed	#cccccc
18	Aggregatibacter segnis	Actinobaculum sp. oral taxon 183	0.846043423049	Mixed	#cccccc
19	Aggregatibacter segnis	Actinomyces sp. ICM39	0.804412774936	Mixed	#cccccc
20	Aggregatibacter segnis	Aggregatibacter aphrophilus	0.921452865009	Mixed	#cccccc
21	Aggregatibacter sp. oral taxon 458	Actinomyces sp. ICM58	0.9114939932	Mixed	#cccccc
22	Aggregatibacter sp. oral taxon 458	Actinomyces sp. oral taxon 172	0.956955869116	Mixed	#cccccc
23	Akkermansia muciniphila	Actinomyces massiliensis	0.834497179245	Mixed	#cccccc
24	Akkermansia muciniphila	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
25	Akkermansia muciniphila	Actinomyces sp. oral taxon 171	0.976830831456	Mixed	#cccccc
26	Alistipes obesi	Actinomyces sp. oral taxon 170	0.939336436628	Mixed	#cccccc
