TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. JS42	Buccal_mucosa	#445cfb	1	27.0	3.0	#b2f396	#5e35fe
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	2	9.0	0.0	#1996f3	#8000ff
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	9.0	0.0	#1996f3	#8000ff
Actinomyces massiliensis	Supragingival_plaque	#ff8646	6	7.0	4.0	#3176f8	#5247fc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	3	9.0	0.0	#1996f3	#8000ff
Actinomyces odontolyticus	Throat	#ff5c2f	1	7.0	6.0	#3176f8	#3c68f9
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	4	36.0	0.0	#ff964f	#8000ff
Actinomyces turicensis	Anterior_nares	#8000ff	2	10.0	12.0	#10a2f0	#0ac0e8
Actinomyces viscosus	Attached	#622ffe	5	36.0	0.0	#ff964f	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	1	41.0	10.0	#ff4724	#0ea5ef
Alcaligenes faecalis	Anterior_nares	#8000ff	1	43.0	11.0	#ff2613	#01b3ec
Alistipes sp. HGB5	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0
Alloiococcus otitis	Anterior_nares	#8000ff	2	24.0	2.0	#90feab	#6a22fe
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	2	42.0	14.0	#ff351b	#22d6e0
Anaerococcus provenciensis	L_Retroauricular_crease	#34e4d9	3	24.0	2.0	#90feab	#6a22fe
Anaerococcus vaginalis	L_Retroauricular_crease	#34e4d9	1	38.0	1.0	#ff793e	#7610ff
Arcanobacterium sp. S3PF19	L_Retroauricular_crease	#34e4d9	1	8.0	17.0	#2686f5	#44eed2
Atopobium sp. BS2	Saliva	#cbe486	2	25.0	19.0	#9bfba5	#5df9c7
Atopobium sp. ICM42b	Saliva	#cbe486	1	19.0	9.0	#56f7ca	#1898f2
Bacillus thermoamylovorans	Anterior_nares	#8000ff	3	24.0	2.0	#90feab	#6a22fe
bacterium LF-3	Stool	#e8cb72	1	43.0	11.0	#ff2613	#01b3ec
[Bacteroides] pectinophilus	Stool	#e8cb72	1	8.0	17.0	#2686f5	#44eed2
Bacteroides salyersiae	Stool	#e8cb72	3	35.0	20.0	#ffa558	#66fcc2
Bacteroides sartorii	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0
Bacteroides sp. 1_1_30	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0
