TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. JS42	Buccal_mucosa	#445cfb	4	27.0	5.0	#40ecd4	#5e35fe
Acidovorax sp. NO-1	R_Retroauricular_crease	#acf59a	2	32.0	0.0	#64fbc3	#8000ff
Acidovorax sp. SD340	R_Retroauricular_crease	#acf59a	1	44.0	3.0	#bced8f	#6c1fff
Acinetobacter bereziniae	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Acinetobacter parvus	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Acinetobacter soli	R_Retroauricular_crease	#acf59a	2	66.0	1.0	#ff381c	#7a09ff
Acinetobacter sp. Ag2	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	3	52.0	0.0	#f4c069	#8000ff
Acinetobacter sp. NIPH 284	L_Retroauricular_crease	#34e4d9	1	59.0	8.0	#ff8444	#4856fb
Acinetobacter ursingii	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
[Actinobacillus] muris	Attached	#622ffe	2	32.0	0.0	#64fbc3	#8000ff
Actinobacillus ureae	Keratinized_gingiva	#17cbe4	1	8.0	12.0	#4856fb	#2981f6
Actinomyces israelii	Subgingival_plaque	#ffac5c	2	48.0	19.0	#d9da7d	#08bee9
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	3	48.0	19.0	#d9da7d	#08bee9
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	2	48.0	19.0	#d9da7d	#08bee9
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	1	2.0	4.0	#7216ff	#642cfe
Actinomyces viscosus	Attached	#622ffe	20	13.0	7.0	#2489f5	#4e4dfc
Aerococcus viridans	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	1	44.0	3.0	#bced8f	#6c1fff
Aggregatibacter segnis	Supragingival_plaque	#ff8646	6	14.0	21.0	#1c93f3	#17cbe4
Agrobacterium larrymoorei	R_Retroauricular_crease	#acf59a	1	64.0	12.0	#ff5029	#2981f6
Agrobacterium sp. SUL3	Anterior_nares	#8000ff	4	66.0	1.0	#ff381c	#7a09ff
Agrobacterium vitis	R_Retroauricular_crease	#acf59a	1	21.0	13.0	#17cbe4	#2489f5
Alcaligenes faecalis	Anterior_nares	#8000ff	1	64.0	12.0	#ff5029	#2981f6
Alicycliphilus sp. CRZ1	R_Retroauricular_crease	#acf59a	1	2.0	4.0	#7216ff	#642cfe
Aliihoeflea sp. 2WW	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Alistipes finegoldii	Stool	#e8cb72	3	29.0	0.0	#50f4cc	#8000ff
Alistipes onderdonkii	Stool	#e8cb72	3	29.0	0.0	#50f4cc	#8000ff
Alistipes shahii	Stool	#e8cb72	15	1.0	26.0	#7a09ff	#3ae8d6
Alistipes sp. HGB5	Stool	#e8cb72	2	32.0	0.0	#64fbc3	#8000ff
Alkaliphilus oremlandii	Anterior_nares	#8000ff	2	32.0	0.0	#64fbc3	#8000ff
alpha proteobacterium L41A	R_Retroauricular_crease	#acf59a	5	66.0	1.0	#ff381c	#7a09ff
Altererythrobacter troitsensis	L_Retroauricular_crease	#34e4d9	1	2.0	4.0	#7216ff	#642cfe
Anaerococcus provenciensis	L_Retroauricular_crease	#34e4d9	36	42.0	28.0	#acf59a	#48f1d0
Anaerococcus senegalensis	L_Retroauricular_crease	#34e4d9	16	42.0	28.0	#acf59a	#48f1d0
Anaerococcus sp. MT16	L_Retroauricular_crease	#34e4d9	12	42.0	28.0	#acf59a	#48f1d0
Anaerococcus sp. PH9	L_Retroauricular_crease	#34e4d9	15	45.0	29.0	#c2ea8c	#50f4cc
Anaerococcus sp. SB3	L_Retroauricular_crease	#34e4d9	16	45.0	29.0	#c2ea8c	#50f4cc
Anaerococcus tetradius	L_Retroauricular_crease	#34e4d9	18	45.0	29.0	#c2ea8c	#50f4cc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	2	48.0	19.0	#d9da7d	#08bee9
Arcobacter butzleri	L_Retroauricular_crease	#34e4d9	2	32.0	0.0	#64fbc3	#8000ff
Arthrobacter sp. YC-RL1	L_Retroauricular_crease	#34e4d9	2	48.0	19.0	#d9da7d	#08bee9
Asticcacaulis excentricus	R_Retroauricular_crease	#acf59a	1	26.0	4.0	#3ae8d6	#642cfe
Aureimonas altamirensis	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Azohydromonas australica	Anterior_nares	#8000ff	1	0.0	23.0	#8000ff	#24d8df
Azospira oryzae	Anterior_nares	#8000ff	1	12.0	2.0	#2981f6	#7216ff
Azotobacter vinelandii	R_Retroauricular_crease	#acf59a	1	44.0	3.0	#bced8f	#6c1fff
Bacillus coagulans	R_Retroauricular_crease	#acf59a	1	55.0	10.0	#ffa759	#396bf9
Bacillus smithii	L_Retroauricular_crease	#34e4d9	2	12.0	20.0	#2981f6	#0fc4e7
Bacillus sp. X1(2014)	R_Retroauricular_crease	#acf59a	1	44.0	3.0	#bced8f	#6c1fff
