	source	target	weight	edge_sample	edge_color
0	Acinetobacter baumannii	Abiotrophia defectiva	0.905240110031	Mixed	#cccccc
1	Actinomyces georgiae	Actinobaculum sp. oral taxon 183	0.886256552065	Subgingival_plaque	#ffac5c
2	Actinomyces gerencseriae	Actinobaculum sp. oral taxon 183	0.848571122606	Subgingival_plaque	#ffac5c
3	Actinomyces gerencseriae	Actinomyces georgiae	0.821441632218	Subgingival_plaque	#ffac5c
4	Actinomyces graevenitzii	Actinomyces dentalis	0.809633589738	Mixed	#cccccc
5	Actinomyces israelii	Actinomyces graevenitzii	0.88593331633	Mixed	#cccccc
6	Actinomyces johnsonii	Actinomyces dentalis	0.806599286907	Subgingival_plaque	#ffac5c
7	Actinomyces meyeri	Actinobaculum sp. oral taxon 183	0.941297240555	Subgingival_plaque	#ffac5c
8	Actinomyces meyeri	Actinomyces georgiae	0.870571500132	Subgingival_plaque	#ffac5c
9	Actinomyces meyeri	Actinomyces gerencseriae	0.925269665961	Subgingival_plaque	#ffac5c
10	Actinomyces naeslundii	Actinomyces gerencseriae	0.873636008524	Mixed	#cccccc
11	Actinomyces naeslundii	Actinomyces johnsonii	0.878571311961	Mixed	#cccccc
12	Actinomyces naeslundii	Actinomyces meyeri	0.872612308941	Mixed	#cccccc
13	Actinomyces odontolyticus	Actinomyces dentalis	0.841778874793	Mixed	#cccccc
14	Actinomyces odontolyticus	Actinomyces graevenitzii	0.93639048889	Mixed	#cccccc
15	Actinomyces odontolyticus	Actinomyces israelii	0.801902078934	Mixed	#cccccc
16	Actinomyces oris	Actinomyces johnsonii	0.906516747689	Mixed	#cccccc
17	Actinomyces oris	Actinomyces massiliensis	0.912945169307	Supragingival_plaque	#ff8646
18	Actinomyces oris	Actinomyces naeslundii	0.816405651969	Supragingival_plaque	#ff8646
19	Actinomyces sp. ICM39	Actinobaculum sp. oral taxon 183	0.958596992347	Mixed	#cccccc
20	Actinomyces sp. ICM39	Actinomyces georgiae	0.94454533963	Mixed	#cccccc
21	Actinomyces sp. ICM39	Actinomyces gerencseriae	0.881691892602	Mixed	#cccccc
22	Actinomyces sp. ICM39	Actinomyces meyeri	0.977253113492	Mixed	#cccccc
23	Actinomyces sp. ICM47	Actinomyces dentalis	0.810547190147	Mixed	#cccccc
24	Actinomyces sp. ICM47	Actinomyces graevenitzii	0.991691917987	Tongue_dorsum	#ff2f18
25	Actinomyces sp. ICM47	Actinomyces israelii	0.83731279557	Mixed	#cccccc
