TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	8	12.0	2.0	#b2f396	#5444fd
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	8	12.0	2.0	#b2f396	#5444fd
Actinomyces massiliensis	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Actinomyces meyeri	Subgingival_plaque	#ffac5c	8	12.0	2.0	#b2f396	#5444fd
Actinomyces naeslundii	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	4	9.0	4.0	#64fbc3	#2884f6
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	4	9.0	4.0	#64fbc3	#2884f6
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	10	10.0	6.0	#7effb5	#04b9ea
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	7	12.0	0.0	#b2f396	#8000ff
Aggregatibacter aphrophilus	Saliva	#cbe486	12	12.0	2.0	#b2f396	#5444fd
Aggregatibacter segnis	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	8	15.0	5.0	#feb562	#11a0f1
Bacteroides caccae	Stool	#e8cb72	3	19.0	8.0	#ff2914	#30e1da
Bacteroides dorei	Stool	#e8cb72	2	7.0	9.0	#32e3da	#46efd1
Bacteroides gallinarum	Stool	#e8cb72	2	18.0	10.0	#ff5029	#5df9c7
Bacteroides intestinalis	Stool	#e8cb72	2	7.0	9.0	#32e3da	#46efd1
Bacteroides massiliensis	Stool	#e8cb72	3	19.0	8.0	#ff2914	#30e1da
Bacteroides stercoris	Stool	#e8cb72	4	19.0	8.0	#ff2914	#30e1da
Bacteroides uniformis	Stool	#e8cb72	2	7.0	9.0	#32e3da	#46efd1
Bacteroides vulgatus	Stool	#e8cb72	3	19.0	8.0	#ff2914	#30e1da
Campylobacter curvus	Supragingival_plaque	#ff8646	4	5.0	12.0	#01b3ec	#8bfeae
Campylobacter mucosalis	Attached	#622ffe	1	6.0	7.0	#18cde4	#1acfe3
Campylobacter sp. 10_1_50	Attached	#622ffe	8	15.0	5.0	#feb562	#11a0f1
Campylobacter sp. FOBRC14	Attached	#622ffe	3	5.0	12.0	#01b3ec	#8bfeae
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff8646	4	13.0	0.0	#cbe486	#8000ff
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#ffac5c	6	16.0	0.0	#ff964f	#8000ff
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8646	2	7.0	9.0	#32e3da	#46efd1
Capnocytophaga sp. oral taxon 336	Subgingival_plaque	#ffac5c	5	4.0	0.0	#1996f3	#8000ff
Capnocytophaga sp. oral taxon 380	Supragingival_plaque	#ff8646	4	13.0	0.0	#cbe486	#8000ff
Capnocytophaga sp. oral taxon 412	Supragingival_plaque	#ff8646	6	16.0	0.0	#ff964f	#8000ff
Cardiobacterium hominis	Subgingival_plaque	#ffac5c	6	16.0	0.0	#ff964f	#8000ff
