	source	target	weight	edge_sample	edge_color
0	Afipia broomeae	Acidovorax delafieldii	1.0	Anterior_nares	#8000ff
1	Alistipes onderdonkii	Alistipes finegoldii	0.866795764716	Stool	#e8cb72
2	Alistipes senegalensis	Alistipes finegoldii	0.822994116549	Stool	#e8cb72
3	Alistipes senegalensis	Alistipes onderdonkii	0.806994390999	Stool	#e8cb72
4	Alistipes timonensis	Alistipes senegalensis	0.816920845223	Stool	#e8cb72
5	Alkaliflexus imshenetskii	Actinotignum schaalii	1.0	Mixed	#cccccc
6	Bradyrhizobium sp. BTAi1	Acidovorax delafieldii	1.0	Mixed	#cccccc
7	Bradyrhizobium sp. BTAi1	Afipia broomeae	1.0	Mixed	#cccccc
8	Candidatus Saccharibacteria oral taxon TM7x	Actinomyces graevenitzii	0.893170089618	Mixed	#cccccc
9	[Clostridium] litorale	Acetobacterium dehalogenans	1.0	Stool	#e8cb72
10	Clostridium sp. 7_2_43FAA	Clostridium sartagoforme	1.0	Stool	#e8cb72
11	Clostridium sp. C8	Clostridium sartagoforme	1.0	Stool	#e8cb72
12	Clostridium sp. C8	Clostridium sp. 7_2_43FAA	1.0	Stool	#e8cb72
13	Collinsella sp. 4_8_47FAA	Collinsella aerofaciens	0.900773700545	Stool	#e8cb72
14	Desulfotomaculum nigrificans	Clostridium sartagoforme	1.0	Stool	#e8cb72
15	Desulfotomaculum nigrificans	Clostridium sp. 7_2_43FAA	1.0	Stool	#e8cb72
16	Desulfotomaculum nigrificans	Clostridium sp. C8	1.0	Stool	#e8cb72
17	Desulfovibrio sp. 6_1_46AFAA	Desulfovibrio sp. 3_1_syn3	0.851427252772	Stool	#e8cb72
18	Dorea sp. D27	Anaerococcus lactolyticus	0.815355425121	Mixed	#cccccc
19	Eggerthella sp. 1_3_56FAA	Dialister micraerophilus	0.815355425121	Mixed	#cccccc
20	Enterobacter cloacae	Citrobacter koseri	1.0	Mixed	#cccccc
21	Enterobacteriaceae bacterium strain FGI 57	Buttiauxella agrestis	1.0	Stool	#e8cb72
22	Enterococcus columbae	Eggerthia catenaformis	1.0	Mixed	#cccccc
23	Erwinia tracheiphila	Candidatus Hamiltonella defensa	1.0	Stool	#e8cb72
24	Escherichia albertii	Buttiauxella agrestis	1.0	Stool	#e8cb72
25	Escherichia albertii	Enterobacteriaceae bacterium strain FGI 57	1.0	Stool	#e8cb72
26	Escherichia fergusonii	Citrobacter koseri	1.0	Stool	#e8cb72
27	Escherichia fergusonii	Enterobacter cloacae	1.0	Mixed	#cccccc
28	[Eubacterium] infirmum	Anaerococcus lactolyticus	1.0	Mixed	#cccccc
29	[Eubacterium] infirmum	Dorea sp. D27	0.815355425121	Mixed	#cccccc
30	Fermentimonas caenicola	Citrobacter koseri	1.0	Mixed	#cccccc
31	Fermentimonas caenicola	Enterobacter cloacae	1.0	Mixed	#cccccc
32	Fermentimonas caenicola	Escherichia fergusonii	1.0	Mixed	#cccccc
33	Fibrella aestuarina	Actinomyces graevenitzii	0.864811632475	Mixed	#cccccc
34	Fusobacterium varium	Acidaminococcus sp. D21	1.0	Mixed	#cccccc
35	Gardnerella vaginalis	Anaerococcus lactolyticus	1.0	Mixed	#cccccc
36	Gardnerella vaginalis	Dorea sp. D27	0.815355425121	Mixed	#cccccc
37	Gardnerella vaginalis	[Eubacterium] infirmum	1.0	Mixed	#cccccc
38	Gemella morbillorum	Clostridium sartagoforme	1.0	Mixed	#cccccc
39	Gemella morbillorum	Clostridium sp. 7_2_43FAA	1.0	Mixed	#cccccc
40	Gemella morbillorum	Clostridium sp. C8	1.0	Mixed	#cccccc
41	Gemella morbillorum	Desulfotomaculum nigrificans	1.0	Mixed	#cccccc
42	Haemophilus haemolyticus	Candidatus Hamiltonella defensa	1.0	Mixed	#cccccc
43	Haemophilus haemolyticus	Erwinia tracheiphila	1.0	Mixed	#cccccc
44	Intestinibacter bartlettii	Clostridium sp. 1_1_41A1FAA	0.814199820876	Stool	#e8cb72
45	Klebsiella sp. 4_1_44FAA	Acidaminococcus sp. D21	1.0	Stool	#e8cb72
46	Klebsiella sp. 4_1_44FAA	Fusobacterium varium	1.0	Mixed	#cccccc
47	Kluyvera cryocrescens	Citrobacter koseri	1.0	Mixed	#cccccc
48	Kluyvera cryocrescens	Enterobacter cloacae	1.0	Mixed	#cccccc
49	Kluyvera cryocrescens	Escherichia fergusonii	1.0	Mixed	#cccccc
50	Kluyvera cryocrescens	Fermentimonas caenicola	1.0	Mixed	#cccccc
51	Lachnoclostridium phytofermentans	Butyrivibrio fibrisolvens	0.842770175918	Mixed	#cccccc
52	Lachnospiraceae bacterium 3-2	Ethanoligenens harbinense	1.0	Stool	#e8cb72
53	Lachnospiraceae bacterium 5_1_57FAA	Halalkalibacillus halophilus	0.815355425121	Stool	#e8cb72
54	Lachnospiraceae bacterium AC2014	Butyrivibrio fibrisolvens	0.83309722812	Mixed	#cccccc
55	Lachnospiraceae bacterium AC2029	Butyrivibrio sp. FCS014	0.815355425121	Stool	#e8cb72
56	Lachnospiraceae bacterium AC2029	Desulfitobacterium hafniense	0.864811632475	Stool	#e8cb72
57	Lachnospiraceae bacterium AC2029	Enterorhabdus caecimuris	0.864811632475	Stool	#e8cb72
58	Lachnospiraceae bacterium AC3007	Butyrivibrio sp. MC2021	1.0	Stool	#e8cb72
59	Lachnospiraceae bacterium ND2006	Ethanoligenens harbinense	1.0	Mixed	#cccccc
60	Lachnospiraceae bacterium ND2006	Lachnospiraceae bacterium 3-2	1.0	Mixed	#cccccc
61	Lachnospiraceae bacterium oral taxon 500	Actinomyces graevenitzii	1.0	Mixed	#cccccc
62	Lachnospiraceae bacterium oral taxon 500	Candidatus Saccharibacteria oral taxon TM7x	0.893170089618	Mixed	#cccccc
63	Lachnospiraceae bacterium oral taxon 500	Fibrella aestuarina	0.864811632475	Mixed	#cccccc
64	Lachnospiraceae bacterium P6B14	Eubacterium sp. 14-2	0.893170089618	Stool	#e8cb72
65	Lachnospiraceae bacterium P6B14	Lachnoclostridium phytofermentans	0.893170089618	Stool	#e8cb72
66	Lachnospiraceae bacterium TWA4	Butyrivibrio sp. FCS014	0.815355425121	Stool	#e8cb72
67	Lachnospiraceae bacterium TWA4	Desulfitobacterium hafniense	0.864811632475	Stool	#e8cb72
68	Lachnospiraceae bacterium TWA4	Lachnospiraceae bacterium FE2018	0.815355425121	Mixed	#cccccc
69	Lachnospiraceae bacterium V9D3004	Dorea sp. D27	0.864811632475	Stool	#e8cb72
70	Leuconostoc mesenteroides	Clostridium dakarense	1.0	Mixed	#cccccc
71	Marinilabilia salmonicolor	Candidatus Hamiltonella defensa	1.0	Mixed	#cccccc
72	Marinilabilia salmonicolor	Erwinia tracheiphila	1.0	Mixed	#cccccc
73	Marinilabilia salmonicolor	Haemophilus haemolyticus	1.0	Mixed	#cccccc
