TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	66	15.0	2.0	#3ae8d6	#6629fe
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	2	15.0	2.0	#3ae8d6	#6629fe
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	11	15.0	2.0	#3ae8d6	#6629fe
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	28	15.0	2.0	#3ae8d6	#6629fe
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	3	15.0	2.0	#3ae8d6	#6629fe
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	11	15.0	2.0	#3ae8d6	#6629fe
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	8	38.0	4.0	#ff3b1e	#4c50fc
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	12	15.0	2.0	#3ae8d6	#6629fe
Alistipes obesi	Stool	#e8cb72	4	32.0	0.0	#ffa256	#8000ff
Alistipes putredinis	Stool	#e8cb72	20	36.0	10.0	#ff6232	#02b7eb
Alistipes shahii	Stool	#e8cb72	6	36.0	10.0	#ff6232	#02b7eb
Anaerococcus lactolyticus	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#7413ff	#7413ff
Atopobium sp. BS2	Saliva	#cbe486	5	15.0	2.0	#3ae8d6	#6629fe
Atopobium sp. ICM42b	Saliva	#cbe486	2	15.0	2.0	#3ae8d6	#6629fe
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	3	4.0	12.0	#504afc	#1dd1e2
Atopobium sp. oral taxon 810	Buccal_mucosa	#445cfb	2	4.0	12.0	#504afc	#1dd1e2
Bacteroides caccae	Stool	#e8cb72	18	19.0	9.0	#6dfdbf	#0ca7ef
Bacteroides dorei	Stool	#e8cb72	4	41.0	0.0	#ff0000	#8000ff
Bacteroides eggerthii	Stool	#e8cb72	4	22.0	15.0	#90feab	#44eed2
