TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	2	29.0	2.0	#e0d377	#6a22fe
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	3	34.0	2.0	#ff914c	#6a22fe
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	208	18.0	3.0	#5af8c8	#5e35fe
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	8	9.0	4.0	#149df1	#5444fd
Alistipes obesi	Stool	#e8cb72	4	30.0	7.0	#ecc86f	#3176f8
Anaerococcus lactolyticus	L_Retroauricular_crease	#34e4d9	2	35.0	1.0	#ff8143	#7610ff
Atopobium sp. ICM42b	Saliva	#cbe486	2	34.0	2.0	#ff914c	#6a22fe
Atopobium sp. oral taxon 810	Buccal_mucosa	#445cfb	2	42.0	10.0	#ff0000	#10a2f0
Bacteroides eggerthii	Stool	#e8cb72	4	37.0	8.0	#ff5f30	#2686f5
Bacteroides finegoldii	Stool	#e8cb72	4	10.0	13.0	#08acee	#12c8e6
Bacteroides sp. 1_1_30	Stool	#e8cb72	2	11.0	14.0	#04b9ea	#1fd3e1
Bacteroides sp. 1_1_6	Stool	#e8cb72	1	21.0	11.0	#7effb5	#04b0ed
Bacteroides sp. 2_2_4	Stool	#e8cb72	3	8.0	14.0	#208ef4	#1fd3e1
Bacteroides sp. 3_1_13	Stool	#e8cb72	4	8.0	14.0	#208ef4	#1fd3e1
Bacteroides sp. 3_1_19	Stool	#e8cb72	2	33.0	0.0	#ffa055	#8000ff
Bacteroides sp. 3_1_23	Stool	#e8cb72	2	11.0	14.0	#04b9ea	#1fd3e1
Bacteroides sp. 3_1_33FAA	Stool	#e8cb72	2	1.0	0.0	#7413ff	#8000ff
Bacteroides sp. 4_1_36	Stool	#e8cb72	2	11.0	14.0	#04b9ea	#1fd3e1
Bacteroides sp. 9_1_42FAA	Stool	#e8cb72	2	33.0	0.0	#ffa055	#8000ff
Bacteroides sp. D20	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Bacteroides sp. D22	Stool	#e8cb72	1	5.0	16.0	#445cfb	#34e4d9
Bacteroides uniformis	Stool	#e8cb72	10	20.0	15.0	#72febb	#2adddd
Bacteroides vulgatus	Stool	#e8cb72	12	20.0	15.0	#72febb	#2adddd
Bacteroides xylanisolvens	Stool	#e8cb72	1	15.0	16.0	#37e6d8	#34e4d9
Bifidobacterium pseudocatenulatum	L_Retroauricular_crease	#34e4d9	1	15.0	16.0	#37e6d8	#34e4d9
Blautia wexlerae	Stool	#e8cb72	1	21.0	11.0	#7effb5	#04b0ed
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#ffac5c	264	2.0	21.0	#6826fe	#6efebe
Capnocytophaga sp. oral taxon 412	Supragingival_plaque	#ff8646	225	23.0	23.0	#96fca7	#84ffb2
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8646	268	36.0	20.0	#ff703a	#62fbc4
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	271	40.0	22.0	#ff2914	#78ffb8
Cellulomonas carbonis	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Clostridia bacterium UC5.1-1D10	Stool	#e8cb72	2	33.0	0.0	#ffa055	#8000ff
[Clostridium] clostridioforme	Stool	#e8cb72	3	11.0	14.0	#04b9ea	#1fd3e1
Clostridium sp. GD3	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Clostridium sp. L2-50	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Clostridium sp. M62/1	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Collinsella aerofaciens	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Collinsella sp. 4_8_47FAA	Stool	#e8cb72	2	11.0	14.0	#04b9ea	#1fd3e1
Coprococcus comes	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Deinococcus radiodurans	Posterior_fornix	#8efeac	1	5.0	16.0	#445cfb	#34e4d9
Dolosigranulum pigrum	Anterior_nares	#8000ff	2	4.0	6.0	#504afc	#3c68f9
Escherichia coli	Stool	#e8cb72	4	10.0	13.0	#08acee	#12c8e6
[Eubacterium] hallii	Stool	#e8cb72	2	33.0	0.0	#ffa055	#8000ff
Eubacterium ramulus	Stool	#e8cb72	1	5.0	16.0	#445cfb	#34e4d9
[Eubacterium] rectale	Stool	#e8cb72	15	20.0	15.0	#72febb	#2adddd
Eubacterium ventriosum	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Faecalibacterium prausnitzii	Stool	#e8cb72	10	20.0	15.0	#72febb	#2adddd
Hallella seregens	Subgingival_plaque	#ffac5c	2	32.0	24.0	#ffae5e	#90feab
Intestinimonas butyriciproducens	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Intestinimonas sp. GD2	Stool	#e8cb72	2	11.0	14.0	#04b9ea	#1fd3e1
Kineosphaera limosa	Subgingival_plaque	#ffac5c	2	25.0	28.0	#aef498	#bced8f
Lactobacillus crispatus	Mid_vagina	#52f5cb	2	28.0	31.0	#d4dd80	#ded579
Lactococcus garvieae	Stool	#e8cb72	1	28.0	12.0	#d4dd80	#08bee9
Listeria monocytogenes	L_Retroauricular_crease	#34e4d9	1	15.0	16.0	#37e6d8	#34e4d9
Mannheimia haemolytica	Keratinized_gingiva	#17cbe4	2	3.0	27.0	#5c38fd	#b2f396
Mogibacterium timidum	Palatine_Tonsils	#70febc	2	42.0	10.0	#ff0000	#10a2f0
Moraxella caprae	Anterior_nares	#8000ff	2	24.0	34.0	#a2f9a0	#ffb360
Moraxella macacae	Anterior_nares	#8000ff	2	24.0	34.0	#a2f9a0	#ffb360
Necropsobacter massiliensis	Attached	#622ffe	4	7.0	26.0	#2c7ef7	#a6f89d
Necropsobacter rosorum	Buccal_mucosa	#445cfb	5	7.0	26.0	#2c7ef7	#a6f89d
Neisseria sp. 83E34	R_Retroauricular_crease	#acf59a	2	25.0	32.0	#aef498	#ebca70
Neisseria sp. KH1503	Throat	#ff5c2f	2	25.0	32.0	#aef498	#ebca70
Novosphingobium subterraneum	Throat	#ff5c2f	2	4.0	6.0	#504afc	#3c68f9
Olsenella sp. oral taxon 809	Buccal_mucosa	#445cfb	2	42.0	10.0	#ff0000	#10a2f0
Oribacterium sp. oral taxon 108	Saliva	#cbe486	5	34.0	2.0	#ff914c	#6a22fe
Oscillibacter ruminantium	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
Oscillibacter sp. ER4	Stool	#e8cb72	4	0.0	17.0	#8000ff	#40ecd4
Oscillospiraceae bacterium VE202-24	Stool	#e8cb72	2	8.0	14.0	#208ef4	#1fd3e1
