	source	target	weight	edge_sample	edge_color
0	Actinobaculum sp. oral taxon 183	Acinetobacter junii	0.899851749801	Mixed	#cccccc
1	Actinobaculum suis	Abiotrophia defectiva	0.887428473552	Mixed	#cccccc
2	Actinomyces dentalis	Abiotrophia defectiva	0.984252228353	Mixed	#cccccc
3	Actinomyces dentalis	Actinobaculum suis	0.814337002999	Mixed	#cccccc
4	Actinomyces israelii	Actinomyces dentalis	0.844688441138	Subgingival_plaque	#ffac5c
5	Actinomyces johnsonii	Acinetobacter junii	0.999620910559	Mixed	#cccccc
6	Actinomyces johnsonii	Actinobaculum sp. oral taxon 183	0.897243485103	Subgingival_plaque	#ffac5c
7	Actinomyces massiliensis	Acinetobacter junii	0.967752175702	Mixed	#cccccc
8	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	0.931760514582	Mixed	#cccccc
9	Actinomyces massiliensis	Actinomyces johnsonii	0.964715103584	Mixed	#cccccc
10	Actinomyces odontolyticus	Actinomyces cardiffensis	0.903801012079	Mixed	#cccccc
11	Actinomyces oris	Acinetobacter junii	0.964452269245	Mixed	#cccccc
12	Actinomyces oris	Actinobaculum sp. oral taxon 183	0.855821530654	Mixed	#cccccc
13	Actinomyces oris	Actinomyces johnsonii	0.968113165085	Mixed	#cccccc
14	Actinomyces oris	Actinomyces massiliensis	0.930541205711	Supragingival_plaque	#ff8646
15	Actinomyces sp. HPA0247	Actinomyces cardiffensis	0.951203668364	Mixed	#cccccc
16	Actinomyces sp. HPA0247	Actinomyces odontolyticus	0.910439916298	Mixed	#cccccc
17	Actinomyces sp. ICM47	Actinomyces odontolyticus	0.921689059695	Mixed	#cccccc
18	Actinomyces sp. ICM54	Actinomyces odontolyticus	0.924620299182	Mixed	#cccccc
19	Actinomyces sp. ICM54	Actinomyces sp. ICM47	0.973515604563	Tongue_dorsum	#ff2f18
20	Actinomyces sp. ICM58	Actinomyces meyeri	0.852228744722	Mixed	#cccccc
21	Actinomyces sp. ICM58	Actinomyces sp. ICM47	0.924371209448	Tongue_dorsum	#ff2f18
22	Actinomyces sp. ICM58	Actinomyces sp. ICM54	0.954133350691	Tongue_dorsum	#ff2f18
23	Actinomyces sp. oral taxon 170	Acinetobacter junii	0.82608749113	Mixed	#cccccc
24	Actinomyces sp. oral taxon 170	Actinomyces johnsonii	0.830343522706	Mixed	#cccccc
25	Actinomyces sp. oral taxon 170	Actinomyces oris	0.828896753858	Supragingival_plaque	#ff8646
26	Actinomyces sp. oral taxon 171	Acinetobacter junii	0.841707392511	Mixed	#cccccc
27	Actinomyces sp. oral taxon 171	Actinobaculum sp. oral taxon 183	0.836649482814	Mixed	#cccccc
28	Actinomyces sp. oral taxon 171	Actinomyces johnsonii	0.851382446968	Mixed	#cccccc
29	Actinomyces sp. oral taxon 171	Actinomyces massiliensis	0.853635404816	Supragingival_plaque	#ff8646
30	Actinomyces sp. oral taxon 171	Actinomyces oris	0.880503412567	Supragingival_plaque	#ff8646
31	Actinomyces sp. oral taxon 172	Actinomyces meyeri	0.947893612466	Mixed	#cccccc
32	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM47	0.854062971691	Tongue_dorsum	#ff2f18
33	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM54	0.861385757109	Tongue_dorsum	#ff2f18
34	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM58	0.959280638095	Tongue_dorsum	#ff2f18
35	Actinomyces sp. oral taxon 175	Acinetobacter junii	0.999620910559	Mixed	#cccccc
36	Actinomyces sp. oral taxon 175	Actinobaculum sp. oral taxon 183	0.897243485103	Mixed	#cccccc
37	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	1.0	Mixed	#cccccc
38	Actinomyces sp. oral taxon 175	Actinomyces massiliensis	0.964715103584	Supragingival_plaque	#ff8646
39	Actinomyces sp. oral taxon 175	Actinomyces oris	0.968113165085	Supragingival_plaque	#ff8646
40	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 170	0.830343522706	Supragingival_plaque	#ff8646
41	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 171	0.851382446968	Supragingival_plaque	#ff8646
42	Actinomyces sp. oral taxon 181	Actinomyces graevenitzii	0.94429110305	Tongue_dorsum	#ff2f18
43	Actinomyces sp. oral taxon 181	Actinomyces sp. oral taxon 178	0.851393642225	Mixed	#cccccc
44	Actinomyces sp. oral taxon 414	Abiotrophia defectiva	0.978280643136	Mixed	#cccccc
45	Actinomyces sp. oral taxon 414	Actinobaculum suis	0.800094691366	Mixed	#cccccc
46	Actinomyces sp. oral taxon 414	Actinomyces dentalis	0.994136789824	Subgingival_plaque	#ffac5c
47	Actinomyces sp. oral taxon 414	Actinomyces israelii	0.854016820294	Subgingival_plaque	#ffac5c
48	Actinomyces sp. oral taxon 448	Acinetobacter junii	0.971538759437	Mixed	#cccccc
49	Actinomyces sp. oral taxon 448	Actinobaculum sp. oral taxon 183	0.854735073185	Mixed	#cccccc
50	Actinomyces sp. oral taxon 448	Actinomyces johnsonii	0.977692361094	Mixed	#cccccc
51	Actinomyces sp. oral taxon 448	Actinomyces massiliensis	0.917235103349	Supragingival_plaque	#ff8646
52	Actinomyces sp. oral taxon 448	Actinomyces oris	0.971645612006	Supragingival_plaque	#ff8646
53	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 170	0.841887945872	Supragingival_plaque	#ff8646
54	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 171	0.903737838894	Supragingival_plaque	#ff8646
55	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 175	0.977692361094	Supragingival_plaque	#ff8646
56	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 171	0.828741930165	Supragingival_plaque	#ff8646
57	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 448	0.819920061691	Supragingival_plaque	#ff8646
58	Actinomyces sp. oral taxon 849	Acidovorax temperans	1.0	Mixed	#cccccc
59	Actinomyces sp. ph3	Actinomyces graevenitzii	0.943041014978	Tongue_dorsum	#ff2f18
60	Actinomyces sp. ph3	Actinomyces sp. oral taxon 178	0.85930405096	Mixed	#cccccc
61	Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.980747510377	Tongue_dorsum	#ff2f18
62	Actinomyces sp. S6-Spd3	Actinomyces sp. ICM39	0.815516633677	Tongue_dorsum	#ff2f18
63	Actinomyces viscosus	Acinetobacter junii	0.837293067506	Mixed	#cccccc
64	Actinomyces viscosus	Actinomyces johnsonii	0.837610596839	Mixed	#cccccc
65	Actinomyces viscosus	Actinomyces massiliensis	0.812890389825	Mixed	#cccccc
66	Actinomyces viscosus	Actinomyces oris	0.843662405395	Mixed	#cccccc
67	Actinomyces viscosus	Actinomyces sp. oral taxon 175	0.837610596839	Mixed	#cccccc
68	Actinomyces viscosus	Actinomyces sp. oral taxon 448	0.8189254821	Mixed	#cccccc
69	Afipia birgiae	Acinetobacter junii	0.995839184856	Mixed	#cccccc
70	Afipia birgiae	Actinobaculum sp. oral taxon 183	0.903611510256	Mixed	#cccccc
71	Afipia birgiae	Actinomyces johnsonii	0.992952695842	Mixed	#cccccc
72	Afipia birgiae	Actinomyces massiliensis	0.972563503539	Mixed	#cccccc
73	Afipia birgiae	Actinomyces oris	0.947112250055	Mixed	#cccccc
74	Afipia birgiae	Actinomyces sp. oral taxon 170	0.807526986684	Mixed	#cccccc
75	Afipia birgiae	Actinomyces sp. oral taxon 171	0.805126186581	Mixed	#cccccc
76	Afipia birgiae	Actinomyces sp. oral taxon 175	0.992952695842	Mixed	#cccccc
77	Afipia birgiae	Actinomyces sp. oral taxon 448	0.945909899866	Mixed	#cccccc
