TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	36.0	2.0	#ff3e1f	#642cfe
Actinomyces naeslundii	Supragingival_plaque	#ff8646	7	26.0	4.0	#d4dd80	#4659fb
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	14	35.0	7.0	#ff532a	#1996f3
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	6	26.0	4.0	#d4dd80	#4659fb
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	2	36.0	2.0	#ff3e1f	#642cfe
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	11	9.0	8.0	#0ca7ef	#0ca7ef
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	4	20.0	4.0	#84ffb2	#4659fb
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	36.0	2.0	#ff3e1f	#642cfe
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	1	28.0	1.0	#eec66d	#7216ff
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	11	9.0	8.0	#0ca7ef	#0ca7ef
Afipia birgiae	Throat	#ff5c2f	2	36.0	2.0	#ff3e1f	#642cfe
Afipia broomeae	Anterior_nares	#8000ff	1	28.0	1.0	#eec66d	#7216ff
Alistipes putredinis	Stool	#e8cb72	2	36.0	2.0	#ff3e1f	#642cfe
Bacillus thermoamylovorans	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe
Bradyrhizobium sp. CCH5-F6	R_Retroauricular_crease	#acf59a	1	22.0	11.0	#9efaa2	#20d5e1
Bulleidia extructa	Throat	#ff5c2f	6	8.0	19.0	#1898f2	#94fda8
Campylobacter fetus	Keratinized_gingiva	#17cbe4	2	13.0	17.0	#2adddd	#76ffb9
Campylobacter mucosalis	Attached	#622ffe	2	13.0	17.0	#2adddd	#76ffb9
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	1	22.0	11.0	#9efaa2	#20d5e1
Candidatus Alistipes marseilloanorexicus	Stool	#e8cb72	1	37.0	18.0	#ff2c16	#86ffb0
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	15	39.0	13.0	#ff0000	#3dead5
Capnocytophaga granulosa	Supragingival_plaque	#ff8646	7	31.0	3.0	#ff9b52	#5641fd
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	7	31.0	3.0	#ff9b52	#5641fd
