	source	target	weight	edge_sample	edge_color
0	Acinetobacter junii	Acinetobacter johnsonii	0.81458133233	Anterior_nares	#8000ff
1	Acinetobacter sp. MDS7A	Acinetobacter johnsonii	0.877108230268	Anterior_nares	#8000ff
2	Acinetobacter sp. P8-3-8	Acinetobacter bereziniae	0.814577667391	R_Retroauricular_crease	#acf59a
3	Acinetobacter sp. P8-3-8	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
4	Acinetobacter sp. VT 511	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
5	Acinetobacter tandoii	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
6	Acinetobacter towneri	Acinetobacter johnsonii	0.859605430088	Anterior_nares	#8000ff
7	Acinetobacter towneri	Acinetobacter sp. MDS7A	0.916871793392	Anterior_nares	#8000ff
8	Acinetobacter ursingii	Acinetobacter bereziniae	0.821147959763	R_Retroauricular_crease	#acf59a
9	Acinetobacter ursingii	Acinetobacter sp. 243_ASPC	0.842131923533	Mixed	#cccccc
10	Acinetobacter ursingii	Acinetobacter sp. NIPH 284	0.859049808486	Mixed	#cccccc
11	Acinetobacter ursingii	Acinetobacter sp. P8-3-8	0.962191785108	R_Retroauricular_crease	#acf59a
12	Acinetobacter ursingii	Acinetobacter tandoii	0.842131923533	Mixed	#cccccc
13	Actinobaculum massiliense	Acinetobacter sp. CIP 101966	0.812915330436	Mixed	#cccccc
14	Actinomyces europaeus	Acinetobacter sp. CIP 101966	0.893503952608	Mixed	#cccccc
15	Actinomyces europaeus	Actinobaculum massiliense	0.848594319757	Mixed	#cccccc
16	Actinomyces johnsonii	Actinomyces gerencseriae	0.847123296687	Subgingival_plaque	#ffac5c
17	Actinomyces naeslundii	Actinomyces massiliensis	0.829911824919	Supragingival_plaque	#ff8646
18	Actinomyces sp. S4-C9	Acinetobacter sp. NIPH 817	1.0	Anterior_nares	#8000ff
19	Actinomyces vaccimaxillae	Acinetobacter bereziniae	0.814577667391	Mixed	#cccccc
20	Actinomyces vaccimaxillae	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
21	Actinomyces vaccimaxillae	Acinetobacter sp. P8-3-8	1.0	Mixed	#cccccc
22	Actinomyces vaccimaxillae	Acinetobacter ursingii	0.962191785108	Mixed	#cccccc
23	Actinomyces viscosus	Actinomyces gerencseriae	0.873981610593	Mixed	#cccccc
24	Actinomyces viscosus	Actinomyces johnsonii	0.861944726006	Mixed	#cccccc
25	Advenella kashmirensis	Acinetobacter sp. CIP 101966	0.948238220241	Mixed	#cccccc
26	Advenella kashmirensis	Actinobaculum massiliense	0.857290196791	Mixed	#cccccc
27	Advenella kashmirensis	Actinomyces europaeus	0.989856553747	Anterior_nares	#8000ff
28	Aerococcus christensenii	Acinetobacter sp. CIP 101966	0.894894393804	Mixed	#cccccc
29	Aerococcus christensenii	Actinomyces europaeus	0.894365118999	Mixed	#cccccc
30	Aerococcus christensenii	Advenella kashmirensis	0.915594302257	Mixed	#cccccc
31	Aerococcus urinae	Adlercreutzia equolifaciens	0.89401001926	Mixed	#cccccc
32	Aeromonas hydrophila	Acidithiobacillus caldus	1.0	Mixed	#cccccc
33	Aeromonas rivuli	Adlercreutzia equolifaciens	0.89401001926	Mixed	#cccccc
34	Aeromonas rivuli	Aerococcus urinae	1.0	Anterior_nares	#8000ff
35	Aeromonas salmonicida	Acidithiobacillus caldus	1.0	Mixed	#cccccc
36	Aeromonas salmonicida	Aeromonas hydrophila	1.0	Mixed	#cccccc
37	Aeromonas sanarellii	Acinetobacter tjernbergiae	1.0	Anterior_nares	#8000ff
38	Afipia clevelandensis	Afipia broomeae	0.982470266447	Anterior_nares	#8000ff
39	Agrobacterium albertimagni	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
