TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acinetobacter sp. P8-3-8	R_Retroauricular_crease	#acf59a	2	98.0	6.0	#ff7e41	#6826fe	Mixed	#cccccc
Acinetobacter sp. VT 511	Anterior_nares	#8000ff	1	43.0	13.0	#3ae8d6	#4c50fc	Mixed	#cccccc
Acinetobacter tandoii	Anterior_nares	#8000ff	1	72.0	10.0	#b9ef92	#583efd	Mixed	#cccccc
Acinetobacter ursingii	R_Retroauricular_crease	#acf59a	4	98.0	6.0	#ff7e41	#6826fe	Mixed	#cccccc
Actinomyces europaeus	Anterior_nares	#8000ff	2	112.0	11.0	#ff2211	#5444fd	Mixed	#cccccc
Actinomyces sp. S4-C9	Anterior_nares	#8000ff	1	39.0	15.0	#28dbde	#445cfb	Mixed	#cccccc
Actinomyces vaccimaxillae	Anterior_nares	#8000ff	2	98.0	6.0	#ff7e41	#6826fe	Mixed	#cccccc
Advenella kashmirensis	Anterior_nares	#8000ff	2	112.0	11.0	#ff2211	#5444fd	Mixed	#cccccc
Aeromonas hydrophila	L_Retroauricular_crease	#34e4d9	1	91.0	3.0	#ffa558	#7413ff	Mixed	#cccccc
Aeromonas rivuli	Anterior_nares	#8000ff	1	45.0	27.0	#44eed2	#11a0f1	Mixed	#cccccc
Aeromonas salmonicida	Anterior_nares	#8000ff	1	91.0	3.0	#ffa558	#7413ff	Mixed	#cccccc
Aeromonas sanarellii	Anterior_nares	#8000ff	1	66.0	17.0	#9efaa2	#3c68f9	Mixed	#cccccc
Agrobacterium albertimagni	Anterior_nares	#8000ff	1	86.0	19.0	#f6be68	#3473f8	Mixed	#cccccc
Agrobacterium sp. LC34	Anterior_nares	#8000ff	2	47.0	28.0	#4df3ce	#0ea5ef	Mixed	#cccccc
Aliivibrio salmonicida	Anterior_nares	#8000ff	1	61.0	25.0	#88ffaf	#1996f3	Mixed	#cccccc
Anaerofustis stercorihominis	Stool	#e8cb72	1	97.0	8.0	#ff8444	#6032fe	Mixed	#cccccc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	1	36.0	24.0	#1dd1e2	#208ef4	Mixed	#cccccc
Anoxybacillus tepidamans	Anterior_nares	#8000ff	1	27.0	16.0	#0ca7ef	#4062fa	Mixed	#cccccc
Arthrobacter sp. AK-YN10	Anterior_nares	#8000ff	2	44.0	38.0	#3febd5	#1acfe3	Mixed	#cccccc
Arthrobacter sp. L77	Anterior_nares	#8000ff	1	86.0	19.0	#f6be68	#3473f8	Mixed	#cccccc
Atopobium sp. BS2	Saliva	#cbe486	14	82.0	21.0	#e4cf74	#2c7ef7	Mixed	#cccccc
Atopococcus tabaci	Anterior_nares	#8000ff	2	98.0	6.0	#ff7e41	#6826fe	Mixed	#cccccc
Aurantimonas coralicida	Anterior_nares	#8000ff	1	72.0	10.0	#b9ef92	#583efd	Mixed	#cccccc
Bacillus nealsonii	Anterior_nares	#8000ff	1	31.0	47.0	#07bbea	#3febd5	Mixed	#cccccc
Bacillus smithii	L_Retroauricular_crease	#34e4d9	1	45.0	27.0	#44eed2	#11a0f1	Mixed	#cccccc
Bacillus velezensis	Anterior_nares	#8000ff	1	48.0	16.0	#50f4cc	#4062fa	Mixed	#cccccc
