TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
[Eubacterium] infirmum	Subgingival_plaque	#ffac5c	2	3.0	1.0	#7effb5	#7effb5	Mixed	#cccccc
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	2	2.0	0.0	#2adddd	#8000ff	Mixed	#cccccc
Fusobacterium periodonticum	Throat	#ff5c2f	2	0.0	2.0	#8000ff	#ff0000	Mixed	#cccccc
Gemella cuniculi	Attached	#622ffe	1	5.0	1.0	#ff8143	#7effb5	Mixed	#cccccc
Gemella haemolysans	Buccal_mucosa	#445cfb	2	0.0	2.0	#8000ff	#ff0000	Mixed	#cccccc
Gemella sanguinis	Tongue_dorsum	#ff2f18	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Granulicatella elegans	Keratinized_gingiva	#17cbe4	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Haemophilus influenzae	Attached	#622ffe	2	4.0	2.0	#d4dd80	#ff0000	Mixed	#cccccc
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Lautropia mirabilis	Supragingival_plaque	#ff8646	2	6.0	1.0	#ff0000	#7effb5	Mixed	#cccccc
Leptotrichia sp. oral taxon 212	Supragingival_plaque	#ff8646	2	5.0	1.0	#ff8143	#7effb5	Mixed	#cccccc
Megasphaera micronuciformis	Saliva	#cbe486	2	2.0	0.0	#2adddd	#8000ff	Mixed	#cccccc
[Pasteurella] pneumotropica	Buccal_mucosa	#445cfb	1	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	2	6.0	1.0	#ff0000	#7effb5	Mixed	#cccccc
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	2	6.0	1.0	#ff0000	#7effb5	Mixed	#cccccc
Prevotella corporis	R_Retroauricular_crease	#acf59a	2	6.0	1.0	#ff0000	#7effb5	Mixed	#cccccc
Prevotella histicola	Palatine_Tonsils	#70febc	2	1.0	2.0	#2c7ef7	#ff0000	Mixed	#cccccc
Prevotella nanceiensis	Hard_palate	#08acee	2	1.0	0.0	#2c7ef7	#8000ff	Mixed	#cccccc
Prevotella pallens	Throat	#ff5c2f	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella salivae	Saliva	#cbe486	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella scopos	Throat	#ff5c2f	2	4.0	2.0	#d4dd80	#ff0000	Mixed	#cccccc
Prevotella sp. oral taxon 299	Attached	#622ffe	2	1.0	2.0	#2c7ef7	#ff0000	Mixed	#cccccc
Rothia mucilaginosa	Hard_palate	#08acee	2	5.0	1.0	#ff8143	#7effb5	Mixed	#cccccc
Selenomonas sp. oral taxon 478	Saliva	#cbe486	2	2.0	0.0	#2adddd	#8000ff	Mixed	#cccccc
Staphylococcus pasteuri	Keratinized_gingiva	#17cbe4	2	2.0	0.0	#2adddd	#8000ff	Mixed	#cccccc
Streptococcus mitis	Buccal_mucosa_NA	#2686f5	2	4.0	2.0	#d4dd80	#ff0000	Mixed	#cccccc
Streptococcus pseudopneumoniae	Buccal_mucosa_NA	#2686f5	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus salivarius	Tongue_dorsum	#ff2f18	2	4.0	2.0	#d4dd80	#ff0000	Mixed	#cccccc
Streptococcus sp. 1171_SSPC	Palatine_Tonsils	#70febc	1	5.0	1.0	#ff8143	#7effb5	Mixed	#cccccc
Treponema sp. OMZ 838	Subgingival_plaque	#ffac5c	1	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Veillonella dispar	Throat	#ff5c2f	2	2.0	0.0	#2adddd	#8000ff	Mixed	#cccccc
Veillonella sp. 3_1_44	Attached	#622ffe	1	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Veillonella sp. AS16	Tongue_dorsum	#ff2f18	1	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Veillonella sp. oral taxon 158	Palatine_Tonsils	#70febc	2	1.0	0.0	#2c7ef7	#8000ff	Mixed	#cccccc
Alloprevotella rava	Saliva	#cbe486	1	5.0	1.0	#ff8143	#7effb5	Mixed	#cccccc
Abiotrophia defectiva	Buccal_mucosa	#445cfb	2	2.0	0.0	#2adddd	#8000ff	Mixed	#cccccc
Carnobacterium maltaromaticum	Hard_palate	#08acee	2	1.0	2.0	#2c7ef7	#ff0000	Mixed	#cccccc
