TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	6	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	12	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	12	5.0	1.0	#ecc86f	#386df9	Mixed	#cccccc
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	12	1.0	2.0	#386df9	#10c6e6	Mixed	#cccccc
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	12	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	11	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Aggregatibacter aphrophilus	Saliva	#cbe486	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Aggregatibacter segnis	Supragingival_plaque	#ff8646	5	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	8	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
Akkermansia muciniphila	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Alistipes obesi	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Alistipes putredinis	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Alistipes shahii	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Alloprevotella rava	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	12	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Atopobium parvulum	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Atopobium rimae	Subgingival_plaque	#ffac5c	10	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Atopobium sp. BS2	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Atopobium sp. ICM42b	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	5	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides caccae	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides coprocola	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides coprophilus	Stool	#e8cb72	1	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides eggerthii	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides finegoldii	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides fragilis	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides massiliensis	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides plebeius	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides pyogenes	Stool	#e8cb72	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Bacteroides sp. 4_3_47FAA	Stool	#e8cb72	1	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides stercoris	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides uniformis	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroides vulgatus	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Bacteroidetes oral taxon 274	Subgingival_plaque	#ffac5c	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Barnesiella intestinihominis	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Brochothrix thermosphacta	Saliva	#cbe486	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Bulleidia extructa	Throat	#ff5c2f	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Butyricimonas virosa	Stool	#e8cb72	1	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Campylobacter concisus	Attached	#622ffe	12	5.0	1.0	#ecc86f	#386df9	Mixed	#cccccc
Campylobacter curvus	Supragingival_plaque	#ff8646	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Campylobacter gracilis	Subgingival_plaque	#ffac5c	7	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Campylobacter hominis	R_Retroauricular_crease	#acf59a	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Campylobacter showae	Supragingival_plaque	#ff8646	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Campylobacter sp. 10_1_50	Attached	#622ffe	6	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Campylobacter sp. FOBRC14	Attached	#622ffe	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	2	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
candidate division SR1 bacterium RAAC1_SR1_1	Attached	#622ffe	2	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	12	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff8646	12	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#ffac5c	7	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8646	6	1.0	1.0	#386df9	#386df9	Mixed	#cccccc
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	10	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Carnobacterium divergens	Saliva	#cbe486	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Carnobacterium maltaromaticum	Hard_palate	#08acee	12	1.0	1.0	#386df9	#386df9	Mixed	#cccccc
Catonella morbi	Subgingival_plaque	#ffac5c	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Cellulomonas flavigena	Throat	#ff5c2f	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Centipeda periodontii	Subgingival_plaque	#ffac5c	8	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
[Clostridium] leptum	L_Retroauricular_crease	#34e4d9	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Corynebacterium argentoratense	Tongue_dorsum	#ff2f18	2	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
Corynebacterium durum	Supragingival_plaque	#ff8646	10	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	10	6.0	4.0	#ff703a	#a2f9a0	Mixed	#cccccc
Corynebacterium vitaeruminis	Throat	#ff5c2f	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Dialister invisus	Stool	#e8cb72	10	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Dialister micraerophilus	Saliva	#cbe486	4	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	2	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Eikenella corrodens	Subgingival_plaque	#ffac5c	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Eubacterium brachy	Palatine_Tonsils	#70febc	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
[Eubacterium] eligens	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	2	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
[Eubacterium] rectale	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	12	5.0	1.0	#ecc86f	#386df9	Mixed	#cccccc
Eubacterium ventriosum	Stool	#e8cb72	2	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Faecalibacterium prausnitzii	Stool	#e8cb72	3	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Filifactor alocis	Palatine_Tonsils	#70febc	10	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Finegoldia magna	R_Retroauricular_crease	#acf59a	2	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Fusobacterium hwasookii	Supragingival_plaque	#ff8646	11	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Fusobacterium necrophorum	Palatine_Tonsils	#70febc	8	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Fusobacterium nucleatum	Subgingival_plaque	#ffac5c	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Fusobacterium periodonticum	Throat	#ff5c2f	12	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Fusobacterium sp. CM1	Palatine_Tonsils	#70febc	5	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Fusobacterium sp. CM21	Palatine_Tonsils	#70febc	6	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	8	5.0	1.0	#ecc86f	#386df9	Mixed	#cccccc
Fusobacterium sp. OBRC1	Throat	#ff5c2f	8	5.0	1.0	#ecc86f	#386df9	Mixed	#cccccc
Fusobacterium sp. oral taxon 370	Tongue_dorsum	#ff2f18	10	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Gemella bergeri	Keratinized_gingiva	#17cbe4	2	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
Gemella cuniculi	Attached	#622ffe	2	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Gemella haemolysans	Buccal_mucosa	#445cfb	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Gemella morbillorum	Attached	#622ffe	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Gemella sanguinis	Tongue_dorsum	#ff2f18	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Gordonibacter pamelaeae	Stool	#e8cb72	1	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Granulicatella adiacens	Attached	#622ffe	12	1.0	1.0	#386df9	#386df9	Mixed	#cccccc
Granulicatella elegans	Keratinized_gingiva	#17cbe4	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Haemophilus influenzae	Attached	#622ffe	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	8	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Haemophilus paraphrohaemolyticus	Buccal_mucosa	#445cfb	8	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
