TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidovorax sp. JS42	Buccal_mucosa	#445cfb	1	21.0	4.0	#ff7b40	#3079f7	Mixed	#cccccc
Acinetobacter johnsonii	Anterior_nares	#8000ff	5	17.0	3.0	#dbd87b	#445cfb	Mixed	#cccccc
Acinetobacter junii	Anterior_nares	#8000ff	3	21.0	4.0	#ff7b40	#3079f7	Mixed	#cccccc
Actinomyces dentalis	Subgingival_plaque	#ffac5c	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	6	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	3	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces neuii	Posterior_fornix	#8efeac	12	11.0	5.0	#60fac5	#1996f3	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	1	25.0	6.0	#ff0000	#06aeed	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	8	11.0	5.0	#60fac5	#1996f3	Mixed	#cccccc
Actinomyces turicensis	Anterior_nares	#8000ff	2	8.0	8.0	#22d6e0	#22d6e0	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	1	15.0	7.0	#b2f396	#0fc4e7	Mixed	#cccccc
Alcaligenes faecalis	Anterior_nares	#8000ff	1	17.0	3.0	#dbd87b	#445cfb	Mixed	#cccccc
Alistipes obesi	Stool	#e8cb72	9	19.0	10.0	#ffb05f	#4df3ce	Mixed	#cccccc
Alistipes onderdonkii	Stool	#e8cb72	4	19.0	10.0	#ffb05f	#4df3ce	Mixed	#cccccc
Alistipes senegalensis	Stool	#e8cb72	4	21.0	4.0	#ff7b40	#3079f7	Mixed	#cccccc
Alistipes shahii	Stool	#e8cb72	22	21.0	4.0	#ff7b40	#3079f7	Mixed	#cccccc
Alistipes sp. AL-1	Stool	#e8cb72	2	19.0	10.0	#ffb05f	#4df3ce	Mixed	#cccccc
