TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidovorax sp. JS42	Buccal_mucosa	#445cfb	1	27.0	3.0	#b2f396	#5e35fe	Mixed	#cccccc
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	2	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	6	7.0	4.0	#3176f8	#5247fc	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	3	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	1	7.0	6.0	#3176f8	#3c68f9	Mixed	#cccccc
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	4	36.0	0.0	#ff964f	#8000ff	Mixed	#cccccc
Actinomyces turicensis	Anterior_nares	#8000ff	2	10.0	12.0	#10a2f0	#0ac0e8	Mixed	#cccccc
Actinomyces viscosus	Attached	#622ffe	5	36.0	0.0	#ff964f	#8000ff	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	1	41.0	10.0	#ff4724	#0ea5ef	Mixed	#cccccc
Alcaligenes faecalis	Anterior_nares	#8000ff	1	43.0	11.0	#ff2613	#01b3ec	Mixed	#cccccc
Alistipes sp. HGB5	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0	Mixed	#cccccc
Alloiococcus otitis	Anterior_nares	#8000ff	2	24.0	2.0	#90feab	#6a22fe	Mixed	#cccccc
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	2	42.0	14.0	#ff351b	#22d6e0	Mixed	#cccccc
Anaerococcus provenciensis	L_Retroauricular_crease	#34e4d9	3	24.0	2.0	#90feab	#6a22fe	Mixed	#cccccc
Anaerococcus vaginalis	L_Retroauricular_crease	#34e4d9	1	38.0	1.0	#ff793e	#7610ff	Mixed	#cccccc
Arcanobacterium sp. S3PF19	L_Retroauricular_crease	#34e4d9	1	8.0	17.0	#2686f5	#44eed2	Mixed	#cccccc
Atopobium sp. BS2	Saliva	#cbe486	2	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Atopobium sp. ICM42b	Saliva	#cbe486	1	19.0	9.0	#56f7ca	#1898f2	Mixed	#cccccc
Bacillus thermoamylovorans	Anterior_nares	#8000ff	3	24.0	2.0	#90feab	#6a22fe	Mixed	#cccccc
bacterium LF-3	Stool	#e8cb72	1	43.0	11.0	#ff2613	#01b3ec	Mixed	#cccccc
[Bacteroides] pectinophilus	Stool	#e8cb72	1	8.0	17.0	#2686f5	#44eed2	Mixed	#cccccc
Bacteroides salyersiae	Stool	#e8cb72	3	35.0	20.0	#ffa558	#66fcc2	Mixed	#cccccc
Bacteroides sartorii	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0	Mixed	#cccccc
Bacteroides sp. 1_1_30	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0	Mixed	#cccccc
Bacteroides sp. 14(A)	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0	Mixed	#cccccc
Bacteroides sp. 2_2_4	Stool	#e8cb72	2	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bacteroides sp. 3_1_13	Stool	#e8cb72	3	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bacteroides sp. 3_1_19	Stool	#e8cb72	2	42.0	14.0	#ff351b	#22d6e0	Mixed	#cccccc
Bacteroides sp. 3_1_23	Stool	#e8cb72	3	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bacteroides sp. 4_1_36	Stool	#e8cb72	1	21.0	22.0	#6efebe	#7effb5	Mixed	#cccccc
Bacteroides sp. 4_3_47FAA	Stool	#e8cb72	1	5.0	16.0	#4856fb	#38e7d7	Mixed	#cccccc
Bacteroides sp. D2	Stool	#e8cb72	3	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bacteroides sp. D22	Stool	#e8cb72	2	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Barnesiella intestinihominis	Stool	#e8cb72	20	11.0	15.0	#04b0ed	#2ddedc	Mixed	#cccccc
Bergeyella zoohelcum	R_Retroauricular_crease	#acf59a	1	6.0	11.0	#3c68f9	#01b3ec	Mixed	#cccccc
Bifidobacterium dentium	Posterior_fornix	#8efeac	2	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bifidobacterium moukalabense	Posterior_fornix	#8efeac	2	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bifidobacterium scardovii	Posterior_fornix	#8efeac	4	15.0	7.0	#2adddd	#3079f7	Mixed	#cccccc
Bifidobacterium sp. MSTE12	Posterior_fornix	#8efeac	2	25.0	19.0	#9bfba5	#5df9c7	Mixed	#cccccc
Bilophila wadsworthia	Stool	#e8cb72	2	10.0	12.0	#10a2f0	#0ac0e8	Mixed	#cccccc
Blautia obeum	Stool	#e8cb72	4	12.0	14.0	#08bee9	#22d6e0	Mixed	#cccccc
Blautia wexlerae	Stool	#e8cb72	3	17.0	14.0	#40ecd4	#22d6e0	Mixed	#cccccc
Bradyrhizobium sp. BTAi1	L_Retroauricular_crease	#34e4d9	2	28.0	2.0	#bced8f	#6a22fe	Mixed	#cccccc
Brochothrix thermosphacta	Saliva	#cbe486	2	28.0	2.0	#bced8f	#6a22fe	Mixed	#cccccc
Bulleidia extructa	Throat	#ff5c2f	1	40.0	17.0	#ff592d	#44eed2	Mixed	#cccccc
Butyricicoccus pullicaecorum	Stool	#e8cb72	1	5.0	16.0	#4856fb	#38e7d7	Mixed	#cccccc
Butyricimonas synergistica	Stool	#e8cb72	2	35.0	20.0	#ffa558	#66fcc2	Mixed	#cccccc
Butyrivibrio crossotus	Stool	#e8cb72	3	13.0	14.0	#12c8e6	#22d6e0	Mixed	#cccccc
Butyrivibrio sp. NC3005	Stool	#e8cb72	1	8.0	17.0	#2686f5	#44eed2	Mixed	#cccccc
Campylobacter gracilis	Subgingival_plaque	#ffac5c	3	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Campylobacter showae	Supragingival_plaque	#ff8646	3	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Candidatus Alistipes marseilloanorexicus	Stool	#e8cb72	6	12.0	14.0	#08bee9	#22d6e0	Mixed	#cccccc
Candidatus Bacteroides timonensis	Stool	#e8cb72	1	5.0	16.0	#4856fb	#38e7d7	Mixed	#cccccc
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#cbe486	4	36.0	0.0	#ff964f	#8000ff	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	10	20.0	8.0	#62fbc4	#2489f5	Mixed	#cccccc
Capnocytophaga granulosa	Supragingival_plaque	#ff8646	2	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8646	2	9.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	1	19.0	9.0	#56f7ca	#1898f2	Mixed	#cccccc
