TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidovorax sp. JS42	Buccal_mucosa	#445cfb	4	27.0	5.0	#40ecd4	#5e35fe	Mixed	#cccccc
Acidovorax sp. NO-1	R_Retroauricular_crease	#acf59a	2	32.0	0.0	#64fbc3	#8000ff	Mixed	#cccccc
Acidovorax sp. SD340	R_Retroauricular_crease	#acf59a	1	44.0	3.0	#bced8f	#6c1fff	Mixed	#cccccc
Acinetobacter bereziniae	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff	Mixed	#cccccc
Acinetobacter parvus	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff	Mixed	#cccccc
Acinetobacter soli	R_Retroauricular_crease	#acf59a	2	66.0	1.0	#ff381c	#7a09ff	Mixed	#cccccc
Acinetobacter sp. Ag2	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff	Mixed	#cccccc
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	3	52.0	0.0	#f4c069	#8000ff	Mixed	#cccccc
Acinetobacter sp. NIPH 284	L_Retroauricular_crease	#34e4d9	1	59.0	8.0	#ff8444	#4856fb	Mixed	#cccccc
Acinetobacter ursingii	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff	Mixed	#cccccc
[Actinobacillus] muris	Attached	#622ffe	2	32.0	0.0	#64fbc3	#8000ff	Mixed	#cccccc
Actinobacillus ureae	Keratinized_gingiva	#17cbe4	1	8.0	12.0	#4856fb	#2981f6	Mixed	#cccccc
Actinomyces israelii	Subgingival_plaque	#ffac5c	2	48.0	19.0	#d9da7d	#08bee9	Mixed	#cccccc
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	3	48.0	19.0	#d9da7d	#08bee9	Mixed	#cccccc
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	2	48.0	19.0	#d9da7d	#08bee9	Mixed	#cccccc
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	1	2.0	4.0	#7216ff	#642cfe	Mixed	#cccccc
Actinomyces viscosus	Attached	#622ffe	20	13.0	7.0	#2489f5	#4e4dfc	Mixed	#cccccc
Aerococcus viridans	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff	Mixed	#cccccc
