TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acinetobacter baumannii	Keratinized_gingiva	#17cbe4	6	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Actinomyces georgiae	Subgingival_plaque	#ffac5c	2	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	8	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces israelii	Subgingival_plaque	#ffac5c	4	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	8	7.0	2.0	#c4e88a	#10c6e6	Mixed	#cccccc
Actinomyces meyeri	Subgingival_plaque	#ffac5c	8	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	8	7.0	2.0	#c4e88a	#10c6e6	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	12	7.0	2.0	#c4e88a	#10c6e6	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	9	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	8	7.0	2.0	#c4e88a	#10c6e6	Mixed	#cccccc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	8	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	8	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	10	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	4	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	4	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	8	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	10	6.0	1.0	#96fca7	#386df9	Mixed	#cccccc
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Actinomyces viscosus	Attached	#622ffe	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	7	4.0	0.0	#38e7d7	#8000ff	Mixed	#cccccc
Aggregatibacter aphrophilus	Saliva	#cbe486	12	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Aggregatibacter segnis	Supragingival_plaque	#ff8646	8	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	12	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Alistipes putredinis	Stool	#e8cb72	4	4.0	0.0	#38e7d7	#8000ff	Mixed	#cccccc
Alistipes shahii	Stool	#e8cb72	2	4.0	0.0	#38e7d7	#8000ff	Mixed	#cccccc
Alloprevotella rava	Saliva	#cbe486	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Atopobium parvulum	Saliva	#cbe486	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Atopobium rimae	Subgingival_plaque	#ffac5c	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Atopobium sp. BS2	Saliva	#cbe486	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
