	source	target	weight	edge_sample	edge_color
0	Afipia broomeae	Acidovorax delafieldii	1.0	Anterior_nares	#8000ff
1	Alistipes sp. AL-1	Alistipes onderdonkii	0.872125666755	Stool	#e8cb72
2	Alkaliflexus imshenetskii	Actinotignum schaalii	1.0	Mixed	#cccccc
3	Anaerofustis stercorihominis	Anaerococcus lactolyticus	0.816912624662	Mixed	#cccccc
4	Anaeroglobus geminatus	Actinomyces graevenitzii	0.941302667208	Mixed	#cccccc
5	Bacteroides sp. 3_1_23	Bacteroides sp. 3_1_13	0.803735362877	Stool	#e8cb72
6	Bacteroides sp. D2	Bacteroidaceae bacterium MS4	0.935480847372	Stool	#e8cb72
7	Bacteroides sp. D22	Bacteroides sp. 3_1_13	0.901209820576	Stool	#e8cb72
8	Bacteroides sp. D22	Bacteroides sp. 3_1_23	0.803899273174	Stool	#e8cb72
9	Bifidobacterium angulatum	Acidaminococcus sp. BV3L6	0.821224985168	Stool	#e8cb72
10	Bifidobacterium ruminantium	Bifidobacterium kashiwanohense	0.916488053883	Mixed	#cccccc
11	Blautia obeum	Bacteroides sp. 14(A)	0.840249030314	Stool	#e8cb72
12	Blautia producta	Blautia obeum	0.881042826017	Stool	#e8cb72
13	Bradyrhizobium sp. BTAi1	Acidovorax delafieldii	1.0	Mixed	#cccccc
14	Bradyrhizobium sp. BTAi1	Afipia broomeae	1.0	Mixed	#cccccc
15	Candidatus Hamiltonella defensa	Bacteroides sp. 14(A)	0.860773466311	Stool	#e8cb72
16	Candidatus Hamiltonella defensa	Blautia obeum	0.973268427291	Stool	#e8cb72
17	Candidatus Hamiltonella defensa	Blautia producta	0.878283309086	Stool	#e8cb72
18	Candidatus Saccharibacteria oral taxon TM7x	Actinomyces graevenitzii	0.893170089618	Mixed	#cccccc
19	Candidatus Saccharibacteria oral taxon TM7x	Anaeroglobus geminatus	0.838826904887	Mixed	#cccccc
20	Catabacter hongkongensis	Anaerococcus lactolyticus	0.876513567619	Mixed	#cccccc
21	Catabacter hongkongensis	Anaerofustis stercorihominis	0.826956385605	Stool	#e8cb72
22	Clostridiales bacterium VE202-18	Bacteroides sp. 14(A)	0.857764990667	Stool	#e8cb72
23	Clostridiales bacterium VE202-18	Blautia obeum	0.971585758486	Stool	#e8cb72
24	Clostridiales bacterium VE202-18	Blautia producta	0.877580178868	Stool	#e8cb72
25	Clostridiales bacterium VE202-18	Candidatus Hamiltonella defensa	0.997517319049	Stool	#e8cb72
26	[Clostridium] innocuum	Anaerococcus vaginalis	0.939324146687	Mixed	#cccccc
27	[Clostridium] litorale	Acetobacterium dehalogenans	1.0	Stool	#e8cb72
28	Clostridium sartagoforme	Clostridiaceae bacterium MS3	0.936908633682	Stool	#e8cb72
29	[Clostridium] sordellii	Clostridium dakarense	0.90438611426	Stool	#e8cb72
30	Clostridium sp. 7_2_43FAA	Clostridiaceae bacterium MS3	0.918615815379	Stool	#e8cb72
31	Clostridium sp. 7_2_43FAA	Clostridium sartagoforme	0.980475344505	Stool	#e8cb72
32	Clostridium sp. ASBs410	Clostridium perfringens	0.893928633874	Mixed	#cccccc
33	Clostridium sp. C8	Clostridiaceae bacterium MS3	0.936908633682	Stool	#e8cb72
34	Clostridium sp. C8	Clostridium sartagoforme	1.0	Stool	#e8cb72
35	Clostridium sp. C8	Clostridium sp. 7_2_43FAA	0.980475344505	Stool	#e8cb72
36	Clostridium sp. JCC	Clostridium dakarense	0.962684774222	Mixed	#cccccc
37	Clostridium sp. JCC	[Clostridium] sordellii	0.873095290862	Mixed	#cccccc
38	Clostridium sp. JCD	Anaerostipes caccae	0.894681326531	Stool	#e8cb72
39	Collinsella sp. 4_8_47FAA	Collinsella aerofaciens	0.965378128955	Stool	#e8cb72
40	Collinsella stercoris	Actinomyces graevenitzii	0.954354748744	Mixed	#cccccc
41	Collinsella stercoris	Anaeroglobus geminatus	0.908715646853	Mixed	#cccccc
42	Collinsella stercoris	Candidatus Saccharibacteria oral taxon TM7x	0.851490323816	Mixed	#cccccc
43	Collinsella tanakaei	Bacteroides gallinarum	0.948348234263	Stool	#e8cb72
44	Coprococcus eutactus	Clostridium sp. 1_1_41A1FAA	0.862053285845	Stool	#e8cb72
45	Corynebacterium matruchotii	Bacteroides gallinarum	0.869459172895	Mixed	#cccccc
46	Desulfotomaculum nigrificans	Clostridiaceae bacterium MS3	0.936908633682	Stool	#e8cb72
47	Desulfotomaculum nigrificans	Clostridium sartagoforme	1.0	Stool	#e8cb72
48	Desulfotomaculum nigrificans	Clostridium sp. 7_2_43FAA	0.980475344505	Stool	#e8cb72
49	Desulfotomaculum nigrificans	Clostridium sp. C8	1.0	Stool	#e8cb72
50	Desulfovibrio sp. 6_1_46AFAA	Alloprevotella rava	0.891935097001	Mixed	#cccccc
51	Dialister invisus	Actinomyces graevenitzii	0.895639580099	Mixed	#cccccc
52	Dialister invisus	Anaeroglobus geminatus	0.964323205562	Mixed	#cccccc
53	Dialister invisus	Collinsella stercoris	0.867004350503	Stool	#e8cb72
54	Dialister micraerophilus	Campylobacter hominis	0.983196780973	Mixed	#cccccc
55	Dialister succinatiphilus	Anaerovibrio lipolyticus	0.999986144248	Stool	#e8cb72
56	Dorea sp. D27	Anaerococcus lactolyticus	0.815355425121	Mixed	#cccccc
57	Dysgonomonas capnocytophagoides	Actinomyces graevenitzii	0.996777688377	Mixed	#cccccc
58	Dysgonomonas capnocytophagoides	Anaeroglobus geminatus	0.935688257112	Mixed	#cccccc
59	Dysgonomonas capnocytophagoides	Candidatus Saccharibacteria oral taxon TM7x	0.890179247917	Mixed	#cccccc
60	Dysgonomonas capnocytophagoides	Collinsella stercoris	0.944276848003	Stool	#e8cb72
61	Dysgonomonas capnocytophagoides	Dialister invisus	0.892610006924	Stool	#e8cb72
62	Dysgonomonas mossii	Bifidobacterium animalis	0.853429448589	Stool	#e8cb72
63	Eggerthella sp. 1_3_56FAA	Campylobacter hominis	0.80035559313	Mixed	#cccccc
64	Eggerthella sp. 1_3_56FAA	Dialister micraerophilus	0.815355425121	Mixed	#cccccc
65	Eggerthella sp. HGA1	Eggerthella lenta	0.806941529344	Stool	#e8cb72
66	Eggerthella sp. YY7918	Anaerococcus vaginalis	0.948507674522	Mixed	#cccccc
67	Eggerthella sp. YY7918	[Clostridium] innocuum	0.88829886256	Stool	#e8cb72
68	Enterobacter cloacae	Citrobacter koseri	1.0	Mixed	#cccccc
69	Enterobacteriaceae bacterium strain FGI 57	Buttiauxella agrestis	1.0	Stool	#e8cb72
70	Enterococcus columbae	Eggerthia catenaformis	1.0	Mixed	#cccccc
71	Enterococcus dispar	Anaerostipes caccae	0.847897501451	Stool	#e8cb72
72	Enterococcus dispar	Clostridium sp. JCD	0.948595470416	Stool	#e8cb72
73	Enterococcus faecalis	Anaerococcus lactolyticus	0.940291309606	Mixed	#cccccc
74	Enterococcus faecalis	Catabacter hongkongensis	0.839982098298	Mixed	#cccccc
