	source	target	weight	edge_sample	edge_color
0	Actinomyces naeslundii	Actinobaculum sp. oral taxon 183	0.985036562622	Mixed	#cccccc
1	Actinomyces naeslundii	Actinomyces massiliensis	0.925820099773	Supragingival_plaque	#ff8646
2	Alistipes putredinis	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
3	Anaerococcus hydrogenalis	Actinobaculum sp. oral taxon 183	0.985036562622	Mixed	#cccccc
4	Anaerococcus hydrogenalis	Actinomyces massiliensis	0.925820099773	Mixed	#cccccc
5	Anaerococcus hydrogenalis	Actinomyces naeslundii	1.0	Mixed	#cccccc
6	Anaerococcus prevotii	Actinobaculum massiliense	0.943879807449	Mixed	#cccccc
7	Anaerococcus prevotii	Actinomyces massiliensis	0.98692754244	Mixed	#cccccc
8	Anaerococcus prevotii	Actinomyces neuii	0.943879807449	Mixed	#cccccc
9	Anaerococcus prevotii	Actinomyces sp. oral taxon 448	0.943879807449	Mixed	#cccccc
10	Anaerococcus senegalensis	Actinomyces sp. oral taxon 448	1.0	Mixed	#cccccc
11	Anaerococcus senegalensis	Anaerococcus prevotii	0.943879807449	L_Retroauricular_crease	#34e4d9
12	Arcanobacterium haemolyticum	Anaerococcus prevotii	0.943879807449	Mixed	#cccccc
13	Atopobium vaginae	Anaerococcus prevotii	0.943879807449	Mixed	#cccccc
14	Atopobium vaginae	Arcanobacterium haemolyticum	1.0	Mixed	#cccccc
15	Bacteroides coprocola	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
16	Bacteroides coprocola	Alistipes putredinis	1.0	Stool	#e8cb72
17	Bacteroides dorei	Actinobaculum massiliense	1.0	Mixed	#cccccc
18	Bacteroides dorei	Anaerococcus prevotii	0.943879807449	Mixed	#cccccc
19	Bacteroides gallinarum	Actinomyces sp. oral taxon 448	1.0	Mixed	#cccccc
20	Bacteroides gallinarum	Anaerococcus prevotii	0.943879807449	Mixed	#cccccc
21	Bacteroides massiliensis	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
22	Bacteroides massiliensis	Alistipes putredinis	1.0	Stool	#e8cb72
23	Bacteroides massiliensis	Bacteroides coprocola	1.0	Stool	#e8cb72
24	Bacteroides plebeius	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
25	Bacteroides plebeius	Alistipes putredinis	1.0	Stool	#e8cb72
26	Bacteroides plebeius	Bacteroides coprocola	1.0	Stool	#e8cb72
27	Bacteroides plebeius	Bacteroides massiliensis	1.0	Stool	#e8cb72
28	Bacteroides sp. 2_2_4	Anaerococcus prevotii	0.943879807449	Mixed	#cccccc
29	Bacteroides sp. 2_2_4	Bacteroides dorei	1.0	Stool	#e8cb72
30	Bacteroides stercoris	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
31	Bacteroides stercoris	Alistipes putredinis	1.0	Stool	#e8cb72
32	Bacteroides stercoris	Bacteroides coprocola	1.0	Stool	#e8cb72
33	Bacteroides stercoris	Bacteroides massiliensis	1.0	Stool	#e8cb72
34	Bacteroides stercoris	Bacteroides plebeius	1.0	Stool	#e8cb72
35	Bacteroides uniformis	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
