TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinomyces naeslundii	Supragingival_plaque	#ff8646	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Alistipes putredinis	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Anaerococcus hydrogenalis	L_Retroauricular_crease	#34e4d9	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Anaerococcus prevotii	L_Retroauricular_crease	#34e4d9	2	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Anaerococcus senegalensis	L_Retroauricular_crease	#34e4d9	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Arcanobacterium haemolyticum	R_Retroauricular_crease	#acf59a	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Atopobium vaginae	Posterior_fornix	#8efeac	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Bacteroides coprocola	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides dorei	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Bacteroides gallinarum	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Bacteroides massiliensis	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides plebeius	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides sp. 2_2_4	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Bacteroides stercoris	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bacteroides uniformis	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Barnesiella intestinihominis	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Bradyrhizobium japonicum	Vaginal_introitus	#ff0000	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Burkholderiales bacterium 1_1_47	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Campylobacter hominis	R_Retroauricular_crease	#acf59a	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Comamonas testosteroni	Mid_vagina	#52f5cb	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Corynebacterium aurimucosum	Anterior_nares	#8000ff	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Corynebacterium diphtheriae	Anterior_nares	#8000ff	1	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	4	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Corynebacterium pyruviciproducens	R_Retroauricular_crease	#acf59a	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Cupriavidus basilensis	Mid_vagina	#52f5cb	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Dialister invisus	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Dialister micraerophilus	Saliva	#cbe486	5	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
[Eubacterium] rectale	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Faecalibacterium prausnitzii	Stool	#e8cb72	3	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
Finegoldia magna	R_Retroauricular_crease	#acf59a	6	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Herbaspirillum chlorophenolicum	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
