source	target	weight	edge_sample	edge_color
Actinomyces	Abiotrophia	12.0	Mixed	#cccccc
Actinomyces	Acidovorax	15.0	Mixed	#cccccc
Actinomyces	Acinetobacter	15.0	Mixed	#cccccc
Actinomyces	Actinobaculum	23.0	Mixed	#cccccc
Akkermansia	Acidovorax	5.0	Mixed	#cccccc
Alcaligenes	Actinobaculum	3.0	Mixed	#cccccc
Alicycliphilus	Aerococcus	2.0	Mixed	#cccccc
Alistipes	Achromobacter	1.0	Mixed	#cccccc
Alistipes	Acidovorax	16.0	Mixed	#cccccc
Alistipes	Actinobaculum	10.0	Mixed	#cccccc
Alistipes	Actinomyces	18.0	Mixed	#cccccc
Alistipes	Akkermansia	11.0	Stool	#ded579
Alloiococcus	Abiotrophia	2.0	Mixed	#cccccc
Alloiococcus	Alistipes	1.0	Mixed	#cccccc
Alloprevotella	Abiotrophia	8.0	Mixed	#cccccc
Alloprevotella	Acidovorax	11.0	Mixed	#cccccc
Alloprevotella	Acinetobacter	5.0	Mixed	#cccccc
Alloprevotella	Actinobaculum	7.0	Mixed	#cccccc
Alloprevotella	Actinomyces	16.0	Mixed	#cccccc
Alloprevotella	Alicycliphilus	2.0	Mixed	#cccccc
Alloprevotella	Alistipes	12.0	Mixed	#cccccc
Alysiella	Alicycliphilus	2.0	Mixed	#cccccc
Anaerococcus	Achromobacter	2.0	L_Retroauricular_crease	#1fd3e1
Anaerococcus	Acidovorax	12.0	L_Retroauricular_crease	#1fd3e1
Anaerococcus	Acinetobacter	10.0	Mixed	#cccccc
Anaerococcus	Actinobaculum	10.0	Mixed	#cccccc
Anaerococcus	Actinomyces	31.0	Mixed	#cccccc
Anaerococcus	Actinoplanes	3.0	Mixed	#cccccc
Anaerococcus	Afipia	2.0	Mixed	#cccccc
Anaerococcus	Agrobacterium	5.0	Mixed	#cccccc
Anaerococcus	Alistipes	18.0	Mixed	#cccccc
Anaerococcus	Alloprevotella	10.0	Mixed	#cccccc
Anaerotruncus	Alistipes	1.0	Stool	#ded579
Anoxybacillus	Anaerococcus	1.0	Mixed	#cccccc
Aquabacterium	Acidovorax	4.0	L_Retroauricular_crease	#1fd3e1
Aquabacterium	Akkermansia	3.0	Mixed	#cccccc
Aquabacterium	Alloprevotella	4.0	Mixed	#cccccc
Arcanobacterium	Achromobacter	2.0	L_Retroauricular_crease	#1fd3e1
Arcanobacterium	Acidovorax	9.0	L_Retroauricular_crease	#1fd3e1
Arcanobacterium	Actinobaculum	8.0	Mixed	#cccccc
Arcanobacterium	Actinomyces	21.0	Mixed	#cccccc
Arcanobacterium	Akkermansia	2.0	Mixed	#cccccc
Arcanobacterium	Alistipes	8.0	Mixed	#cccccc
Arcanobacterium	Alkaliphilus	1.0	Mixed	#cccccc
Arcanobacterium	Alloiococcus	1.0	Mixed	#cccccc
Arcanobacterium	Alloprevotella	4.0	Mixed	#cccccc
Arcanobacterium	Alysiella	5.0	Mixed	#cccccc
Arcanobacterium	Anaerococcus	22.0	L_Retroauricular_crease	#1fd3e1
Arcanobacterium	Anoxybacillus	1.0	Mixed	#cccccc
Arcobacter	Aquabacterium	1.0	L_Retroauricular_crease	#1fd3e1
Arthrobacter	Acidovorax	3.0	Mixed	#cccccc
Arthrobacter	Acinetobacter	3.0	Anterior_nares	#8000ff
Arthrobacter	Actinomyces	13.0	Mixed	#cccccc
Arthrobacter	Actinoplanes	6.0	Anterior_nares	#8000ff
Arthrobacter	Aerococcus	9.0	Mixed	#cccccc
Arthrobacter	Agrobacterium	2.0	Mixed	#cccccc
Arthrobacter	Alistipes	7.0	Mixed	#cccccc
Arthrobacter	Anaerococcus	19.0	Mixed	#cccccc
Arthrobacter	Anoxybacillus	1.0	Anterior_nares	#8000ff
Arthrobacter	Aquabacterium	3.0	Mixed	#cccccc
Arthrobacter	Arcanobacterium	14.0	Mixed	#cccccc
Asticcacaulis	Alloiococcus	1.0	Mixed	#cccccc
Atopobacter	Amphibacillus	2.0	Anterior_nares	#8000ff
Atopobacter	Anaerococcus	1.0	Mixed	#cccccc
Atopobium	Abiotrophia	4.0	Mixed	#cccccc
Atopobium	Acidovorax	6.0	Mixed	#cccccc
Atopobium	Acinetobacter	4.0	Mixed	#cccccc
Atopobium	Actinomyces	16.0	Mixed	#cccccc
Atopobium	Aerococcus	5.0	Posterior_fornix	#7effb5
Atopobium	Agrobacterium	2.0	Mixed	#cccccc
Atopobium	Alistipes	7.0	Mixed	#cccccc
Atopobium	Anaerococcus	10.0	Mixed	#cccccc
Atopobium	Anaerostipes	1.0	Mixed	#cccccc
Atopobium	Aquabacterium	4.0	Mixed	#cccccc
Atopobium	Arcanobacterium	13.0	Mixed	#cccccc
Atopobium	Atopobacter	1.0	Mixed	#cccccc
Aureimonas	Acidovorax	2.0	Mixed	#cccccc
Aureimonas	Acinetobacter	2.0	Mixed	#cccccc
Aureimonas	Actinobaculum	2.0	Mixed	#cccccc
Aureimonas	Aerococcus	3.0	Mixed	#cccccc
Aureimonas	Akkermansia	1.0	Mixed	#cccccc
Aureimonas	Alloprevotella	1.0	Mixed	#cccccc
Aureimonas	Anaerococcus	3.0	Mixed	#cccccc
Aureimonas	Aquabacterium	1.0	Mixed	#cccccc
Aureimonas	Arthrobacter	2.0	Mixed	#cccccc
Aureimonas	Atopobium	5.0	Mixed	#cccccc
Azohydromonas	Arthrobacter	2.0	Anterior_nares	#8000ff
Azonexus	Alicycliphilus	1.0	Mixed	#cccccc
Azospira	Aeromonas	1.0	Mixed	#cccccc
Bacillus	Achromobacter	2.0	Mixed	#cccccc
Bacillus	Acidovorax	15.0	Mixed	#cccccc
Bacillus	Acinetobacter	13.0	Anterior_nares	#8000ff
Bacillus	Actinobaculum	21.0	Mixed	#cccccc
Bacillus	Actinomyces	38.0	Mixed	#cccccc
Bacillus	Actinoplanes	2.0	Anterior_nares	#8000ff
Bacillus	Afipia	2.0	Anterior_nares	#8000ff
Bacillus	Alistipes	19.0	Mixed	#cccccc
Bacillus	Alloprevotella	11.0	Mixed	#cccccc
Bacillus	Altererythrobacter	2.0	Mixed	#cccccc
Bacillus	Anaerococcus	31.0	Mixed	#cccccc
Bacillus	Anaerostipes	1.0	Mixed	#cccccc
Bacillus	Anoxybacillus	1.0	Anterior_nares	#8000ff
Bacillus	Arcanobacterium	32.0	Mixed	#cccccc
Bacillus	Arthrobacter	15.0	Anterior_nares	#8000ff
Bacillus	Atopobium	16.0	Mixed	#cccccc
Bacillus	Aureimonas	6.0	Mixed	#cccccc
Bacteroides	Acidovorax	15.0	Mixed	#cccccc
Bacteroides	Actinobaculum	12.0	Mixed	#cccccc
Bacteroides	Actinomyces	16.0	Mixed	#cccccc
Bacteroides	Alistipes	30.0	Stool	#ded579
Bacteroides	Alloprevotella	8.0	Mixed	#cccccc
Bacteroides	Anaerococcus	16.0	Mixed	#cccccc
Bacteroides	Arcanobacterium	10.0	Mixed	#cccccc
Bacteroides	Atopobium	6.0	Mixed	#cccccc
Bacteroides	Bacillus	16.0	Mixed	#cccccc
Barnesiella	Alistipes	12.0	Stool	#ded579
Barnesiella	Anaerococcus	7.0	Mixed	#cccccc
Barnesiella	Atopobium	4.0	Mixed	#cccccc
Barnesiella	Bacillus	6.0	Mixed	#cccccc
Belnapia	Alysiella	1.0	Mixed	#cccccc
Belnapia	Aquincola	1.0	Mixed	#cccccc
Belnapia	Arthrobacter	1.0	Mixed	#cccccc
Bergeyella	Achromobacter	1.0	Mixed	#cccccc
Bergeyella	Acidovorax	2.0	Mixed	#cccccc
Bergeyella	Actinomyces	5.0	Mixed	#cccccc
Bergeyella	Alistipes	6.0	Mixed	#cccccc
Bergeyella	Alloiococcus	1.0	Mixed	#cccccc
Bergeyella	Alloprevotella	3.0	Mixed	#cccccc
Bergeyella	Anaerococcus	6.0	Mixed	#cccccc
Bergeyella	Arcanobacterium	9.0	Mixed	#cccccc
Bergeyella	Arthrobacter	5.0	Mixed	#cccccc
Bergeyella	Atopobium	5.0	Mixed	#cccccc
Bergeyella	Bacillus	10.0	Mixed	#cccccc
Bifidobacterium	Actinobaculum	13.0	Mixed	#cccccc
Bifidobacterium	Actinomyces	20.0	Mixed	#cccccc
Bifidobacterium	Akkermansia	6.0	Mixed	#cccccc
Bifidobacterium	Alistipes	15.0	Mixed	#cccccc
Bifidobacterium	Anaerococcus	14.0	Mixed	#cccccc
Bifidobacterium	Arcanobacterium	13.0	Mixed	#cccccc
Bifidobacterium	Atopobium	12.0	Posterior_fornix	#7effb5
Bifidobacterium	Bacillus	26.0	Mixed	#cccccc
Bifidobacterium	Bacteroides	15.0	Mixed	#cccccc
Bifidobacterium	Bergeyella	3.0	Mixed	#cccccc
Blastococcus	Actinomyces	3.0	Mixed	#cccccc
Blastococcus	Alysiella	1.0	Mixed	#cccccc
Blastococcus	Anaerococcus	2.0	Mixed	#cccccc
Blastococcus	Arcanobacterium	3.0	Mixed	#cccccc
Blastococcus	Arthrobacter	1.0	Anterior_nares	#8000ff
Blastococcus	Bacillus	4.0	Anterior_nares	#8000ff
Blastococcus	Bifidobacterium	2.0	Mixed	#cccccc
Blautia	Actinomyces	11.0	Mixed	#cccccc
Blautia	Akkermansia	3.0	Stool	#ded579
Blautia	Alistipes	10.0	Stool	#ded579
Blautia	Alloprevotella	5.0	Mixed	#cccccc
Blautia	Anaerococcus	11.0	Mixed	#cccccc
Blautia	Arthrobacter	3.0	Mixed	#cccccc
Blautia	Atopobium	6.0	Mixed	#cccccc
Blautia	Bacillus	12.0	Mixed	#cccccc
Blautia	Bacteroides	19.0	Stool	#ded579
Blautia	Bifidobacterium	11.0	Mixed	#cccccc
Bosea	Akkermansia	2.0	Mixed	#cccccc
Bosea	Alloprevotella	2.0	Mixed	#cccccc
Bosea	Aquabacterium	2.0	Mixed	#cccccc
Bosea	Arthrobacter	2.0	Mixed	#cccccc
Bosea	Atopobium	3.0	Mixed	#cccccc
Bosea	Aureimonas	2.0	R_Retroauricular_crease	#9efaa2
Brachybacterium	Achromobacter	2.0	Mixed	#cccccc
Brachybacterium	Actinomyces	8.0	Mixed	#cccccc
Brachybacterium	Alistipes	3.0	Mixed	#cccccc
Brachybacterium	Anaerococcus	9.0	Mixed	#cccccc
Brachybacterium	Arcanobacterium	11.0	Mixed	#cccccc
Brachybacterium	Bacillus	16.0	Mixed	#cccccc
Brachybacterium	Bergeyella	3.0	R_Retroauricular_crease	#9efaa2
Brachybacterium	Bifidobacterium	8.0	Mixed	#cccccc
Brachybacterium	Blastococcus	3.0	Mixed	#cccccc
Brachybacterium	Blautia	2.0	Mixed	#cccccc
Brachymonas	Alicycliphilus	3.0	Mixed	#cccccc
Bradyrhizobium	Actinomyces	14.0	Mixed	#cccccc
Bradyrhizobium	Actinoplanes	2.0	Anterior_nares	#8000ff
Bradyrhizobium	Afipia	5.0	Anterior_nares	#8000ff
Bradyrhizobium	Agrobacterium	6.0	Mixed	#cccccc
Bradyrhizobium	Alistipes	4.0	Mixed	#cccccc
Bradyrhizobium	Anaerococcus	14.0	Mixed	#cccccc
Bradyrhizobium	Anaerotruncus	1.0	Mixed	#cccccc
Bradyrhizobium	Arcanobacterium	4.0	Mixed	#cccccc
Bradyrhizobium	Bacillus	10.0	Anterior_nares	#8000ff
Bradyrhizobium	Bergeyella	2.0	Mixed	#cccccc
Bradyrhizobium	Bifidobacterium	9.0	Mixed	#cccccc
Bradyrhizobium	Blastococcus	2.0	Anterior_nares	#8000ff
Bradyrhizobium	Blautia	2.0	Mixed	#cccccc
Bradyrhizobium	Brachybacterium	6.0	Mixed	#cccccc
Brevibacterium	Abiotrophia	5.0	Mixed	#cccccc
Brevibacterium	Acidovorax	7.0	Mixed	#cccccc
Brevibacterium	Acinetobacter	6.0	Anterior_nares	#8000ff
Brevibacterium	Actinobaculum	4.0	Mixed	#cccccc
Brevibacterium	Aerococcus	5.0	Mixed	#cccccc
Brevibacterium	Akkermansia	4.0	Mixed	#cccccc
