source	target	weight	edge_sample	edge_color
Acinetobacter	Acidithiobacillus	5.0	Mixed	#cccccc
Actinobacillus	Abiotrophia	21.0	Mixed	#cccccc
Actinobaculum	Abiotrophia	6.0	Mixed	#cccccc
Actinomyces	Abiotrophia	34.0	Mixed	#cccccc
Actinomyces	Acidovorax	11.0	Mixed	#cccccc
Actinomyces	Acinetobacter	15.0	Mixed	#cccccc
Actinomyces	Actinobacillus	53.0	Mixed	#cccccc
Aggregatibacter	Abiotrophia	50.0	Mixed	#cccccc
Aggregatibacter	Acidovorax	11.0	Mixed	#cccccc
Aggregatibacter	Acinetobacter	11.0	Mixed	#cccccc
Aggregatibacter	Actinobacillus	59.0	Mixed	#cccccc
Aggregatibacter	Actinomyces	74.0	Mixed	#cccccc
Alistipes	Actinomyces	18.0	Mixed	#cccccc
Alloiococcus	Alicycliphilus	2.0	Mixed	#cccccc
Alloprevotella	Abiotrophia	17.0	Mixed	#cccccc
Alloprevotella	Actinobacillus	15.0	Mixed	#cccccc
Alloprevotella	Actinomyces	26.0	Mixed	#cccccc
Alloprevotella	Aggregatibacter	28.0	Mixed	#cccccc
Alloprevotella	Akkermansia	5.0	Mixed	#cccccc
Anaeroglobus	Abiotrophia	12.0	Mixed	#cccccc
Anaeroglobus	Actinobacillus	14.0	Mixed	#cccccc
Anaeroglobus	Actinobaculum	3.0	Subgingival_plaque	#feb562
Anaeroglobus	Actinomyces	25.0	Mixed	#cccccc
Anaeroglobus	Aggregatibacter	29.0	Mixed	#cccccc
Anaeroglobus	Alicycliphilus	5.0	Mixed	#cccccc
Anaeroglobus	Alistipes	5.0	Mixed	#cccccc
Anaeroglobus	Alloprevotella	16.0	Mixed	#cccccc
Aquabacterium	Alloiococcus	1.0	Mixed	#cccccc
Aromatoleum	Aquabacterium	1.0	Mixed	#cccccc
Atopobium	Abiotrophia	13.0	Mixed	#cccccc
Atopobium	Actinobacillus	35.0	Mixed	#cccccc
Atopobium	Actinomyces	63.0	Mixed	#cccccc
Atopobium	Aggregatibacter	45.0	Mixed	#cccccc
Atopobium	Alistipes	10.0	Mixed	#cccccc
Atopobium	Alloprevotella	15.0	Mixed	#cccccc
Atopobium	Anaeroglobus	23.0	Mixed	#cccccc
Avibacterium	Aggregatibacter	3.0	Mixed	#cccccc
Avibacterium	Alkaliphilus	2.0	Mixed	#cccccc
