source	target	weight	edge_sample	edge_color
Acidaminococcus	Acetivibrio	25.0	Stool	#ded579
Acidovorax	Abiotrophia	4.0	Mixed	#cccccc
Acinetobacter	Acidovorax	11.0	Mixed	#cccccc
Actinobacillus	Abiotrophia	20.0	Mixed	#cccccc
Actinobaculum	Abiotrophia	20.0	Mixed	#cccccc
Actinomyces	Abiotrophia	59.0	Mixed	#cccccc
Actinomyces	Acidovorax	19.0	Mixed	#cccccc
Actinomyces	Acinetobacter	9.0	Mixed	#cccccc
Actinomyces	Actinobacillus	34.0	Mixed	#cccccc
Actinomyces	Actinobaculum	45.0	Mixed	#cccccc
Actinoplanes	Acetobacter	1.0	Mixed	#cccccc
Actinoplanes	Acidovorax	2.0	Mixed	#cccccc
Adlercreutzia	Acetivibrio	39.0	Stool	#ded579
Adlercreutzia	Actinobacillus	2.0	Mixed	#cccccc
Aeromonas	Adlercreutzia	1.0	Mixed	#cccccc
Afipia	Aeromonas	1.0	Mixed	#cccccc
Aggregatibacter	Abiotrophia	35.0	Mixed	#cccccc
Aggregatibacter	Actinobacillus	21.0	Mixed	#cccccc
Aggregatibacter	Actinobaculum	36.0	Mixed	#cccccc
Aggregatibacter	Actinomyces	69.0	Mixed	#cccccc
Aggregatibacter	Adlercreutzia	2.0	Mixed	#cccccc
Aggregatibacter	Aeromonas	2.0	Mixed	#cccccc
Akkermansia	Acetivibrio	23.0	Stool	#ded579
Akkermansia	Acidaminococcus	7.0	Stool	#ded579
Alicycliphilus	Acetobacter	1.0	L_Retroauricular_crease	#1fd3e1
Alicycliphilus	Acidithiobacillus	2.0	Mixed	#cccccc
Alicycliphilus	Actinobacillus	2.0	Mixed	#cccccc
Alicycliphilus	Actinomyces	2.0	Mixed	#cccccc
Alishewanella	Aliihoeflea	1.0	R_Retroauricular_crease	#9efaa2
Alistipes	Acetivibrio	83.0	Stool	#ded579
Alistipes	Acidaminococcus	25.0	Stool	#ded579
Alistipes	Actinobacillus	3.0	Mixed	#cccccc
Alistipes	Adlercreutzia	31.0	Stool	#ded579
Alistipes	Aggregatibacter	2.0	Mixed	#cccccc
Alistipes	Akkermansia	22.0	Stool	#ded579
Alistipes	Algoriphagus	1.0	Mixed	#cccccc
Alkaliphilus	Actinobacillus	5.0	Mixed	#cccccc
Alkaliphilus	Actinomyces	5.0	Mixed	#cccccc
Alkaliphilus	Aeromonas	1.0	Mixed	#cccccc
Alkaliphilus	Aggregatibacter	1.0	Mixed	#cccccc
Alkaliphilus	Alistipes	2.0	Mixed	#cccccc
Alloprevotella	Abiotrophia	10.0	Mixed	#cccccc
Alloprevotella	Actinobacillus	13.0	Mixed	#cccccc
Alloprevotella	Actinomyces	54.0	Mixed	#cccccc
Alloprevotella	Aggregatibacter	16.0	Mixed	#cccccc
Alloprevotella	Alloiococcus	1.0	Mixed	#cccccc
Altererythrobacter	Actinoplanes	1.0	Mixed	#cccccc
Anaerococcus	Acidovorax	11.0	L_Retroauricular_crease	#1fd3e1
Anaerococcus	Acinetobacter	10.0	Mixed	#cccccc
Anaerococcus	Aeromonas	2.0	L_Retroauricular_crease	#1fd3e1
Anaerococcus	Agrobacterium	1.0	Mixed	#cccccc
Anaerococcus	Alistipes	1.0	Mixed	#cccccc
Anaerococcus	Alloiococcus	2.0	Mixed	#cccccc
Anaerofustis	Acetivibrio	4.0	Stool	#ded579
Anaeroglobus	Acidovorax	1.0	Mixed	#cccccc
Anaerostipes	Acetivibrio	26.0	Stool	#ded579
Anaerostipes	Acidaminococcus	11.0	Stool	#ded579
Anaerostipes	Actinomyces	3.0	Mixed	#cccccc
Anaerostipes	Adlercreutzia	16.0	Stool	#ded579
Anaerostipes	Alistipes	18.0	Stool	#ded579
Anaerostipes	Anaerococcus	1.0	Mixed	#cccccc
Anaerotruncus	Acetivibrio	37.0	Stool	#ded579
Anaerotruncus	Acidaminococcus	3.0	Stool	#ded579
Anaerotruncus	Adlercreutzia	29.0	Stool	#ded579
Anaerotruncus	Akkermansia	22.0	Stool	#ded579
Anaerotruncus	Alistipes	40.0	Stool	#ded579
Anaerotruncus	Anaerofustis	6.0	Stool	#ded579
Anaerotruncus	Anaerostipes	24.0	Stool	#ded579
Aquabacterium	Actinobacillus	5.0	Mixed	#cccccc
Aquabacterium	Aeromonas	3.0	L_Retroauricular_crease	#1fd3e1
Aquabacterium	Alkaliphilus	5.0	Mixed	#cccccc
Arcanobacterium	Abiotrophia	11.0	Mixed	#cccccc
Arcanobacterium	Actinobacillus	3.0	Mixed	#cccccc
Arcanobacterium	Actinobaculum	12.0	Mixed	#cccccc
Arcanobacterium	Actinomyces	15.0	Mixed	#cccccc
Arcanobacterium	Adlercreutzia	1.0	Mixed	#cccccc
Arcanobacterium	Aeromonas	8.0	L_Retroauricular_crease	#1fd3e1
Arcanobacterium	Aggregatibacter	8.0	Mixed	#cccccc
Arcanobacterium	Alistipes	2.0	Mixed	#cccccc
Arcanobacterium	Alkaliphilus	4.0	Mixed	#cccccc
Arcanobacterium	Alloprevotella	5.0	Mixed	#cccccc
Arcanobacterium	Anaerococcus	13.0	L_Retroauricular_crease	#1fd3e1
Arcanobacterium	Anaerostipes	3.0	Mixed	#cccccc
Arcanobacterium	Aquabacterium	6.0	L_Retroauricular_crease	#1fd3e1
Arcobacter	Acidovorax	3.0	L_Retroauricular_crease	#1fd3e1
Aromatoleum	Acidithiobacillus	1.0	Buccal_mucosa	#425ffa
Arthrobacter	Actinoplanes	6.0	Anterior_nares	#8000ff
Arthrobacter	Anaerococcus	5.0	Mixed	#cccccc
