source	target	weight	edge_sample	edge_color
Acidovorax	Abiotrophia	2.0	Mixed	#cccccc
Acinetobacter	Acidovorax	3.0	Mixed	#cccccc
Bacillus	Alloprevotella	3.0	Mixed	#cccccc
Bacteroides	Alistipes	5.0	Stool	#ded579
Barnesiella	Alistipes	7.0	Stool	#ded579
Blautia	Acidovorax	2.0	Mixed	#cccccc
Blautia	Alistipes	3.0	Stool	#ded579
Brevibacterium	Aerococcus	2.0	Mixed	#cccccc
Butyricicoccus	Akkermansia	1.0	Stool	#ded579
Campylobacter	Acinetobacter	4.0	Mixed	#cccccc
Campylobacter	Anaerococcus	12.0	Mixed	#cccccc
Chryseobacterium	Alcaligenes	1.0	Mixed	#cccccc
Chryseobacterium	Alloiococcus	1.0	Mixed	#cccccc
Chryseobacterium	Bergeyella	1.0	R_Retroauricular_crease	#9efaa2
Clostridium	Bosea	2.0	Mixed	#cccccc
Collinsella	Alloiococcus	1.0	Mixed	#cccccc
Collinsella	Bacteroides	2.0	Stool	#ded579
Collinsella	Butyricicoccus	1.0	Stool	#ded579
Collinsella	Catenibacterium	2.0	Stool	#ded579
Coprococcus	Alistipes	6.0	Stool	#ded579
Coprococcus	Bacteroides	3.0	Stool	#ded579
Coprococcus	Blautia	2.0	Stool	#ded579
Corynebacterium	Abiotrophia	1.0	Mixed	#cccccc
Corynebacterium	Collinsella	1.0	Mixed	#cccccc
Cupriavidus	Comamonas	2.0	Mixed	#cccccc
Curvibacter	Bradyrhizobium	2.0	Anterior_nares	#8000ff
Dialister	Actinomyces	2.0	Mixed	#cccccc
Dialister	Chlamydia	8.0	Mixed	#cccccc
Dorea	Bacteroides	4.0	Stool	#ded579
Dorea	Blautia	2.0	Stool	#ded579
Dorea	Butyricicoccus	1.0	Stool	#ded579
Dorea	Butyricimonas	2.0	Stool	#ded579
Dorea	Catenibacterium	2.0	Stool	#ded579
Eikenella	Corynebacterium	1.0	Mixed	#cccccc
Elizabethkingia	Achromobacter	1.0	Mixed	#cccccc
Elizabethkingia	Caulobacter	1.0	Anterior_nares	#8000ff
Empedobacter	Brochothrix	1.0	Mixed	#cccccc
Enhydrobacter	Abiotrophia	1.0	Mixed	#cccccc
Enhydrobacter	Acidovorax	1.0	Mixed	#cccccc
Enhydrobacter	Caulobacter	1.0	Mixed	#cccccc
Enhydrobacter	Dorea	1.0	Mixed	#cccccc
Enterobacter	Alcaligenes	1.0	Anterior_nares	#8000ff
Enterobacter	Alloiococcus	1.0	Anterior_nares	#8000ff
Enterobacter	Bergeyella	1.0	Mixed	#cccccc
Enterobacter	Bradyrhizobium	2.0	Anterior_nares	#8000ff
Enterobacter	Brochothrix	1.0	Mixed	#cccccc
Enterococcus	Arcanobacterium	1.0	Mixed	#cccccc
