TAXA	Abiotrophia	Acetivibrio	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Afipia	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Alysiella	Anaeroglobus	Aquabacterium	Arcanobacterium	Atopobium	Avibacterium	Bacillus	Bacteroides	Barnesiella	Basfia	Bergeyella	Bifidobacterium	Blautia	Brevibacterium	Bulleidia	Burkholderia	Butyricimonas	Butyrivibrio	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Clostridium	Collinsella	Conchiformibius	Coprobacillus	Coprococcus	Corynebacterium	Cryptobacterium	Deinococcus	Dermabacter	Dialister	Dolosigranulum	Eggerthia	Eikenella	Escherichia	Eubacterium	Faecalibacterium	Ferrimonas	Filifactor	Flavobacterium	Fusobacterium	Gallibacterium	Gardnerella	Gemella	Gordonia	Granulicatella	Haemophilus	Hallella	Helicobacter	Intestinimonas	Isoptericola	Johnsonella	Kineosphaera	Kingella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Listeria	Mannheimia	Megamonas	Megasphaera	Mitsuokella	Mogibacterium	Moraxella	Morococcus	Mycoplasma	Necropsobacter	Neisseria	Novosphingobium	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Ottowia	Parabacteroides	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Providencia	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Psychrobacter	Riemerella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Sanguibacter	Scardovia	Selenomonas	Shuttleworthia	Simonsiella	Slackia	Solobacterium	Sporosarcina	Staphylococcus	Stenotrophomonas	Stomatobaculum	Streptococcus	Subdoligranulum	Sutterella	Tannerella	Thauera	Treponema	Trueperella	Tyzzerella	Variovorax	Veillonella	Vibrio	Vitreoscilla	Xanthomonas	Xylanimonas
Abiotrophia	0.0	0.0	0.0	0.0	0.0	36.0	60.0	0.0	37.0	0.0	0.0	23.0	0.0	0.0	0.0	13.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	51.0	47.0	0.0	27.0	0.0	11.0	20.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	12.0	0.0	0.0	59.0	0.0	39.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	19.0	32.0	0.0	0.0	0.0	0.0	10.0	0.0	45.0	0.0	25.0	17.0	0.0	0.0	0.0	43.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	46.0	36.0	55.0	45.0	12.0	16.0	0.0	39.0	53.0	37.0	54.0	0.0	0.0	5.0	0.0	0.0	14.0	0.0	43.0	0.0	0.0	0.0	10.0	30.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	8.0	40.0	0.0	0.0	16.0	0.0	22.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0
Acetivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	17.0	0.0	0.0	0.0	2.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	36.0	0.0	0.0	0.0	10.0	0.0	60.0	0.0	29.0	0.0	0.0	20.0	0.0	0.0	0.0	12.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	61.0	62.0	0.0	35.0	0.0	26.0	12.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	15.0	0.0	0.0	69.0	0.0	22.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	10.0	0.0	53.0	0.0	22.0	39.0	0.0	0.0	11.0	29.0	45.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	45.0	37.0	51.0	47.0	0.0	10.0	0.0	28.0	49.0	37.0	58.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	52.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	13.0	33.0	0.0	0.0	20.0	0.0	18.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0
Actinomyces	60.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	40.0	0.0	0.0	41.0	0.0	15.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	71.0	79.0	0.0	62.0	0.0	35.0	20.0	10.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	35.0	0.0	14.0	89.0	0.0	58.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	23.0	56.0	0.0	0.0	0.0	0.0	28.0	0.0	102.0	0.0	44.0	56.0	0.0	0.0	0.0	63.0	75.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	15.0	10.0	0.0	99.0	0.0	0.0	17.0	18.0	0.0	22.0	0.0	89.0	66.0	69.0	106.0	10.0	35.0	0.0	48.0	102.0	68.0	113.0	0.0	0.0	16.0	0.0	0.0	12.0	0.0	75.0	0.0	0.0	8.0	0.0	63.0	0.0	0.0	0.0	26.0	0.0	10.0	0.0	23.0	62.0	0.0	0.0	33.0	0.0	55.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0
Afipia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	37.0	0.0	0.0	0.0	0.0	29.0	40.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	50.0	31.0	0.0	36.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	18.0	0.0	0.0	53.0	0.0	25.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	13.0	33.0	0.0	0.0	0.0	0.0	11.0	0.0	46.0	0.0	23.0	26.0	0.0	0.0	10.0	36.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	53.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	31.0	34.0	64.0	51.0	15.0	19.0	0.0	42.0	48.0	30.0	52.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	32.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	11.0	0.0	3.0	0.0	7.0	40.0	0.0	0.0	12.0	0.0	25.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
Akkermansia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
