source	target	weight	edge_sample	edge_color
Actinobaculum	Abiotrophia	36.0	Mixed	#cccccc
Actinobaculum	Actinobacillus	10.0	Mixed	#cccccc
Actinomyces	Abiotrophia	60.0	Mixed	#cccccc
Actinomyces	Actinobaculum	60.0	Mixed	#cccccc
Aggregatibacter	Abiotrophia	37.0	Mixed	#cccccc
Aggregatibacter	Actinobaculum	29.0	Mixed	#cccccc
Aggregatibacter	Actinomyces	40.0	Mixed	#cccccc
Alloprevotella	Abiotrophia	23.0	Mixed	#cccccc
Alloprevotella	Actinobaculum	20.0	Mixed	#cccccc
Alloprevotella	Actinomyces	41.0	Mixed	#cccccc
Alloprevotella	Aggregatibacter	31.0	Mixed	#cccccc
Anaeroglobus	Actinomyces	15.0	Mixed	#cccccc
Arcanobacterium	Abiotrophia	13.0	Mixed	#cccccc
Arcanobacterium	Actinobaculum	12.0	Mixed	#cccccc
Atopobium	Abiotrophia	12.0	Mixed	#cccccc
Atopobium	Actinobaculum	21.0	Mixed	#cccccc
Atopobium	Actinomyces	15.0	Mixed	#cccccc
Atopobium	Alloprevotella	13.0	Mixed	#cccccc
Atopobium	Anaeroglobus	9.0	Mixed	#cccccc
Atopobium	Arcanobacterium	6.0	Mixed	#cccccc
Bacteroides	Acetivibrio	2.0	Stool	#ded579
Barnesiella	Bacillus	2.0	Mixed	#cccccc
Bergeyella	Avibacterium	2.0	Mixed	#cccccc
Bergeyella	Basfia	2.0	Mixed	#cccccc
Blautia	Alistipes	2.0	Stool	#ded579
Blautia	Atopobium	2.0	Mixed	#cccccc
Burkholderia	Acidovorax	6.0	Mixed	#cccccc
Burkholderia	Aquabacterium	1.0	Mixed	#cccccc
Burkholderia	Bergeyella	4.0	Mixed	#cccccc
Butyricimonas	Acetivibrio	1.0	Stool	#ded579
Butyrivibrio	Akkermansia	1.0	Stool	#ded579
Campylobacter	Abiotrophia	48.0	Mixed	#cccccc
Campylobacter	Actinobaculum	35.0	Mixed	#cccccc
Campylobacter	Actinomyces	82.0	Mixed	#cccccc
Campylobacter	Aggregatibacter	44.0	Mixed	#cccccc
Campylobacter	Alloprevotella	34.0	Mixed	#cccccc
Capnocytophaga	Abiotrophia	51.0	Mixed	#cccccc
Capnocytophaga	Actinobaculum	61.0	Mixed	#cccccc
Capnocytophaga	Actinomyces	71.0	Mixed	#cccccc
Capnocytophaga	Aggregatibacter	50.0	Mixed	#cccccc
Capnocytophaga	Alloprevotella	44.0	Mixed	#cccccc
Capnocytophaga	Anaeroglobus	14.0	Mixed	#cccccc
Capnocytophaga	Arcanobacterium	11.0	Mixed	#cccccc
Capnocytophaga	Atopobium	12.0	Mixed	#cccccc
Capnocytophaga	Bergeyella	6.0	Mixed	#cccccc
Capnocytophaga	Campylobacter	124.0	Mixed	#cccccc
Cardiobacterium	Abiotrophia	47.0	Mixed	#cccccc
Cardiobacterium	Actinobacillus	10.0	Mixed	#cccccc
Cardiobacterium	Actinobaculum	62.0	Subgingival_plaque	#feb562
Cardiobacterium	Actinomyces	79.0	Mixed	#cccccc
Cardiobacterium	Aggregatibacter	31.0	Mixed	#cccccc
Cardiobacterium	Alloprevotella	37.0	Mixed	#cccccc
Cardiobacterium	Anaeroglobus	12.0	Subgingival_plaque	#feb562
Cardiobacterium	Atopobium	18.0	Mixed	#cccccc
Cardiobacterium	Campylobacter	84.0	Mixed	#cccccc
Cardiobacterium	Capnocytophaga	104.0	Mixed	#cccccc
Carnobacterium	Alloprevotella	4.0	Mixed	#cccccc
Catonella	Abiotrophia	27.0	Mixed	#cccccc
Catonella	Actinobaculum	35.0	Subgingival_plaque	#feb562
Catonella	Actinomyces	62.0	Mixed	#cccccc
Catonella	Aggregatibacter	36.0	Mixed	#cccccc
Catonella	Alistipes	6.0	Mixed	#cccccc
Catonella	Alloprevotella	33.0	Mixed	#cccccc
Catonella	Anaeroglobus	16.0	Subgingival_plaque	#feb562
Catonella	Atopobium	15.0	Mixed	#cccccc
Catonella	Barnesiella	6.0	Mixed	#cccccc
Catonella	Blautia	4.0	Mixed	#cccccc
Catonella	Campylobacter	25.0	Mixed	#cccccc
Catonella	Capnocytophaga	48.0	Mixed	#cccccc
Catonella	Cardiobacterium	37.0	Subgingival_plaque	#feb562
Cellulomonas	Brevibacterium	2.0	Mixed	#cccccc
Centipeda	Abiotrophia	11.0	Mixed	#cccccc
Centipeda	Actinobaculum	26.0	Subgingival_plaque	#feb562
Centipeda	Actinomyces	35.0	Mixed	#cccccc
Centipeda	Aggregatibacter	11.0	Mixed	#cccccc
Centipeda	Alistipes	8.0	Mixed	#cccccc
Centipeda	Alloprevotella	16.0	Mixed	#cccccc
Centipeda	Anaeroglobus	10.0	Subgingival_plaque	#feb562
Centipeda	Atopobium	17.0	Mixed	#cccccc
Centipeda	Campylobacter	12.0	Mixed	#cccccc
Centipeda	Capnocytophaga	23.0	Mixed	#cccccc
Centipeda	Cardiobacterium	28.0	Subgingival_plaque	#feb562
Centipeda	Catonella	34.0	Subgingival_plaque	#feb562
Chryseobacterium	Abiotrophia	20.0	Mixed	#cccccc
Chryseobacterium	Actinobacillus	21.0	Mixed	#cccccc
Chryseobacterium	Actinobaculum	12.0	Mixed	#cccccc
Chryseobacterium	Actinomyces	20.0	Mixed	#cccccc
Chryseobacterium	Campylobacter	28.0	Mixed	#cccccc
Chryseobacterium	Capnocytophaga	39.0	Mixed	#cccccc
Chryseobacterium	Cardiobacterium	29.0	Mixed	#cccccc
Clostridium	Actinomyces	10.0	Mixed	#cccccc
Clostridium	Alistipes	3.0	Stool	#ded579
Clostridium	Alloprevotella	7.0	Mixed	#cccccc
Clostridium	Atopobium	6.0	Mixed	#cccccc
Clostridium	Bacteroides	3.0	Stool	#ded579
Clostridium	Blautia	2.0	Stool	#ded579
Clostridium	Butyrivibrio	1.0	Stool	#ded579
Clostridium	Carnobacterium	2.0	Mixed	#cccccc
Clostridium	Centipeda	7.0	Mixed	#cccccc
Collinsella	Akkermansia	1.0	Stool	#ded579
Collinsella	Bacteroides	1.0	Stool	#ded579
Conchiformibius	Bergeyella	4.0	R_Retroauricular_crease	#9efaa2
Coprococcus	Butyrivibrio	1.0	Stool	#ded579
Corynebacterium	Abiotrophia	41.0	Mixed	#cccccc
Corynebacterium	Actinobacillus	20.0	Mixed	#cccccc
Corynebacterium	Actinobaculum	24.0	Mixed	#cccccc
Corynebacterium	Actinomyces	75.0	Mixed	#cccccc
Corynebacterium	Aggregatibacter	25.0	Mixed	#cccccc
Corynebacterium	Alloprevotella	18.0	Mixed	#cccccc
Corynebacterium	Campylobacter	68.0	Mixed	#cccccc
Corynebacterium	Capnocytophaga	68.0	Supragingival_plaque	#ff8e4a
Corynebacterium	Cardiobacterium	70.0	Mixed	#cccccc
Corynebacterium	Catonella	19.0	Mixed	#cccccc
Corynebacterium	Centipeda	10.0	Mixed	#cccccc
Corynebacterium	Chryseobacterium	39.0	Mixed	#cccccc
Cryptobacterium	Anaeroglobus	6.0	Mixed	#cccccc
Cryptobacterium	Atopobium	14.0	Mixed	#cccccc
Cryptobacterium	Catonella	8.0	Mixed	#cccccc
Deinococcus	Bifidobacterium	1.0	Mixed	#cccccc
Dialister	Abiotrophia	12.0	Mixed	#cccccc
Dialister	Actinobaculum	15.0	Mixed	#cccccc
Dialister	Actinomyces	35.0	Mixed	#cccccc
Dialister	Aggregatibacter	18.0	Mixed	#cccccc
Dialister	Alloprevotella	23.0	Mixed	#cccccc
Dialister	Arcanobacterium	7.0	Mixed	#cccccc
Dialister	Campylobacter	21.0	Mixed	#cccccc
Dialister	Capnocytophaga	21.0	Mixed	#cccccc
Dialister	Cardiobacterium	15.0	Mixed	#cccccc
Dialister	Catonella	27.0	Mixed	#cccccc
