source	target	weight	edge_sample	edge_color
Bdellovibrio	Archangium	1.0	Anterior_nares	#8000ff
Brachymonas	Arcobacter	0.863980476719	Mixed	#cccccc
Brevibacillus	Anaeroglobus	1.0	Mixed	#cccccc
Demetria	Cystobacter	1.0	Anterior_nares	#8000ff
Desulfovibrio	Brachymonas	0.863980476719	Mixed	#cccccc
Erwinia	Advenella	0.814577667391	Anterior_nares	#8000ff
Flavihumibacter	Atopococcus	1.0	Anterior_nares	#8000ff
Gemmata	Actinomycetospora	1.0	Mixed	#cccccc
Gluconobacter	Acetobacter	1.0	Mixed	#cccccc
Hydrogenobacter	Brachymonas	0.814577667391	Anterior_nares	#8000ff
Ilumatobacter	Cystobacter	1.0	Anterior_nares	#8000ff
Ilumatobacter	Demetria	1.0	Anterior_nares	#8000ff
Kandleria	Actinomycetospora	1.0	Mixed	#cccccc
Kandleria	Gemmata	1.0	Mixed	#cccccc
Kineosporia	Acetobacter	1.0	Mixed	#cccccc
Kineosporia	Gluconobacter	1.0	Mixed	#cccccc
Mangrovibacter	Faecalitalea	1.0	Mixed	#cccccc
Mastigocladus	Fischerella	0.814577667391	Anterior_nares	#8000ff
Methylosarcina	Jonquetella	1.0	Mixed	#cccccc
Micavibrio	Dactylosporangium	1.0	Anterior_nares	#8000ff
Microlunatus	Leadbetterella	1.0	Mixed	#cccccc
Micromonospora	Flaviflexus	1.0	Anterior_nares	#8000ff
Moritella	Atopococcus	1.0	Mixed	#cccccc
Moritella	Flavihumibacter	1.0	Mixed	#cccccc
Niveispirillum	Advenella	0.814577667391	Anterior_nares	#8000ff
Oceanobacillus	Methylobacillus	0.814577667391	Mixed	#cccccc
Olivibacter	Atopococcus	1.0	Anterior_nares	#8000ff
Olivibacter	Flavihumibacter	1.0	Anterior_nares	#8000ff
Olivibacter	Moritella	1.0	Mixed	#cccccc
Paenirhodobacter	Advenella	1.0	Anterior_nares	#8000ff
Paenirhodobacter	Erwinia	0.814577667391	Anterior_nares	#8000ff
Paenirhodobacter	Niveispirillum	0.814577667391	Anterior_nares	#8000ff
Pandoraea	Leptonema	1.0	Mixed	#cccccc
Phenylobacterium	Nitrosospira	1.0	Mixed	#cccccc
Pleomorphomonas	Arcobacter	0.863980476719	Mixed	#cccccc
Pleomorphomonas	Brachymonas	1.0	Anterior_nares	#8000ff
Pleomorphomonas	Desulfovibrio	0.863980476719	Mixed	#cccccc
Pleomorphomonas	Hydrogenobacter	0.814577667391	Anterior_nares	#8000ff
Propionimicrobium	Kurthia	0.814577667391	Mixed	#cccccc
Proteiniclasticum	Acidithiobacillus	1.0	Mixed	#cccccc
Pseudarthrobacter	Acetobacter	1.0	Mixed	#cccccc
Pseudarthrobacter	Gluconobacter	1.0	Mixed	#cccccc
Pseudarthrobacter	Kineosporia	1.0	Anterior_nares	#8000ff
Pseudorhodoferax	Leptonema	1.0	Mixed	#cccccc
Pseudorhodoferax	Pandoraea	1.0	Mixed	#cccccc
Psychromonas	Pseudoalteromonas	0.814577667391	Mixed	#cccccc
Riemerella	Atopococcus	0.814577667391	Mixed	#cccccc
Riemerella	Flavihumibacter	0.814577667391	Mixed	#cccccc
Riemerella	Komagataeibacter	0.863980476719	Mixed	#cccccc
Riemerella	Moritella	0.814577667391	Mixed	#cccccc
Riemerella	Olivibacter	0.814577667391	Mixed	#cccccc
Rubritepida	Flaviflexus	1.0	Anterior_nares	#8000ff
Rubritepida	Micromonospora	1.0	Anterior_nares	#8000ff
Runella	Actinomycetospora	1.0	Mixed	#cccccc
Runella	Gemmata	1.0	Mixed	#cccccc
Runella	Kandleria	1.0	Mixed	#cccccc
Sanguibacteroides	Lachnospira	1.0	Stool	#ded579
Serinicoccus	Advenella	0.814577667391	Mixed	#cccccc
Serinicoccus	Paenirhodobacter	0.814577667391	Mixed	#cccccc
Solimonas	Leisingera	0.814577667391	Mixed	#cccccc
Solimonas	Oscillatoria	0.863980476719	Mixed	#cccccc
Sorangium	Cystobacter	1.0	Anterior_nares	#8000ff
Sorangium	Demetria	1.0	Anterior_nares	#8000ff
Sorangium	Ilumatobacter	1.0	Anterior_nares	#8000ff
Sporosarcina	Chelatococcus	1.0	Anterior_nares	#8000ff
Tessaracoccus	Actinomycetospora	1.0	Mixed	#cccccc
Tessaracoccus	Gemmata	1.0	Mixed	#cccccc
Tessaracoccus	Kandleria	1.0	Mixed	#cccccc
Tessaracoccus	Runella	1.0	Mixed	#cccccc
Tetrasphaera	Siccibacter	0.814577667391	Mixed	#cccccc
Thauera	Anaerofustis	1.0	Mixed	#cccccc
Thermaerobacter	Azonexus	1.0	Mixed	#cccccc
Thermanaerovibrio	Caldimonas	1.0	Mixed	#cccccc
Thermoactinomyces	Advenella	1.0	Mixed	#cccccc
Thermoactinomyces	Erwinia	0.814577667391	Mixed	#cccccc
Thermoactinomyces	Niveispirillum	0.814577667391	Mixed	#cccccc
Thermoactinomyces	Paenirhodobacter	1.0	Mixed	#cccccc
Thermoactinomyces	Serinicoccus	0.814577667391	R_Retroauricular_crease	#9efaa2
Thermobispora	Caldilinea	1.0	Anterior_nares	#8000ff
Thermocrinis	Arcobacter	0.863980476719	Mixed	#cccccc
Thermocrinis	Brachymonas	1.0	Mixed	#cccccc
Thermocrinis	Desulfovibrio	0.863980476719	Mixed	#cccccc
Thermocrinis	Hydrogenobacter	0.814577667391	Mixed	#cccccc
Thermocrinis	Pleomorphomonas	1.0	Mixed	#cccccc
Thermomonas	Phyllobacterium	1.0	Anterior_nares	#8000ff
Timonella	Cystobacter	1.0	Anterior_nares	#8000ff
Timonella	Demetria	1.0	Anterior_nares	#8000ff
Timonella	Ilumatobacter	1.0	Anterior_nares	#8000ff
Timonella	Sorangium	1.0	Anterior_nares	#8000ff
Tuberibacillus	Actinobacillus	1.0	Mixed	#cccccc
Ureaplasma	Fischerella	0.814577667391	Mixed	#cccccc
Ureaplasma	Mastigocladus	1.0	Mixed	#cccccc
Weeksella	Atopococcus	0.814577667391	Mixed	#cccccc
