TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Adlercreutzia	Stool	#ded579	2	22.0	0.0	#ff0000	#8000ff
Anaerotruncus	Stool	#ded579	2	22.0	0.0	#ff0000	#8000ff
Anoxybacillus	Anterior_nares	#8000ff	3	22.0	1.0	#ff0000	#6a22fe
Azonexus	Buccal_mucosa	#425ffa	2	21.0	4.0	#ff2613	#2884f6
Azospira	Anterior_nares	#8000ff	1	4.0	8.0	#2489f5	#30e1da
Bilophila	Stool	#ded579	2	22.0	0.0	#ff0000	#8000ff
Bordetella	L_Retroauricular_crease	#1fd3e1	2	21.0	4.0	#ff2613	#2884f6
Celeribacter	Buccal_mucosa	#425ffa	2	21.0	4.0	#ff2613	#2884f6
Chloracidobacterium	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Chloroflexus	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Citrobacter	Anterior_nares	#8000ff	1	4.0	8.0	#2489f5	#30e1da
Cupriavidus	Mid_vagina	#3febd5	5	18.0	11.0	#ff8c49	#72febb
Diaphorobacter	Buccal_mucosa	#425ffa	15	9.0	5.0	#50f4cc	#11a0f1
Dietzia	L_Retroauricular_crease	#1fd3e1	1	14.0	16.0	#c4e88a	#e2d176
Echinicola	Buccal_mucosa	#425ffa	2	1.0	15.0	#6a22fe	#cce385
Enhydrobacter	R_Retroauricular_crease	#9efaa2	1	20.0	9.0	#ff4a26	#46efd1
Erysipelatoclostridium	Stool	#ded579	2	22.0	0.0	#ff0000	#8000ff
Hymenobacter	Anterior_nares	#8000ff	1	14.0	16.0	#c4e88a	#e2d176
Isosphaera	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Janibacter	Anterior_nares	#8000ff	3	6.0	6.0	#0ac0e8	#04b9ea
Mangrovimonas	Buccal_mucosa	#425ffa	2	1.0	15.0	#6a22fe	#cce385
Meiothermus	R_Retroauricular_crease	#9efaa2	1	11.0	12.0	#7effb5	#8bfeae
Microbacterium	R_Retroauricular_crease	#9efaa2	2	3.0	14.0	#3c68f9	#b6f193
Micrococcus	L_Retroauricular_crease	#1fd3e1	1	14.0	16.0	#c4e88a	#e2d176
Nakamurella	L_Retroauricular_crease	#1fd3e1	1	8.0	19.0	#38e7d7	#ff8646
Ornithinibacillus	Buccal_mucosa	#425ffa	1	8.0	19.0	#38e7d7	#ff8646
Ornithobacterium	Buccal_mucosa	#425ffa	2	2.0	17.0	#5247fc	#f9bb66
Paenisporosarcina	Buccal_mucosa	#425ffa	2	2.0	17.0	#5247fc	#f9bb66
Pediococcus	L_Retroauricular_crease	#1fd3e1	1	8.0	19.0	#38e7d7	#ff8646
Phascolarctobacterium	Stool	#ded579	4	19.0	13.0	#ff6b37	#a0faa1
Polaromonas	Anterior_nares	#8000ff	2	7.0	22.0	#22d6e0	#ff2613
Polynucleobacter	R_Retroauricular_crease	#9efaa2	2	14.0	18.0	#c4e88a	#ffa256
Pragia	Buccal_mucosa	#425ffa	2	14.0	18.0	#c4e88a	#ffa256
Pseudoflavonifractor	Stool	#ded579	2	22.0	0.0	#ff0000	#8000ff
Pseudoglutamicibacter	Anterior_nares	#8000ff	1	20.0	9.0	#ff4a26	#46efd1
Pseudopedobacter	Anterior_nares	#8000ff	1	20.0	9.0	#ff4a26	#46efd1
Pseudothermotoga	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Rhodococcus	R_Retroauricular_crease	#9efaa2	2	2.0	17.0	#5247fc	#f9bb66
Rickettsiella	Anterior_nares	#8000ff	1	14.0	16.0	#c4e88a	#e2d176
Roseiflexus	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Saccharicrinis	Buccal_mucosa	#425ffa	2	2.0	17.0	#5247fc	#f9bb66
Serratia	Saliva	#beec8e	4	16.0	10.0	#f2c26b	#5df9c7
Skermanella	Anterior_nares	#8000ff	1	13.0	20.0	#acf59a	#ff6835
Sphingobacterium	L_Retroauricular_crease	#1fd3e1	3	2.0	17.0	#5247fc	#f9bb66
Streptobacillus	Attached	#622ffe	6	15.0	23.0	#dbd87b	#ff0000
Streptomyces	R_Retroauricular_crease	#9efaa2	2	3.0	21.0	#3c68f9	#ff4724
Sulfurihydrogenibium	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Sulfurospirillum	Anterior_nares	#8000ff	2	10.0	7.0	#66fcc2	#1acfe3
Synechococcus	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Thermocrinis	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Thermodesulfovibrio	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Thermomicrobium	Buccal_mucosa	#425ffa	1	11.0	12.0	#7effb5	#8bfeae
Turicella	Anterior_nares	#8000ff	3	6.0	6.0	#0ac0e8	#04b9ea
Vitreoscilla	Tongue_dorsum	#ff3219	1	17.0	3.0	#ffa759	#3e65fa
Weeksella	Buccal_mucosa	#425ffa	8	3.0	2.0	#3c68f9	#5444fd
Weissella	Anterior_nares	#8000ff	1	12.0	20.0	#96fca7	#ff6835
Zhouia	Buccal_mucosa	#425ffa	2	2.0	17.0	#5247fc	#f9bb66
Acetivibrio	Stool	#ded579	3	22.0	0.0	#ff0000	#8000ff
Acetobacter	L_Retroauricular_crease	#1fd3e1	2	22.0	1.0	#ff0000	#6a22fe
Alcaligenes	Anterior_nares	#8000ff	3	21.0	4.0	#ff2613	#2884f6
Aromatoleum	Buccal_mucosa	#425ffa	1	4.0	8.0	#2489f5	#30e1da
Caldilinea	Anterior_nares	#8000ff	1	11.0	12.0	#7effb5	#8bfeae
Burkholderia	Posterior_fornix	#7effb5	7	18.0	11.0	#ff8c49	#72febb
Alicycliphilus	L_Retroauricular_crease	#1fd3e1	18	9.0	5.0	#50f4cc	#11a0f1
Devosia	L_Retroauricular_crease	#1fd3e1	1	14.0	16.0	#c4e88a	#e2d176
Dehalobacter	Stool	#ded579	2	1.0	15.0	#6a22fe	#cce385
Azospirillum	Anterior_nares	#8000ff	1	20.0	9.0	#ff4a26	#46efd1
Alloiococcus	Anterior_nares	#8000ff	4	6.0	6.0	#0ac0e8	#04b9ea
Brevibacterium	Anterior_nares	#8000ff	4	6.0	6.0	#0ac0e8	#04b9ea
Crocosphaera	L_Retroauricular_crease	#1fd3e1	2	3.0	14.0	#3c68f9	#b6f193
Macrococcus	L_Retroauricular_crease	#1fd3e1	1	8.0	19.0	#38e7d7	#ff8646
Epilithonimonas	R_Retroauricular_crease	#9efaa2	2	2.0	17.0	#5247fc	#f9bb66
Catenibacterium	Stool	#ded579	3	19.0	13.0	#ff6b37	#a0faa1
Novosphingobium	Mid_vagina	#3febd5	2	7.0	22.0	#22d6e0	#ff2613
Gilliamella	R_Retroauricular_crease	#9efaa2	2	14.0	18.0	#c4e88a	#ffa256
Brochothrix	Saliva	#beec8e	5	5.0	10.0	#0ea5ef	#5df9c7
Leuconostoc	L_Retroauricular_crease	#1fd3e1	3	5.0	10.0	#0ea5ef	#5df9c7
Marinococcus	Buccal_mucosa	#425ffa	1	12.0	20.0	#96fca7	#ff6835
Sneathia	L_Retroauricular_crease	#1fd3e1	4	0.0	23.0	#8000ff	#ff0000
Methylobacterium	Anterior_nares	#8000ff	2	3.0	21.0	#3c68f9	#ff4724
Alysiella	Keratinized_gingiva	#01b3ec	3	10.0	7.0	#66fcc2	#1acfe3
Aeromonas	L_Retroauricular_crease	#1fd3e1	1	17.0	3.0	#ffa759	#3e65fa
Acidithiobacillus	Buccal_mucosa	#425ffa	9	3.0	2.0	#3c68f9	#5444fd
