source	target	weight	edge_sample	edge_color
Bergeyella	Alcaligenes	1.0	Mixed	#cccccc
Brochothrix	Alloiococcus	1.0	Mixed	#cccccc
Bulleidia	Arcanobacterium	1.0	Mixed	#cccccc
Caulobacter	Alloiococcus	0.81325006079	Anterior_nares	#8000ff
Caulobacter	Brochothrix	0.81325006079	Mixed	#cccccc
Collinsella	Catenibacterium	0.81325006079	Stool	#ded579
Curvibacter	Alloiococcus	0.81325006079	Anterior_nares	#8000ff
Curvibacter	Brochothrix	0.81325006079	Mixed	#cccccc
Dolosigranulum	Alloiococcus	0.81325006079	Anterior_nares	#8000ff
Dolosigranulum	Brochothrix	0.81325006079	Mixed	#cccccc
Enhydrobacter	Bosea	0.81325006079	R_Retroauricular_crease	#9efaa2
Enterobacter	Alloiococcus	0.81325006079	Anterior_nares	#8000ff
Enterobacter	Brochothrix	0.81325006079	Mixed	#cccccc
Enterobacter	Dolosigranulum	1.0	Anterior_nares	#8000ff
Erysipelatoclostridium	Butyricicoccus	1.0	Stool	#ded579
Granulicatella	Abiotrophia	0.890813328985	Mixed	#cccccc
Hippea	Arcanobacterium	1.0	Mixed	#cccccc
Hippea	Bulleidia	1.0	Mixed	#cccccc
Hungatella	Catenibacterium	0.81325006079	Stool	#ded579
Hungatella	Collinsella	1.0	Stool	#ded579
Klebsiella	Empedobacter	1.0	Anterior_nares	#8000ff
Kocuria	Bosea	1.0	Mixed	#cccccc
Kocuria	Enhydrobacter	0.81325006079	Mixed	#cccccc
Lachnoclostridium	Catenibacterium	0.81325006079	Stool	#ded579
Lachnospira	Arcanobacterium	1.0	Mixed	#cccccc
Lachnospira	Bulleidia	1.0	Mixed	#cccccc
Lachnospira	Hippea	1.0	Mixed	#cccccc
Leuconostoc	Alloiococcus	1.0	Mixed	#cccccc
Leuconostoc	Brochothrix	1.0	Mixed	#cccccc
Leuconostoc	Caulobacter	0.81325006079	Mixed	#cccccc
Leuconostoc	Curvibacter	0.81325006079	Mixed	#cccccc
Leuconostoc	Dolosigranulum	0.81325006079	Mixed	#cccccc
Leuconostoc	Enterobacter	0.81325006079	Mixed	#cccccc
Listeria	Deinococcus	1.0	Mixed	#cccccc
Marvinbryantia	Arcanobacterium	1.0	Mixed	#cccccc
Marvinbryantia	Bulleidia	1.0	Mixed	#cccccc
Marvinbryantia	Hippea	1.0	Mixed	#cccccc
Marvinbryantia	Lachnospira	1.0	Stool	#ded579
Methylobacterium	Exiguobacterium	1.0	Mixed	#cccccc
Micrococcus	Bosea	1.0	Mixed	#cccccc
Micrococcus	Enhydrobacter	0.81325006079	Mixed	#cccccc
Micrococcus	Kocuria	1.0	Mixed	#cccccc
Moraxella	Alloiococcus	1.0	Anterior_nares	#8000ff
Moraxella	Brochothrix	1.0	Mixed	#cccccc
Moraxella	Caulobacter	0.81325006079	Anterior_nares	#8000ff
Moraxella	Curvibacter	0.81325006079	Anterior_nares	#8000ff
Moraxella	Dolosigranulum	0.81325006079	Anterior_nares	#8000ff
Moraxella	Enterobacter	0.81325006079	Anterior_nares	#8000ff
Moraxella	Leuconostoc	1.0	Mixed	#cccccc
Nosocomiicoccus	Chryseobacterium	0.81325006079	Mixed	#cccccc
Odoribacter	Barnesiella	0.855170058241	Stool	#ded579
Oscillibacter	Odoribacter	0.852423778756	Stool	#ded579
Oxalobacter	Catenibacterium	1.0	Stool	#ded579
Oxalobacter	Collinsella	0.81325006079	Stool	#ded579
Oxalobacter	Hungatella	0.81325006079	Stool	#ded579
Oxalobacter	Lachnoclostridium	0.81325006079	Stool	#ded579
Paenibacillus	Enhydrobacter	0.862554346114	R_Retroauricular_crease	#9efaa2
Pantoea	Alloiococcus	1.0	Mixed	#cccccc
Pantoea	Brochothrix	1.0	Mixed	#cccccc
Pantoea	Caulobacter	0.81325006079	Mixed	#cccccc
Pantoea	Curvibacter	0.81325006079	Mixed	#cccccc
Pantoea	Dolosigranulum	0.81325006079	Mixed	#cccccc
Pantoea	Enterobacter	0.81325006079	Mixed	#cccccc
Pantoea	Leuconostoc	1.0	Mixed	#cccccc
Pantoea	Moraxella	1.0	Mixed	#cccccc
Paracoccus	Enhydrobacter	0.862554346114	R_Retroauricular_crease	#9efaa2
Paracoccus	Paenibacillus	1.0	R_Retroauricular_crease	#9efaa2
Parvimonas	Bilophila	0.81325006079	Mixed	#cccccc
Pediococcus	Alcaligenes	1.0	Mixed	#cccccc
Pediococcus	Bergeyella	1.0	Mixed	#cccccc
Pedobacter	Parasutterella	1.0	Mixed	#cccccc
Peptoclostridium	Arcanobacterium	1.0	L_Retroauricular_crease	#1fd3e1
Peptoclostridium	Bulleidia	1.0	Mixed	#cccccc
Peptoclostridium	Hippea	1.0	Mixed	#cccccc
Peptoclostridium	Lachnospira	1.0	Mixed	#cccccc
Peptoclostridium	Marvinbryantia	1.0	Mixed	#cccccc
Phascolarctobacterium	Catenibacterium	1.0	Stool	#ded579
Phascolarctobacterium	Collinsella	0.81325006079	Stool	#ded579
Phascolarctobacterium	Hungatella	0.81325006079	Stool	#ded579
Phascolarctobacterium	Lachnoclostridium	0.81325006079	Stool	#ded579
Phascolarctobacterium	Oxalobacter	1.0	Stool	#ded579
Planomicrobium	Empedobacter	1.0	Anterior_nares	#8000ff
Planomicrobium	Klebsiella	1.0	Anterior_nares	#8000ff
Pseudobutyrivibrio	Arcanobacterium	1.0	Mixed	#cccccc
Pseudobutyrivibrio	Bulleidia	1.0	Mixed	#cccccc
Pseudobutyrivibrio	Hippea	1.0	Mixed	#cccccc
Pseudobutyrivibrio	Lachnospira	1.0	Stool	#ded579
Pseudobutyrivibrio	Marvinbryantia	1.0	Stool	#ded579
Pseudobutyrivibrio	Peptoclostridium	1.0	Mixed	#cccccc
Pseudochrobactrum	Alcaligenes	1.0	Anterior_nares	#8000ff
Pseudochrobactrum	Bergeyella	1.0	Mixed	#cccccc
Pseudochrobactrum	Pediococcus	1.0	Mixed	#cccccc
Pseudoflavonifractor	Holdemania	1.0	Stool	#ded579
Rheinheimera	Empedobacter	1.0	Anterior_nares	#8000ff
Rheinheimera	Klebsiella	1.0	Anterior_nares	#8000ff
Rheinheimera	Planomicrobium	1.0	Anterior_nares	#8000ff
Rickettsiella	Empedobacter	1.0	Anterior_nares	#8000ff
Rickettsiella	Klebsiella	1.0	Anterior_nares	#8000ff
Rickettsiella	Planomicrobium	1.0	Anterior_nares	#8000ff
Rickettsiella	Rheinheimera	1.0	Anterior_nares	#8000ff
Sphingobacterium	Alcaligenes	1.0	Mixed	#cccccc
Sphingobacterium	Bergeyella	1.0	Mixed	#cccccc
Sphingobacterium	Pediococcus	1.0	L_Retroauricular_crease	#1fd3e1
Sphingobacterium	Pseudochrobactrum	1.0	Mixed	#cccccc
Subdoligranulum	Catenibacterium	1.0	Stool	#ded579
Subdoligranulum	Collinsella	0.81325006079	Stool	#ded579
Subdoligranulum	Hungatella	0.81325006079	Stool	#ded579
Subdoligranulum	Lachnoclostridium	0.81325006079	Stool	#ded579
Subdoligranulum	Oxalobacter	1.0	Stool	#ded579
Subdoligranulum	Phascolarctobacterium	1.0	Stool	#ded579
Tannerella	Alloiococcus	0.81325006079	Mixed	#cccccc
Tannerella	Brochothrix	0.81325006079	Mixed	#cccccc
Tannerella	Leuconostoc	0.81325006079	Mixed	#cccccc
Tannerella	Moraxella	0.81325006079	Mixed	#cccccc
Tannerella	Pantoea	0.81325006079	Mixed	#cccccc
Tepidiphilus	Alloiococcus	1.0	Anterior_nares	#8000ff
Tepidiphilus	Brochothrix	1.0	Mixed	#cccccc
Tepidiphilus	Caulobacter	0.81325006079	Anterior_nares	#8000ff
Tepidiphilus	Curvibacter	0.81325006079	Anterior_nares	#8000ff
Tepidiphilus	Dolosigranulum	0.81325006079	Anterior_nares	#8000ff
Tepidiphilus	Enterobacter	0.81325006079	Anterior_nares	#8000ff
Tepidiphilus	Leuconostoc	1.0	Mixed	#cccccc
Tepidiphilus	Moraxella	1.0	Anterior_nares	#8000ff
Tepidiphilus	Pantoea	1.0	Mixed	#cccccc
Tepidiphilus	Tannerella	0.81325006079	Mixed	#cccccc
