TAXA	Afipia	Akkermansia	Aquabacterium	Avibacterium	Bacillus	Basfia	Bifidobacterium	Blautia	Collinsella	Coprococcus	Deinococcus	Dolosigranulum	Escherichia	Faecalibacterium	Gordonia	Intestinimonas	Kineosphaera	Kocuria	Listeria	Megamonas	Novosphingobium	Oscillibacter	Parabacteroides	Parasutterella	Pseudoflavonifractor	Ruminiclostridium	Ruminococcus	Sinorhizobium	Sphingomonas	Stenotrophomonas	Subdoligranulum	Tyzzerella	Verminephrobacter	Vibrio
Afipia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8644081747284209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Avibacterium	0.0	0.0	0.0	0.0	0.0	0.8644081747284172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8149775162056272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999941
Basfia	0.0	0.0	0.0	0.8644081747284172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.9999999999999953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.0	0.0
Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8927506624575232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8149775162056268	0.0	0.0	0.0	0.0	0.0	0.9999999999999819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999819	0.9999999999999819	0.0	0.9999999999999819	0.0	0.0	0.9999999999999819	0.0	0.0	0.0
Coprococcus	0.0	0.8644081747284209	0.0	0.0	0.0	0.0	0.0	0.0	0.8149775162056268	0.0	0.0	0.0	0.0	0.0	0.0	0.8149775162056268	0.0	0.0	0.0	0.0	0.0	0.864408174728421	0.0	0.0	0.8149775162056268	0.8149775162056268	0.0	0.8149775162056268	0.0	0.0	0.8149775162056268	0.0	0.0	0.0
Deinococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.9999999999999953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.0	0.0
Dolosigranulum	0.9999999999999895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8927506624575232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Faecalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8086379131508276	0.0	0.0	0.0	0.9999999999999979	0.0	0.0	0.0	0.0	0.0	0.0	0.0
