TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Anaerostipes	Stool	#ded579	2	0.0	0.0	#8000ff	#8000ff
Bergeyella	R_Retroauricular_crease	#9efaa2	2	6.0	1.0	#ff703a	#425ffa
Gordonibacter	Stool	#ded579	20	5.0	4.0	#ecc86f	#7effb5
Holdemanella	L_Retroauricular_crease	#1fd3e1	2	0.0	0.0	#8000ff	#8000ff
Methylibium	Tongue_dorsum	#ff3219	1	4.0	2.0	#a2f9a0	#01b3ec
Nitrospira	Tongue_dorsum	#ff3219	2	2.0	5.0	#10c6e6	#beec8e
Paracoccus	R_Retroauricular_crease	#9efaa2	2	6.0	1.0	#ff703a	#425ffa
Psychrobacter	Saliva	#beec8e	2	6.0	1.0	#ff703a	#425ffa
Riemerella	Buccal_mucosa	#425ffa	13	1.0	3.0	#386df9	#3febd5
Ruminiclostridium	L_Retroauricular_crease	#1fd3e1	2	7.0	6.0	#ff0000	#feb562
Sanguibacter	Throat	#ff6232	277	3.0	8.0	#5af8c8	#ff0000
Stomatobaculum	Tongue_dorsum	#ff3219	277	3.0	8.0	#5af8c8	#ff0000
Tepidiphilus	Anterior_nares	#8000ff	4	6.0	7.0	#ff703a	#ff6232
Xylanimonas	Throat	#ff6232	276	3.0	8.0	#5af8c8	#ff0000
Alloscardovia	Tongue_dorsum	#ff3219	2	0.0	0.0	#8000ff	#8000ff
Basfia	Buccal_mucosa	#425ffa	3	6.0	1.0	#ff703a	#425ffa
Eggerthella	Stool	#ded579	14	5.0	4.0	#ecc86f	#7effb5
Burkholderia	Posterior_fornix	#7effb5	1	4.0	2.0	#a2f9a0	#01b3ec
Gulbenkiania	L_Retroauricular_crease	#1fd3e1	2	2.0	5.0	#10c6e6	#beec8e
Chryseobacterium	R_Retroauricular_crease	#9efaa2	16	1.0	3.0	#386df9	#3febd5
Helcobacillus	R_Retroauricular_crease	#9efaa2	2	7.0	6.0	#ff0000	#feb562
Isoptericola	Tongue_dorsum	#ff3219	276	3.0	8.0	#5af8c8	#ff0000
Helicobacter	Anterior_nares	#8000ff	6	6.0	7.0	#ff703a	#ff6232
