TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcus intestini	Stool	#ded579	42	1.0	1.0	#01b3ec	#4e4dfc
Acidaminococcus sp. BV3L6	Stool	#ded579	29	1.0	1.0	#01b3ec	#4e4dfc
Acidaminococcus sp. HPA0509	Stool	#ded579	17	1.0	1.0	#01b3ec	#4e4dfc
Acidovorax sp. JHL-9	Anterior_nares	#8000ff	2	0.0	2.0	#8000ff	#1996f3
Acidovorax sp. JS42	Buccal_mucosa	#425ffa	31	0.0	2.0	#8000ff	#1996f3
Acidovorax sp. MR-S7	Buccal_mucosa	#425ffa	9	0.0	2.0	#8000ff	#1996f3
Acidovorax temperans	L_Retroauricular_crease	#1fd3e1	148	0.0	2.0	#8000ff	#1996f3
Acinetobacter baumannii	Keratinized_gingiva	#01b3ec	185	4.0	1.0	#ff0000	#4e4dfc
Acinetobacter bereziniae	R_Retroauricular_crease	#9efaa2	5	4.0	2.0	#ff0000	#1996f3
Acinetobacter guillouiae	R_Retroauricular_crease	#9efaa2	4	4.0	2.0	#ff0000	#1996f3
Acinetobacter indicus	Anterior_nares	#8000ff	1	4.0	2.0	#ff0000	#1996f3
Acinetobacter johnsonii	Anterior_nares	#8000ff	152	4.0	2.0	#ff0000	#1996f3
Acinetobacter junii	Anterior_nares	#8000ff	143	4.0	2.0	#ff0000	#1996f3
Acinetobacter lwoffii	L_Retroauricular_crease	#1fd3e1	25	4.0	2.0	#ff0000	#1996f3
Acinetobacter parvus	R_Retroauricular_crease	#9efaa2	3	4.0	2.0	#ff0000	#1996f3
Acinetobacter pittii	R_Retroauricular_crease	#9efaa2	3	4.0	2.0	#ff0000	#1996f3
Acinetobacter radioresistens	L_Retroauricular_crease	#1fd3e1	7	4.0	2.0	#ff0000	#1996f3
Acinetobacter schindleri	R_Retroauricular_crease	#9efaa2	2	4.0	2.0	#ff0000	#1996f3
Acinetobacter soli	R_Retroauricular_crease	#9efaa2	2	4.0	2.0	#ff0000	#1996f3
Acinetobacter sp. Ag2	R_Retroauricular_crease	#9efaa2	3	4.0	2.0	#ff0000	#1996f3
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	12	4.0	2.0	#ff0000	#1996f3
Acinetobacter sp. P8-3-8	R_Retroauricular_crease	#9efaa2	2	4.0	2.0	#ff0000	#1996f3
