source	target	weight	edge_sample	edge_color
Acinetobacter baumannii	Acidovorax caeni	1.0	Mixed	#cccccc
Acinetobacter junii	Acidovorax ebreus	1.0	Mixed	#cccccc
Acinetobacter junii	Acidovorax sp. JS42	1.0	Mixed	#cccccc
Actinomyces gerencseriae	Actinomyces dentalis	1.0	Subgingival_plaque	#feb562
Actinomyces israelii	Acidovorax caeni	1.0	Mixed	#cccccc
Actinomyces israelii	Acinetobacter baumannii	1.0	Mixed	#cccccc
Actinomyces johnsonii	Actinomyces gerencseriae	1.0	Subgingival_plaque	#feb562
Actinomyces massiliensis	Abiotrophia defectiva	2.0	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces dentalis	1.0	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces gerencseriae	2.0	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces johnsonii	1.0	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces massiliensis	2.0	Supragingival_plaque	#ff8e4a
Actinomyces odontolyticus	Acidovorax caeni	1.0	Mixed	#cccccc
Actinomyces odontolyticus	Acinetobacter baumannii	1.0	Mixed	#cccccc
Actinomyces oris	Actinomyces gerencseriae	2.0	Mixed	#cccccc
Actinomyces oris	Actinomyces naeslundii	2.0	Supragingival_plaque	#ff8e4a
Actinomyces sp. ICM39	Actinomyces neuii	1.0	Mixed	#cccccc
Actinomyces sp. ICM47	Actinomyces neuii	2.0	Mixed	#cccccc
Actinomyces sp. oral taxon 170	Acidovorax caeni	1.0	Mixed	#cccccc
Actinomyces sp. oral taxon 170	Acidovorax temperans	1.0	Mixed	#cccccc
Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff8e4a
Actinomyces sp. S6-Spd3	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
Actinomyces turicensis	Actinomyces sp. SD1	2.0	Mixed	#cccccc
Actinomyces viscosus	Abiotrophia defectiva	3.0	Mixed	#cccccc
Actinomyces viscosus	Actinomyces graevenitzii	3.0	Mixed	#cccccc
Afipia broomeae	Actinomyces gerencseriae	2.0	Mixed	#cccccc
Afipia broomeae	Actinomyces oris	4.0	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Acidovorax caeni	1.0	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Acidovorax temperans	1.0	Mixed	#cccccc
Alcaligenes faecalis	Actinomyces sp. oral taxon 448	1.0	Mixed	#cccccc
Alcaligenes faecalis	Actinomyces sp. S6-Spd3	1.0	Mixed	#cccccc
Alistipes onderdonkii	Alistipes obesi	2.0	Stool	#ded579
Alistipes putredinis	Alistipes finegoldii	3.0	Stool	#ded579
Alistipes senegalensis	Acidovorax ebreus	1.0	Mixed	#cccccc
Alistipes senegalensis	Acidovorax sp. JS42	1.0	Mixed	#cccccc
Alistipes shahii	Actinomyces graevenitzii	5.0	Mixed	#cccccc
Alistipes shahii	Alistipes putredinis	7.0	Stool	#ded579
Alistipes sp. HGB5	Akkermansia muciniphila	2.0	Stool	#ded579
Alistipes sp. HGB5	Alistipes sp. AL-1	1.0	Stool	#ded579
Alistipes timonensis	Akkermansia muciniphila	1.0	Stool	#ded579
Alistipes timonensis	Alistipes onderdonkii	1.0	Stool	#ded579
Alistipes timonensis	Alistipes sp. AL-1	1.0	Stool	#ded579
Alistipes timonensis	Alistipes sp. HGB5	1.0	Stool	#ded579
Alloiococcus otitis	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
Alloiococcus otitis	Actinomyces sp. S6-Spd3	1.0	Mixed	#cccccc
Alloiococcus otitis	Alcaligenes faecalis	1.0	Anterior_nares	#8000ff
Alloprevotella tannerae	Akkermansia muciniphila	2.0	Mixed	#cccccc
Alloprevotella tannerae	Alistipes sp. AL-1	1.0	Mixed	#cccccc
Alloprevotella tannerae	Alistipes sp. HGB5	2.0	Mixed	#cccccc
Alloprevotella tannerae	Alistipes timonensis	1.0	Mixed	#cccccc
Anaerococcus provenciensis	Acidovorax delafieldii	1.0	Mixed	#cccccc
Anaerococcus provenciensis	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
Anaerococcus provenciensis	Actinomyces sp. S6-Spd3	1.0	Mixed	#cccccc
Anaerococcus provenciensis	Alcaligenes faecalis	1.0	Mixed	#cccccc
Anaerococcus provenciensis	Alloiococcus otitis	1.0	Mixed	#cccccc
Atopobium parvulum	Actinomyces neuii	2.0	Mixed	#cccccc
Atopobium parvulum	Actinomyces sp. ICM39	1.0	Mixed	#cccccc
Atopobium parvulum	Actinomyces sp. ICM47	2.0	Mixed	#cccccc
Atopobium sp. BS2	Actinomyces neuii	1.0	Mixed	#cccccc
Atopobium sp. BS2	Actinomyces sp. ICM39	1.0	Mixed	#cccccc
Atopobium sp. BS2	Atopobium parvulum	1.0	Saliva	#beec8e
Atopobium sp. ICM42b	Actinomyces neuii	1.0	Mixed	#cccccc
