TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinobacillus pleuropneumoniae	Buccal_mucosa	#425ffa	1	2.0	1.0	#4df3ce	#2adddd
Actinobacillus ureae	Keratinized_gingiva	#01b3ec	7	2.0	1.0	#4df3ce	#2adddd
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#feb562	241	2.0	0.0	#4df3ce	#8000ff
Actinomyces dentalis	Subgingival_plaque	#feb562	218	2.0	2.0	#4df3ce	#d4dd80
Actinomyces georgiae	Subgingival_plaque	#feb562	138	2.0	0.0	#4df3ce	#8000ff
Actinomyces gerencseriae	Subgingival_plaque	#feb562	270	2.0	2.0	#4df3ce	#d4dd80
Actinomyces israelii	Subgingival_plaque	#feb562	228	2.0	2.0	#4df3ce	#d4dd80
Actinomyces johnsonii	Subgingival_plaque	#feb562	271	2.0	0.0	#4df3ce	#8000ff
Actinomyces massiliensis	Supragingival_plaque	#ff8e4a	271	2.0	0.0	#4df3ce	#8000ff
Actinomyces meyeri	Subgingival_plaque	#feb562	111	2.0	0.0	#4df3ce	#8000ff
Actinomyces naeslundii	Supragingival_plaque	#ff8e4a	271	2.0	0.0	#4df3ce	#8000ff
Actinomyces odontolyticus	Throat	#ff6232	225	2.0	0.0	#4df3ce	#8000ff
Actinomyces oris	Supragingival_plaque	#ff8e4a	271	2.0	0.0	#4df3ce	#8000ff
Actinomyces slackii	Supragingival_plaque	#ff8e4a	42	2.0	0.0	#4df3ce	#8000ff
Actinomyces sp. ICM39	Tongue_dorsum	#ff3219	11	2.0	1.0	#4df3ce	#2adddd
Actinomyces sp. ICM47	Tongue_dorsum	#ff3219	28	2.0	1.0	#4df3ce	#2adddd
Actinomyces sp. ICM58	Tongue_dorsum	#ff3219	3	2.0	1.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8e4a	271	2.0	0.0	#4df3ce	#8000ff
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8e4a	270	2.0	0.0	#4df3ce	#8000ff
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8e4a	271	2.0	0.0	#4df3ce	#8000ff
