TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax avenae	Supragingival_plaque	#ff8e4a	2	2.0	1.0	#7effb5	#425ffa
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#feb562	106	2.0	0.0	#7effb5	#8000ff
Actinomyces dentalis	Subgingival_plaque	#feb562	44	2.0	1.0	#7effb5	#425ffa
Actinomyces georgiae	Subgingival_plaque	#feb562	11	4.0	1.0	#ff0000	#425ffa
Actinomyces gerencseriae	Subgingival_plaque	#feb562	33	2.0	0.0	#7effb5	#8000ff
Actinomyces graevenitzii	Tongue_dorsum	#ff3219	277	2.0	2.0	#7effb5	#01b3ec
Actinomyces johnsonii	Subgingival_plaque	#feb562	20	2.0	0.0	#7effb5	#8000ff
Actinomyces massiliensis	Supragingival_plaque	#ff8e4a	86	2.0	0.0	#7effb5	#8000ff
Actinomyces meyeri	Subgingival_plaque	#feb562	258	2.0	2.0	#7effb5	#01b3ec
Actinomyces naeslundii	Supragingival_plaque	#ff8e4a	81	2.0	0.0	#7effb5	#8000ff
Actinomyces odontolyticus	Throat	#ff6232	279	2.0	2.0	#7effb5	#01b3ec
Actinomyces oris	Supragingival_plaque	#ff8e4a	128	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. HPA0247	Tongue_dorsum	#ff3219	275	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. ICM39	Tongue_dorsum	#ff3219	276	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. ICM47	Tongue_dorsum	#ff3219	277	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. ICM54	Tongue_dorsum	#ff3219	272	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. ICM58	Tongue_dorsum	#ff3219	277	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8e4a	50	2.0	0.0	#7effb5	#8000ff
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8e4a	72	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff3219	277	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8e4a	30	2.0	0.0	#7effb5	#8000ff
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8e4a	29	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff3219	136	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff3219	258	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 414	Subgingival_plaque	#feb562	16	2.0	0.0	#7effb5	#8000ff
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8e4a	45	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8e4a	15	2.0	0.0	#7effb5	#8000ff
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8e4a	2	2.0	1.0	#7effb5	#425ffa
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8e4a	24	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. ph3	Tongue_dorsum	#ff3219	257	2.0	2.0	#7effb5	#01b3ec
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff3219	277	2.0	2.0	#7effb5	#01b3ec
Actinomyces timonensis	Subgingival_plaque	#feb562	6	2.0	2.0	#7effb5	#01b3ec
Actinomyces turicensis	Anterior_nares	#8000ff	21	2.0	2.0	#7effb5	#01b3ec
Actinomyces viscosus	Attached	#622ffe	56	2.0	0.0	#7effb5	#8000ff
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#425ffa	133	2.0	2.0	#7effb5	#01b3ec
Aggregatibacter aphrophilus	Saliva	#beec8e	240	2.0	0.0	#7effb5	#8000ff
Aggregatibacter segnis	Supragingival_plaque	#ff8e4a	86	2.0	0.0	#7effb5	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#beec8e	221	2.0	0.0	#7effb5	#8000ff
Alistipes obesi	Stool	#ded579	2	2.0	1.0	#7effb5	#425ffa
Alistipes putredinis	Stool	#ded579	25	2.0	2.0	#7effb5	#01b3ec
Alistipes shahii	Stool	#ded579	5	4.0	1.0	#ff0000	#425ffa
Alloprevotella rava	Saliva	#beec8e	214	2.0	0.0	#7effb5	#8000ff
Alloprevotella tannerae	Subgingival_plaque	#feb562	203	2.0	0.0	#7effb5	#8000ff
Anaeroglobus geminatus	Subgingival_plaque	#feb562	36	2.0	2.0	#7effb5	#01b3ec
Anaerostipes hadrus	Stool	#ded579	2	1.0	1.0	#01b3ec	#425ffa
Arcanobacterium sp. S3PF19	L_Retroauricular_crease	#1fd3e1	20	2.0	2.0	#7effb5	#01b3ec
Atopobium parvulum	Saliva	#beec8e	276	2.0	2.0	#7effb5	#01b3ec
Atopobium rimae	Subgingival_plaque	#feb562	127	2.0	2.0	#7effb5	#01b3ec
Atopobium sp. BS2	Saliva	#beec8e	267	2.0	2.0	#7effb5	#01b3ec
Atopobium sp. ICM42b	Saliva	#beec8e	267	2.0	2.0	#7effb5	#01b3ec
Atopobium sp. oral taxon 199	Subgingival_plaque	#feb562	10	4.0	1.0	#ff0000	#425ffa
Bacteroides cellulosilyticus	Stool	#ded579	2	2.0	1.0	#7effb5	#425ffa
Bacteroides finegoldii	Stool	#ded579	3	1.0	1.0	#01b3ec	#425ffa
Bacteroides gallinarum	Stool	#ded579	3	2.0	4.0	#7effb5	#7effb5
Bacteroides intestinalis	Stool	#ded579	1	4.0	1.0	#ff0000	#425ffa
Bacteroides massiliensis	Stool	#ded579	17	2.0	1.0	#7effb5	#425ffa
Bacteroides ovatus	Stool	#ded579	8	2.0	2.0	#7effb5	#01b3ec
Bacteroides pyogenes	Stool	#ded579	20	1.0	1.0	#01b3ec	#425ffa
Bacteroides salyersiae	Stool	#ded579	4	1.0	1.0	#01b3ec	#425ffa
Bacteroides sp. 1_1_6	Stool	#ded579	43	2.0	2.0	#7effb5	#01b3ec
Bacteroides sp. HPS0048	Stool	#ded579	6	1.0	1.0	#01b3ec	#425ffa
Bacteroides stercoris	Stool	#ded579	20	2.0	0.0	#7effb5	#8000ff
Bacteroides thetaiotaomicron	Stool	#ded579	3	2.0	4.0	#7effb5	#7effb5
Bacteroides uniformis	Stool	#ded579	9	4.0	1.0	#ff0000	#425ffa
Bacteroidetes oral taxon 274	Subgingival_plaque	#feb562	150	2.0	0.0	#7effb5	#8000ff
Barnesiella intestinihominis	Stool	#ded579	14	2.0	1.0	#7effb5	#425ffa
Bergeyella zoohelcum	R_Retroauricular_crease	#9efaa2	2	2.0	1.0	#7effb5	#425ffa
Bibersteinia trehalosi	Buccal_mucosa	#425ffa	1	1.0	1.0	#01b3ec	#425ffa
Bifidobacterium adolescentis	Stool	#ded579	8	2.0	1.0	#7effb5	#425ffa
Bifidobacterium bifidum	Stool	#ded579	5	1.0	1.0	#01b3ec	#425ffa
Bifidobacterium breve	Posterior_fornix	#7effb5	2	1.0	1.0	#01b3ec	#425ffa
Bifidobacterium longum	Stool	#ded579	22	2.0	2.0	#7effb5	#01b3ec
Bifidobacterium subtile	Anterior_nares	#8000ff	4	4.0	1.0	#ff0000	#425ffa
Blautia wexlerae	Stool	#ded579	8	4.0	1.0	#ff0000	#425ffa
Brochothrix thermosphacta	Saliva	#beec8e	2	4.0	1.0	#ff0000	#425ffa
Bulleidia extructa	Throat	#ff6232	17	2.0	2.0	#7effb5	#01b3ec
Butyricimonas virosa	Stool	#ded579	2	4.0	1.0	#ff0000	#425ffa
Butyrivibrio crossotus	Stool	#ded579	6	4.0	1.0	#ff0000	#425ffa
Butyrivibrio sp. AE2005	Tongue_dorsum	#ff3219	6	2.0	0.0	#7effb5	#8000ff
Campylobacter concisus	Attached	#622ffe	279	2.0	2.0	#7effb5	#01b3ec
Campylobacter curvus	Supragingival_plaque	#ff8e4a	35	2.0	2.0	#7effb5	#01b3ec
Campylobacter fetus	Keratinized_gingiva	#01b3ec	2	2.0	1.0	#7effb5	#425ffa
Campylobacter gracilis	Subgingival_plaque	#feb562	113	2.0	0.0	#7effb5	#8000ff
Campylobacter hominis	R_Retroauricular_crease	#9efaa2	32	2.0	2.0	#7effb5	#01b3ec
Campylobacter rectus	Subgingival_plaque	#feb562	108	2.0	0.0	#7effb5	#8000ff
Campylobacter showae	Supragingival_plaque	#ff8e4a	265	2.0	0.0	#7effb5	#8000ff
Campylobacter sp. 10_1_50	Attached	#622ffe	195	2.0	2.0	#7effb5	#01b3ec
Campylobacter sp. FOBRC14	Attached	#622ffe	38	2.0	2.0	#7effb5	#01b3ec
Campylobacter ureolyticus	R_Retroauricular_crease	#9efaa2	16	2.0	2.0	#7effb5	#01b3ec
candidate division SR1 bacterium RAAC1_SR1_1	Attached	#622ffe	12	4.0	1.0	#ff0000	#425ffa
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	9	2.0	0.0	#7effb5	#8000ff
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#beec8e	273	2.0	0.0	#7effb5	#8000ff
Capnocytophaga cynodegmi	R_Retroauricular_crease	#9efaa2	2	2.0	1.0	#7effb5	#425ffa
Capnocytophaga gingivalis	Supragingival_plaque	#ff8e4a	273	2.0	0.0	#7effb5	#8000ff
Capnocytophaga granulosa	Supragingival_plaque	#ff8e4a	91	2.0	0.0	#7effb5	#8000ff
Capnocytophaga ochracea	Supragingival_plaque	#ff8e4a	45	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8e4a	125	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff8e4a	35	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#feb562	17	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#feb562	206	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff8e4a	256	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8e4a	133	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8e4a	8	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 336	Subgingival_plaque	#feb562	44	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#feb562	113	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 380	Supragingival_plaque	#ff8e4a	35	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 412	Supragingival_plaque	#ff8e4a	17	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8e4a	141	2.0	0.0	#7effb5	#8000ff
Capnocytophaga sputigena	Supragingival_plaque	#ff8e4a	248	2.0	0.0	#7effb5	#8000ff
Cardiobacterium hominis	Subgingival_plaque	#feb562	32	2.0	1.0	#7effb5	#425ffa
Cardiobacterium valvarum	Subgingival_plaque	#feb562	30	2.0	0.0	#7effb5	#8000ff
Carnobacterium divergens	Saliva	#beec8e	2	4.0	1.0	#ff0000	#425ffa
Carnobacterium maltaromaticum	Hard_palate	#218cf4	279	2.0	2.0	#7effb5	#01b3ec
Catonella morbi	Subgingival_plaque	#feb562	277	2.0	2.0	#7effb5	#01b3ec
