source	target	weight	edge_sample	edge_color
Acinetobacter junii	Acinetobacter johnsonii	0.81458133233	Anterior_nares	#8000ff
Acinetobacter sp. MDS7A	Acinetobacter johnsonii	0.877108230268	Anterior_nares	#8000ff
Acinetobacter sp. P8-3-8	Acinetobacter bereziniae	0.814577667391	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. P8-3-8	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
Acinetobacter sp. VT 511	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
Acinetobacter tandoii	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
Acinetobacter towneri	Acinetobacter johnsonii	0.859605430088	Anterior_nares	#8000ff
Acinetobacter towneri	Acinetobacter sp. MDS7A	0.916871793392	Anterior_nares	#8000ff
Acinetobacter ursingii	Acinetobacter bereziniae	0.821147959763	R_Retroauricular_crease	#9efaa2
Acinetobacter ursingii	Acinetobacter sp. 243_ASPC	0.842131923533	Mixed	#cccccc
Acinetobacter ursingii	Acinetobacter sp. NIPH 284	0.859049808486	Mixed	#cccccc
Acinetobacter ursingii	Acinetobacter sp. P8-3-8	0.962191785108	R_Retroauricular_crease	#9efaa2
Acinetobacter ursingii	Acinetobacter tandoii	0.842131923533	Mixed	#cccccc
Actinobaculum massiliense	Acinetobacter sp. CIP 101966	0.812915330436	Mixed	#cccccc
Actinomyces europaeus	Acinetobacter sp. CIP 101966	0.893503952608	Mixed	#cccccc
Actinomyces europaeus	Actinobaculum massiliense	0.848594319757	Mixed	#cccccc
Actinomyces johnsonii	Actinomyces gerencseriae	0.847123296687	Subgingival_plaque	#feb562
Actinomyces naeslundii	Actinomyces massiliensis	0.829911824919	Supragingival_plaque	#ff8e4a
Actinomyces sp. S4-C9	Acinetobacter sp. NIPH 817	1.0	Anterior_nares	#8000ff
Actinomyces vaccimaxillae	Acinetobacter bereziniae	0.814577667391	Mixed	#cccccc
Actinomyces vaccimaxillae	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
Actinomyces vaccimaxillae	Acinetobacter sp. P8-3-8	1.0	Mixed	#cccccc
Actinomyces vaccimaxillae	Acinetobacter ursingii	0.962191785108	Mixed	#cccccc
Actinomyces viscosus	Actinomyces gerencseriae	0.873981610593	Mixed	#cccccc
Actinomyces viscosus	Actinomyces johnsonii	0.861944726006	Mixed	#cccccc
Advenella kashmirensis	Acinetobacter sp. CIP 101966	0.948238220241	Mixed	#cccccc
Advenella kashmirensis	Actinobaculum massiliense	0.857290196791	Mixed	#cccccc
Advenella kashmirensis	Actinomyces europaeus	0.989856553747	Anterior_nares	#8000ff
Aerococcus christensenii	Acinetobacter sp. CIP 101966	0.894894393804	Mixed	#cccccc
Aerococcus christensenii	Actinomyces europaeus	0.894365118999	Mixed	#cccccc
Aerococcus christensenii	Advenella kashmirensis	0.915594302257	Mixed	#cccccc
Aerococcus urinae	Adlercreutzia equolifaciens	0.89401001926	Mixed	#cccccc
Aeromonas hydrophila	Acidithiobacillus caldus	1.0	Mixed	#cccccc
Aeromonas rivuli	Adlercreutzia equolifaciens	0.89401001926	Mixed	#cccccc
Aeromonas rivuli	Aerococcus urinae	1.0	Anterior_nares	#8000ff
Aeromonas salmonicida	Acidithiobacillus caldus	1.0	Mixed	#cccccc
Aeromonas salmonicida	Aeromonas hydrophila	1.0	Mixed	#cccccc
Aeromonas sanarellii	Acinetobacter tjernbergiae	1.0	Anterior_nares	#8000ff
Afipia clevelandensis	Afipia broomeae	0.982470266447	Anterior_nares	#8000ff
Agrobacterium albertimagni	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
Agrobacterium sp. LC34	Afipia broomeae	0.988418008229	Anterior_nares	#8000ff
Agrobacterium sp. LC34	Afipia clevelandensis	0.977206767944	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Acinetobacter tjernbergiae	0.801702174038	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Aeromonas sanarellii	0.801702174038	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Afipia broomeae	0.919331739797	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Afipia clevelandensis	0.914378621726	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Agrobacterium sp. LC34	0.942745886137	Anterior_nares	#8000ff
Agrobacterium tumefaciens	Afipia broomeae	0.978794173959	Mixed	#cccccc
Agrobacterium tumefaciens	Afipia clevelandensis	0.96585696504	Mixed	#cccccc
Agrobacterium tumefaciens	Agrobacterium sp. LC34	0.986454111285	Mixed	#cccccc
Agrobacterium tumefaciens	Agrobacterium sp. SUL3	0.923994437689	Mixed	#cccccc
Aliihoeflea sp. 2WW	Acinetobacter sp. CIP 101966	0.89401001926	R_Retroauricular_crease	#9efaa2
Aliivibrio salmonicida	Actinoplanes rectilineatus	1.0	Anterior_nares	#8000ff
Alistipes obesi	Akkermansia muciniphila	0.837394649275	Stool	#ded579
Alistipes onderdonkii	Akkermansia muciniphila	0.803497699531	Stool	#ded579
Alistipes onderdonkii	Alistipes obesi	0.874589852004	Stool	#ded579
Aliterella atlantica	Acinetobacter johnsonii	0.962634332124	Anterior_nares	#8000ff
Aliterella atlantica	Acinetobacter junii	0.808477608902	Anterior_nares	#8000ff
Aliterella atlantica	Acinetobacter sp. MDS7A	0.853852608828	Anterior_nares	#8000ff
Aliterella atlantica	Acinetobacter towneri	0.847680238322	Anterior_nares	#8000ff
Anaerococcus senegalensis	Anaerococcus prevotii	0.967783842732	L_Retroauricular_crease	#1fd3e1
Anaerococcus sp. SB3	Anaerococcus sp. MT16	0.932799692868	L_Retroauricular_crease	#1fd3e1
Anaerococcus tetradius	Anaerococcus senegalensis	0.809233153074	L_Retroauricular_crease	#1fd3e1
Anaerofustis stercorihominis	Acinetobacter radioresistens	1.0	Mixed	#cccccc
Anaeroglobus geminatus	Actinomyces sp. oral taxon 877	1.0	Mixed	#cccccc
Anoxybacillus tepidamans	Acinetobacter sp. NIPH 899	1.0	Anterior_nares	#8000ff
Arcanobacterium haemolyticum	Afipia broomeae	0.88580621925	Mixed	#cccccc
Arcanobacterium haemolyticum	Afipia clevelandensis	0.873265990321	Mixed	#cccccc
Arcanobacterium haemolyticum	Agrobacterium sp. LC34	0.8898865014	Mixed	#cccccc
Arcanobacterium haemolyticum	Agrobacterium sp. SUL3	0.827658155588	Mixed	#cccccc
Arcanobacterium haemolyticum	Agrobacterium tumefaciens	0.880193001247	R_Retroauricular_crease	#9efaa2
Arthrobacter castelli	Actinoplanes sp. SE50/110	0.800983351605	Anterior_nares	#8000ff
Arthrobacter sp. H14	Aerococcus urinaeequi	0.962285570059	Anterior_nares	#8000ff
Arthrobacter sp. L77	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
Arthrobacter sp. L77	Agrobacterium albertimagni	1.0	Anterior_nares	#8000ff
Asanoa ferruginea	Adlercreutzia equolifaciens	0.889359793872	Mixed	#cccccc
Asanoa ferruginea	Aerococcus urinae	0.995032691005	Anterior_nares	#8000ff
Asanoa ferruginea	Aeromonas rivuli	0.995032691005	Anterior_nares	#8000ff
Atopococcus tabaci	Acinetobacter sp. P8-3-8	0.948238220241	Mixed	#cccccc
Atopococcus tabaci	Acinetobacter ursingii	0.839197259945	Mixed	#cccccc
Atopococcus tabaci	Actinomyces vaccimaxillae	0.948238220241	Anterior_nares	#8000ff
Atopococcus tabaci	Aminobacter sp. Root100	0.89401001926	Anterior_nares	#8000ff
Aurantimonas coralicida	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
