source	target	weight	edge_sample	edge_color
Acidovorax ebreus	Acidithiobacillus caldus	0.881291973309	Buccal_mucosa	#425ffa
Acidovorax sp. JS42	Acidithiobacillus caldus	0.948832505585	Buccal_mucosa	#425ffa
Acidovorax sp. JS42	Acidovorax ebreus	0.914964961653	Buccal_mucosa	#425ffa
Acidovorax sp. MR-S7	Acidithiobacillus caldus	0.946828587971	Buccal_mucosa	#425ffa
Acidovorax sp. MR-S7	Acidovorax ebreus	0.871224466019	Buccal_mucosa	#425ffa
Acidovorax sp. MR-S7	Acidovorax sp. JS42	0.946129056726	Buccal_mucosa	#425ffa
Acidovorax temperans	Acidovorax ebreus	0.82728112852	Mixed	#cccccc
Actinomyces meyeri	Actinomyces dentalis	0.82110198326	Subgingival_plaque	#feb562
Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	0.886608543409	Supragingival_plaque	#ff8e4a
Actinomyces sp. oral taxon 414	Actinomyces dentalis	0.981321409034	Subgingival_plaque	#feb562
Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.964118309547	Tongue_dorsum	#ff3219
Actinotignum schaalii	Actinomyces oris	0.816424881913	Mixed	#cccccc
Adlercreutzia equolifaciens	Acetivibrio ethanolgignens	0.814942827701	Stool	#ded579
Aeromonas fluvialis	Acinetobacter tandoii	1.0	Mixed	#cccccc
Alicycliphilus denitrificans	Acidovorax sp. MR-S7	0.808902278237	Mixed	#cccccc
Alicycliphilus sp. B1	Acidovorax caeni	0.851056532075	Anterior_nares	#8000ff
Alistipes indistinctus	Alistipes finegoldii	0.944295583192	Stool	#ded579
Alistipes putredinis	Alistipes obesi	0.977617071957	Stool	#ded579
Alistipes senegalensis	Alistipes finegoldii	0.967693474752	Stool	#ded579
Alistipes senegalensis	Alistipes indistinctus	0.897255174632	Stool	#ded579
Alistipes shahii	Alistipes obesi	0.94878994477	Stool	#ded579
Alistipes shahii	Alistipes putredinis	0.971431721608	Stool	#ded579
Alistipes sp. AL-1	Alistipes obesi	0.839676262889	Stool	#ded579
Alistipes sp. AL-1	Alistipes putredinis	0.863761706763	Stool	#ded579
Alistipes sp. AL-1	Alistipes shahii	0.926980074518	Stool	#ded579
Alistipes sp. HGB5	Acetivibrio ethanolgignens	0.887585081584	Stool	#ded579
Alistipes sp. HGB5	Adlercreutzia equolifaciens	0.815177162572	Stool	#ded579
Anaerococcus lactolyticus	Alysiella crassa	0.916829357419	Mixed	#cccccc
Anaerococcus prevotii	Alistipes senegalensis	0.801922848996	Mixed	#cccccc
