TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax ebreus	Buccal_mucosa	#425ffa	18	1.0	2.0	#7a09ff	#7413ff
Acidovorax sp. JS42	Buccal_mucosa	#425ffa	20	1.0	2.0	#7a09ff	#7413ff
Acidovorax sp. MR-S7	Buccal_mucosa	#425ffa	10	1.0	2.0	#7a09ff	#7413ff
Acidovorax temperans	L_Retroauricular_crease	#1fd3e1	57	1.0	2.0	#7a09ff	#7413ff
Actinomyces meyeri	Subgingival_plaque	#feb562	81	26.0	9.0	#24d8df	#4a53fb
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8e4a	246	57.0	13.0	#ebca70	#3176f8
Actinomyces sp. oral taxon 414	Subgingival_plaque	#feb562	95	26.0	9.0	#24d8df	#4a53fb
Actinomyces sp. ph3	Tongue_dorsum	#ff3219	112	27.0	15.0	#2ddedc	#2489f5
Actinotignum schaalii	Buccal_mucosa	#425ffa	2	44.0	10.0	#99fca6	#445cfb
Adlercreutzia equolifaciens	Stool	#ded579	2	63.0	0.0	#ffa055	#8000ff
Aeromonas fluvialis	Buccal_mucosa	#425ffa	1	79.0	6.0	#ff0d06	#5c38fd
Alicycliphilus denitrificans	L_Retroauricular_crease	#1fd3e1	12	1.0	2.0	#7a09ff	#7413ff
Alicycliphilus sp. B1	Anterior_nares	#8000ff	6	32.0	2.0	#4df3ce	#7413ff
Alistipes indistinctus	Stool	#ded579	11	52.0	20.0	#cbe486	#06aeed
Alistipes putredinis	Stool	#ded579	91	80.0	0.0	#ff0000	#8000ff
Alistipes senegalensis	Stool	#ded579	13	52.0	20.0	#cbe486	#06aeed
Alistipes shahii	Stool	#ded579	53	80.0	0.0	#ff0000	#8000ff
Alistipes sp. AL-1	Stool	#ded579	5	30.0	21.0	#3febd5	#00b5eb
Alistipes sp. HGB5	Stool	#ded579	5	22.0	0.0	#0dc2e8	#8000ff
Anaerococcus lactolyticus	L_Retroauricular_crease	#1fd3e1	3	45.0	25.0	#9efaa2	#18cde4
Anaerococcus prevotii	L_Retroauricular_crease	#1fd3e1	2	37.0	20.0	#6afdc0	#06aeed
Anaerococcus provenciensis	L_Retroauricular_crease	#1fd3e1	1	37.0	20.0	#6afdc0	#06aeed
Anaerotruncus colihominis	Stool	#ded579	2	63.0	0.0	#ffa055	#8000ff
Aquabacterium parvum	L_Retroauricular_crease	#1fd3e1	7	32.0	2.0	#4df3ce	#7413ff
Aquabacterium sp. NJ1	Anterior_nares	#8000ff	1	35.0	23.0	#5efac6	#0dc2e8
Aromatoleum aromaticum	Buccal_mucosa	#425ffa	1	78.0	2.0	#ff160b	#7413ff
Atopobium sp. ICM42b	Saliva	#beec8e	111	47.0	28.0	#abf69b	#2ddedc
Azonexus hydrophilus	Buccal_mucosa	#425ffa	2	61.0	2.0	#ffae5e	#7413ff
Azospira oryzae	Anterior_nares	#8000ff	1	78.0	2.0	#ff160b	#7413ff
Azospirillum brasilense	Anterior_nares	#8000ff	1	35.0	23.0	#5efac6	#0dc2e8
bacterium LF-3	Stool	#ded579	4	29.0	0.0	#38e7d7	#8000ff
Bacteroides acidifaciens	Stool	#ded579	5	80.0	0.0	#ff0000	#8000ff
Bacteroides caccae	Stool	#ded579	90	22.0	0.0	#0dc2e8	#8000ff
Bacteroides clarus	Stool	#ded579	12	25.0	18.0	#1fd3e1	#11a0f1
Bacteroides coprocola	Stool	#ded579	13	30.0	21.0	#3febd5	#00b5eb
Bacteroides eggerthii	Stool	#ded579	29	25.0	18.0	#1fd3e1	#11a0f1
Bacteroides faecichinchillae	Stool	#ded579	2	63.0	0.0	#ffa055	#8000ff
Bacteroides finegoldii	Stool	#ded579	38	25.0	18.0	#1fd3e1	#11a0f1
Bacteroides fragilis	Stool	#ded579	34	34.0	0.0	#58f8c9	#8000ff
Bacteroides graminisolvens	L_Retroauricular_crease	#1fd3e1	2	51.0	31.0	#c4e88a	#3febd5
Bacteroides helcogenes	Stool	#ded579	2	30.0	21.0	#3febd5	#00b5eb
Bacteroides intestinalis	Stool	#ded579	18	25.0	18.0	#1fd3e1	#11a0f1
Bacteroides massiliensis	Stool	#ded579	55	28.0	18.0	#32e3da	#11a0f1
Bacteroides oleiciplenus	Stool	#ded579	2	30.0	21.0	#3febd5	#00b5eb
Bacteroides ovatus	Stool	#ded579	54	28.0	18.0	#32e3da	#11a0f1
Bacteroides plebeius	Stool	#ded579	18	48.0	33.0	#b2f396	#4af2cf
Bacteroides propionicifaciens	L_Retroauricular_crease	#1fd3e1	1	51.0	31.0	#c4e88a	#3febd5
Bacteroides reticulotermitis	Stool	#ded579	3	51.0	31.0	#c4e88a	#3febd5
Bacteroides salanitronis	Stool	#ded579	8	63.0	0.0	#ffa055	#8000ff
Bacteroides salyersiae	Stool	#ded579	23	25.0	18.0	#1fd3e1	#11a0f1
Bacteroides sartorii	Stool	#ded579	2	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. 1_1_30	Stool	#ded579	7	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. 1_1_6	Stool	#ded579	15	50.0	18.0	#beec8e	#11a0f1
Bacteroides sp. 2_1_16	Stool	#ded579	2	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. 2_1_33B	Stool	#ded579	2	63.0	0.0	#ffa055	#8000ff
Bacteroides sp. 2_2_4	Stool	#ded579	14	33.0	18.0	#52f5cb	#11a0f1
Bacteroides sp. 3_1_13	Stool	#ded579	12	40.0	18.0	#7effb5	#11a0f1
Bacteroides sp. 3_1_19	Stool	#ded579	6	53.0	0.0	#d0e082	#8000ff
Bacteroides sp. 3_1_23	Stool	#ded579	10	50.0	18.0	#beec8e	#11a0f1
Bacteroides sp. 3_1_40A	Stool	#ded579	2	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. 4_1_36	Stool	#ded579	4	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. 4_3_47FAA	Stool	#ded579	6	34.0	0.0	#58f8c9	#8000ff
Bacteroides sp. 9_1_42FAA	Stool	#ded579	2	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. D2	Stool	#ded579	12	2.0	18.0	#7413ff	#11a0f1
Bacteroides sp. D20	Stool	#ded579	12	30.0	21.0	#3febd5	#00b5eb
Bacteroides sp. D22	Stool	#ded579	8	6.0	18.0	#5a3bfd	#11a0f1
Bacteroides stercoris	Stool	#ded579	80	28.0	18.0	#32e3da	#11a0f1
Bacteroides thetaiotaomicron	Stool	#ded579	30	33.0	18.0	#52f5cb	#11a0f1
Bacteroides uniformis	Stool	#ded579	67	30.0	21.0	#3febd5	#00b5eb
Bacteroides vulgatus	Stool	#ded579	58	28.0	18.0	#32e3da	#11a0f1
Bacteroides xylanisolvens	Stool	#ded579	3	30.0	21.0	#3febd5	#00b5eb
Barnesiella intestinihominis	Stool	#ded579	50	3.0	0.0	#6e1cff	#8000ff
Bergeyella zoohelcum	R_Retroauricular_crease	#9efaa2	17	51.0	31.0	#c4e88a	#3febd5
Bifidobacterium adolescentis	Stool	#ded579	21	29.0	0.0	#38e7d7	#8000ff
Bifidobacterium pseudocatenulatum	L_Retroauricular_crease	#1fd3e1	1	37.0	20.0	#6afdc0	#06aeed
Bilophila wadsworthia	Stool	#ded579	2	63.0	0.0	#ffa055	#8000ff
Blautia obeum	Stool	#ded579	12	50.0	18.0	#beec8e	#11a0f1
Blautia sp. GD9	Stool	#ded579	4	29.0	0.0	#38e7d7	#8000ff
Blautia sp. KLE 1732	Stool	#ded579	2	63.0	0.0	#ffa055	#8000ff
Blautia wexlerae	Stool	#ded579	11	16.0	0.0	#1996f3	#8000ff
Brevibacterium massiliense	Anterior_nares	#8000ff	1	35.0	23.0	#5efac6	#0dc2e8
