TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. JS42	Buccal_mucosa	#425ffa	20	1.0	2.0	#780dff	#7216ff
Acidovorax sp. MR-S7	Buccal_mucosa	#425ffa	10	59.0	2.0	#ff351b	#7216ff
Adlercreutzia equolifaciens	Stool	#ded579	2	35.0	0.0	#9bfba5	#8000ff
Aeromonas fluvialis	Buccal_mucosa	#425ffa	1	42.0	7.0	#d4dd80	#4a53fb
Alicycliphilus denitrificans	L_Retroauricular_crease	#1fd3e1	12	59.0	2.0	#ff351b	#7216ff
Anaerotruncus colihominis	Stool	#ded579	2	35.0	0.0	#9bfba5	#8000ff
Anoxybacillus flavithermus	Anterior_nares	#8000ff	3	29.0	1.0	#6afdc0	#7a09ff
Aromatoleum aromaticum	Buccal_mucosa	#425ffa	1	4.0	4.0	#6032fe	#622ffe
Azonexus hydrophilus	Buccal_mucosa	#425ffa	2	21.0	9.0	#2adddd	#3c68f9
Azospira oryzae	Anterior_nares	#8000ff	1	4.0	4.0	#6032fe	#622ffe
Azospirillum brasilense	Anterior_nares	#8000ff	1	50.0	18.0	#ff9b52	#0ac0e8
bacterium LF-3	Stool	#ded579	4	48.0	0.0	#ffae5e	#8000ff
Bacteroides faecichinchillae	Stool	#ded579	2	35.0	0.0	#9bfba5	#8000ff
Bacteroides graminisolvens	L_Retroauricular_crease	#1fd3e1	2	60.0	21.0	#ff2914	#22d6e0
Bacteroides helcogenes	Stool	#ded579	2	47.0	22.0	#fcb763	#2adddd
Bacteroides nordii	Stool	#ded579	7	0.0	12.0	#8000ff	#2489f5
Bacteroides oleiciplenus	Stool	#ded579	2	47.0	22.0	#fcb763	#2adddd
Bacteroides propionicifaciens	L_Retroauricular_crease	#1fd3e1	1	44.0	20.0	#e4cf74	#1acfe3
Bacteroides reticulotermitis	Stool	#ded579	3	60.0	21.0	#ff2914	#22d6e0
Bacteroides salanitronis	Stool	#ded579	8	27.0	11.0	#5af8c8	#2c7ef7
Bacteroides sartorii	Stool	#ded579	2	47.0	22.0	#fcb763	#2adddd
Bacteroides sp. 1_1_30	Stool	#ded579	7	11.0	0.0	#2884f6	#8000ff
Bacteroides sp. 2_1_16	Stool	#ded579	2	47.0	22.0	#fcb763	#2adddd
Bacteroides sp. 2_1_33B	Stool	#ded579	2	35.0	0.0	#9bfba5	#8000ff
Bacteroides sp. 3_1_13	Stool	#ded579	12	25.0	24.0	#4af2cf	#38e7d7
Bacteroides sp. 3_1_19	Stool	#ded579	6	45.0	0.0	#ecc86f	#8000ff
Bacteroides sp. 3_1_23	Stool	#ded579	10	17.0	24.0	#08bee9	#38e7d7
Bacteroides sp. 3_1_40A	Stool	#ded579	2	47.0	22.0	#fcb763	#2adddd
Bacteroides sp. 4_3_47FAA	Stool	#ded579	6	15.0	13.0	#08acee	#1c93f3
Bacteroides sp. 9_1_42FAA	Stool	#ded579	2	47.0	22.0	#fcb763	#2adddd
Bacteroides xylanisolvens	Stool	#ded579	3	47.0	22.0	#fcb763	#2adddd
Bifidobacterium pseudocatenulatum	L_Retroauricular_crease	#1fd3e1	1	52.0	17.0	#ff8646	#02b7eb
Bilophila wadsworthia	Stool	#ded579	2	35.0	0.0	#9bfba5	#8000ff
Blautia sp. GD9	Stool	#ded579	4	48.0	0.0	#ffae5e	#8000ff
Blautia sp. KLE 1732	Stool	#ded579	2	35.0	0.0	#9bfba5	#8000ff
Brevibacterium massiliense	Anterior_nares	#8000ff	1	50.0	18.0	#ff9b52	#0ac0e8
Burkholderiales bacterium 1_1_47	Stool	#ded579	6	48.0	0.0	#ffae5e	#8000ff
