source	target	weight	edge_sample	edge_color
Acinetobacter lwoffii	Acinetobacter indicus	0.865102243604	Mixed	#cccccc
Acinetobacter parvus	Acetobacter okinawensis	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter parvus	Acinetobacter bereziniae	0.986418556211	R_Retroauricular_crease	#9efaa2
Acinetobacter soli	Acinetobacter bereziniae	0.852588011001	R_Retroauricular_crease	#9efaa2
Acinetobacter soli	Acinetobacter parvus	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acetobacter okinawensis	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acinetobacter bereziniae	0.986418556211	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acinetobacter parvus	1.0	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acinetobacter soli	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. MDS7A	Acinetobacter johnsonii	0.910283568195	Anterior_nares	#8000ff
Acinetobacter sp. MDS7A	Acinetobacter lwoffii	0.811354885737	Mixed	#cccccc
Acinetobacter sp. VT 511	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
Acinetobacter towneri	Acinetobacter johnsonii	0.878056947478	Anterior_nares	#8000ff
Acinetobacter towneri	Acinetobacter sp. MDS7A	0.914382849006	Anterior_nares	#8000ff
Actinomyces europaeus	Acinetobacter sp. CIP 101966	0.800267083685	Mixed	#cccccc
Actinomyces europaeus	Actinobaculum massiliense	0.820208298916	Mixed	#cccccc
Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.939353823157	Tongue_dorsum	#ff3219
Actinomyces sp. S4-C9	Acinetobacter sp. NIPH 817	1.0	Anterior_nares	#8000ff
Actinomyces vaccimaxillae	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
Advenella kashmirensis	Acinetobacter sp. CIP 101966	0.865813583944	Mixed	#cccccc
Advenella kashmirensis	Actinobaculum massiliense	0.8451911296	Mixed	#cccccc
Advenella kashmirensis	Actinomyces europaeus	0.970686218948	Anterior_nares	#8000ff
Aeromonas hydrophila	Acetobacter orientalis	0.943435384974	L_Retroauricular_crease	#1fd3e1
Aeromonas media	Acinetobacter bouvetii	0.868153621597	L_Retroauricular_crease	#1fd3e1
Aeromonas media	Acinetobacter sp. NIPH 284	0.866025636867	L_Retroauricular_crease	#1fd3e1
Aeromonas rivuli	Aerococcus urinae	1.0	Anterior_nares	#8000ff
Aeromonas sanarellii	Acinetobacter tjernbergiae	1.0	Anterior_nares	#8000ff
Afipia clevelandensis	Afipia broomeae	0.982707896856	Anterior_nares	#8000ff
Afipia sp. P52-10	Acinetobacter bouvetii	0.868153621597	L_Retroauricular_crease	#1fd3e1
Afipia sp. P52-10	Acinetobacter sp. NIPH 284	0.866025636867	L_Retroauricular_crease	#1fd3e1
Afipia sp. P52-10	Aeromonas media	1.0	L_Retroauricular_crease	#1fd3e1
Agrobacterium albertimagni	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
Agrobacterium sp. LC34	Afipia broomeae	0.988303056669	Anterior_nares	#8000ff
Agrobacterium sp. LC34	Afipia clevelandensis	0.977344145241	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Acinetobacter tjernbergiae	0.829128831597	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Aeromonas sanarellii	0.829128831597	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Afipia broomeae	0.952113850283	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Afipia clevelandensis	0.946025600299	Anterior_nares	#8000ff
Agrobacterium sp. SUL3	Agrobacterium sp. LC34	0.974775783139	Anterior_nares	#8000ff
Agrobacterium tumefaciens	Afipia broomeae	0.968669428827	Mixed	#cccccc
Agrobacterium tumefaciens	Afipia clevelandensis	0.955221348297	Mixed	#cccccc
Agrobacterium tumefaciens	Agrobacterium sp. LC34	0.975217800423	Mixed	#cccccc
Agrobacterium tumefaciens	Agrobacterium sp. SUL3	0.964948081259	Mixed	#cccccc
Aliihoeflea sp. 2WW	Acetobacter okinawensis	0.830502520407	R_Retroauricular_crease	#9efaa2
Aliihoeflea sp. 2WW	Acinetobacter bereziniae	0.976079803082	R_Retroauricular_crease	#9efaa2
Aliihoeflea sp. 2WW	Acinetobacter parvus	0.994864411694	R_Retroauricular_crease	#9efaa2
Aliihoeflea sp. 2WW	Acinetobacter sp. Ag2	0.994864411694	R_Retroauricular_crease	#9efaa2
Aliivibrio salmonicida	Actinoplanes rectilineatus	1.0	Anterior_nares	#8000ff
Alistipes onderdonkii	Alistipes finegoldii	0.852802168673	Stool	#ded579
Alistipes sp. AL-1	Alistipes onderdonkii	0.871698890898	Stool	#ded579
Aliterella atlantica	Acinetobacter johnsonii	0.955355388938	Anterior_nares	#8000ff
Aliterella atlantica	Acinetobacter sp. MDS7A	0.919648613794	Anterior_nares	#8000ff
Aliterella atlantica	Acinetobacter towneri	0.893479269017	Anterior_nares	#8000ff
Aliterella atlantica	Alcaligenes faecalis	0.819633946295	Anterior_nares	#8000ff
alpha proteobacterium L41A	Acinetobacter bereziniae	0.913682502363	R_Retroauricular_crease	#9efaa2
alpha proteobacterium L41A	Acinetobacter parvus	0.916534323351	R_Retroauricular_crease	#9efaa2
alpha proteobacterium L41A	Acinetobacter soli	0.816297266991	R_Retroauricular_crease	#9efaa2
alpha proteobacterium L41A	Acinetobacter sp. Ag2	0.916534323351	R_Retroauricular_crease	#9efaa2
alpha proteobacterium L41A	Aliihoeflea sp. 2WW	0.90422505859	R_Retroauricular_crease	#9efaa2
Anaerococcus senegalensis	Anaerococcus prevotii	0.9212756832	L_Retroauricular_crease	#1fd3e1
Anaerococcus sp. MT16	Anaerococcus hydrogenalis	0.808756014551	L_Retroauricular_crease	#1fd3e1
Anaerococcus sp. PH9	Anaerococcus obesiensis	0.814139187695	L_Retroauricular_crease	#1fd3e1
